開放粵語詞典（黃錫凌數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［黃錫凌拼音］	［國語解釋］
脣齒相依	sœn4 tsi2 sœŋ1 ji1	
順風駛艃	sœn6 fʊŋ1 sɐi2 lei5	順水推舟
順利	sœn6 lei6	
順路	sœn6 lou6	
率部	sœt7 bou6	
率兵	sœt7 bɪŋ1	
率直	sœt7 dzik9	
率真	sœt7 dzɐn1	
率隊	sœt7 dœy6	
摔跤	sœt7 gau1	
恤金	sœt7 gɐm1	
率爾	sœt7 ji5	
率爾操觚	sœt7 ji5 tsou1 gu1	
率然	sœt7 jin4	
率由舊章	sœt7 jɐu4 gɐu6 dzœŋ1	
率領	sœt7 lɪŋ5	
恤衫	sœt7 sam1	襯衫
率師	sœt7 si1	
率先	sœt7 sin1	
率獸食人	sœt7 sɐu3 sik9 jɐn4	
率性	sœt7 sɪŋ3	
率團	sœt7 tyn4	
率同	sœt7 tʊŋ4	
術語	sœt9 jy5	
述說	sœt9 syt8	
衰	sœy1	壞，次，糟
衰敗	sœy1 bai6	
雖敗猶榮	sœy1 bai6 jɐu4 wɪŋ4	
衰俾人睇	sœy1 bei2 jɐn4 tɐi2	丟人現眼
衰到唔使恨	sœy1 dou3 m̩4 sɐi2 hɐn6	壞透了
水珠	sœy1 dzy1	
衰仔	sœy1 dzɐi2	混小子，小壞蛋，調皮鬼，臭小子，兔崽子
衰鬼	sœy1 gwɐi2	壞傢伙，討厭鬼
衰鬼豆	sœy1 gwɐi2 dɐu6	壞傢伙，討厭鬼，壞東西
衰公	sœy1 gʊŋ1	缺德鬼，討厭鬼，壞傢伙，下流鬼
衰起上嚟有頭有路	sœy1 hei2 sœŋ6 lei4 jɐu5 tɐu4 jɐu5 lou6	一倒霉就處處倒霉
水煙	sœy1 jin1	
雖然	sœy1 jin4	
需要	sœy1 jiu3	
須要	sœy1 jiu3	
須臾	sœy1 jy4	
衰弱	sœy1 jœk9	
衰人	sœy1 jɐn4	壞傢伙，壞人
衰嘢	sœy1 jɛ5	壞傢伙，次貨，醜事
衰竭	sœy1 kit8	
胥吏	sœy1 lei6	
衰佬	sœy1 lou2	死鬼
衰老	sœy1 lou5	
衰落	sœy1 lɔk9	
衰滅	sœy1 mit9	
衰亡	sœy1 mɔŋ4	
衰女	sœy1 nœy2	死丫頭，臭丫頭，壞女孩
衰女包	sœy1 nœy2 bau1	死丫頭，臭丫頭，壞女孩
衰婆	sœy1 pɔ2	壞女人，下流的女人
衰晒	sœy1 sai3	真糟糕，真倒霉，糟糕透了
衰神	sœy1 sɐn4	倒霉鬼，壞傢伙
衰收尾	sœy1 sɐu1 mei5	事情快到結束才出問題
衰退	sœy1 tœy3	
水	sœy2	錢，鈔票
水	sœy2	水平低，質量差
水鴨	sœy2 ap8	
水壓	sœy2 at8	
水壩	sœy2 ba3	
水泵	sœy2 bɐm1	
水筆	sœy2 bɐt7	
水兵	sœy2 bɪŋ1	
水滴	sœy2 dik7	
水滴石穿	sœy2 dik7 sɛk9 tsyn1	
水電	sœy2 din6	
水電站	sœy2 din6 dzam6	
水電費	sœy2 din6 fɐi3	
水電工	sœy2 din6 gʊŋ1	
水到渠成	sœy2 dou3 kœy4 sɪŋ4	
水稻	sœy2 dou6	
水道	sœy2 dou6	
水閘	sœy2 dzap9	
水螆	sœy2 dzi1	水蚤
水藻	sœy2 dzou2	
水樽	sœy2 dzœn1	水瓶
水準	sœy2 dzœn2	
水漲船高	sœy2 dzœŋ2 syn4 gou1	
水浸	sœy2 dzɐm3	水災，水患
水浸眼眉	sœy2 dzɐm3 ŋan5 mei4	火燒眉毛
水圳	sœy2 dzɐn3	水渠
水質	sœy2 dzɐt7	
水蛭	sœy2 dzɐt9	
水災	sœy2 dzɔi1	
水葬	sœy2 dzɔŋ3	
水晶	sœy2 dzɪŋ1	
水晶宮	sœy2 dzɪŋ1 gʊŋ1	
水蒸氣	sœy2 dzɪŋ1 hei3	
水晶球	sœy2 dzɪŋ1 kɐu4	
水晶體	sœy2 dzɪŋ1 tɐi2	
水族	sœy2 dzʊk9	
水族館	sœy2 dzʊk9 gun2	
水中	sœy2 dzʊŋ1	
水中撈月	sœy2 dzʊŋ1 lɐu4 jyt9	
水豆腐	sœy2 dɐu6 fu6	嫩豆腐，南豆腐
水花	sœy2 fa1	
水花四濺	sœy2 fa1 sei3 dzin3	
水費	sœy2 fɐi3	
水分	sœy2 fɐn6	
水火	sœy2 fɔ2	
水火不相容	sœy2 fɔ2 bɐt7 sœŋ1 jʊŋ4	
水火無情	sœy2 fɔ2 mou4 tsɪŋ4	
水貨	sœy2 fɔ3	質量差的貨物
水貨	sœy2 fɔ3	走私貨，冒牌貨，偽劣產品，仿冒產品
水解	sœy2 gai2	
水餃	sœy2 gau2	
水怪	sœy2 gwai3	
水果	sœy2 gwɔ2	
水腳	sœy2 gœk8	路費，運費
水雞	sœy2 gɐi1	落湯雞
水缸	sœy2 gɔŋ1	
水鞋	sœy2 hai4	雨靴，膠鞋
水客	sœy2 hak8	走水客，水路走私者，跑單幫的
水汽	sœy2 hei3	
水險	sœy2 him2	
水鄉	sœy2 hœŋ1	
水喉	sœy2 hɐu4	水管，水龍頭
水喉鐵	sœy2 hɐu4 tit8	鐵管子
水喉通	sœy2 hɐu4 tʊŋ1	鐵管子
水靴	sœy2 hɛu1	
水淹	sœy2 jim1	
水魚	sœy2 jy2	鼈，甲魚，團魚，黿，王八
水乳交融	sœy2 jy5 gau1 jʊŋ4	
水源	sœy2 jyn4	
水印	sœy2 jɐn3	
水嘢	sœy2 jɛ5	質量差的東西
水溶液	sœy2 jʊŋ4 jik9	
水溶性	sœy2 jʊŋ4 sɪŋ3	
水禽	sœy2 kɐm4	
水溝	sœy2 kɐu1	
水溝油	sœy2 kɐu1 jɐu4	水火不兼容
水球	sœy2 kɐu4	
水球賽	sœy2 kɐu4 tsɔi3	
水利	sœy2 lei6	
水力	sœy2 lik9	
水力資源	sœy2 lik9 dzi1 jyn4	
水力發電	sœy2 lik9 fat8 din6	
水力發電廠	sœy2 lik9 fat8 din6 tsɔŋ2	
水力學	sœy2 lik9 hɔk9	
水療	sœy2 liu4	
水路	sœy2 lou6	
水路運輸	sœy2 lou6 wɐn6 sy1	
水輪	sœy2 lœn4	
水輪泵	sœy2 lœn4 bɐm1	
水輪發電機	sœy2 lœn4 fat8 din6 gei1	
水輪機	sœy2 lœn4 gei1	
水量	sœy2 lœŋ6	
水落石出	sœy2 lɔk9 sɛk9 tsœt7	
水陸	sœy2 lʊk9	
水陸兩棲	sœy2 lʊk9 lœŋ5 tsɐi1	
水龍頭	sœy2 lʊŋ4 tɐu4	
水面	sœy2 min6	
水面上	sœy2 min6 sœŋ6	
水母	sœy2 mou5	
水門	sœy2 mun4	
水墨	sœy2 mɐk9	
水墨畫	sœy2 mɐk9 wa2	
水文	sœy2 mɐn4	
水文學	sœy2 mɐn4 hɔk9	
水蜜桃	sœy2 mɐt9 tou4	
水木清華	sœy2 mʊk9 tsɪŋ1 wa4	
水鳥	sœy2 niu5	
水泥	sœy2 nɐi4	
水皮	sœy2 pei4	水平低，質量差，差勁
水泡	sœy2 pou5	
水泡	sœy2 pɔk7	水泡
水瓶	sœy2 pɪŋ4	
水平	sœy2 pɪŋ4	
水瓶座	sœy2 pɪŋ4 dzɔ6	
水平線	sœy2 pɪŋ4 sin3	
水蝕	sœy2 sik9	
水仙	sœy2 sin1	
水仙花	sœy2 sin1 fa1	
水勢	sœy2 sɐi3	
水深火熱	sœy2 sɐm1 fɔ2 jit9	
水深火熱之中	sœy2 sɐm1 fɔ2 jit9 dzi1 dzʊŋ1	
水神	sœy2 sɐn4	
水手	sœy2 sɐu2	
水生	sœy2 sɐŋ1	
水生植物	sœy2 sɐŋ1 dzik9 mɐt9	
水生動物	sœy2 sɐŋ1 dʊŋ6 mɐt9	
水蛇	sœy2 sɛ4	
水蛇春咁長	sœy2 sɛ4 tsœn1 gɐm3 tsœŋ4	很長，極長，沒完沒了，長篇大論，大排長龍
水星	sœy2 sɪŋ1	
水性	sœy2 sɪŋ3	
水天一色	sœy2 tin1 jɐt7 sik7	
水土	sœy2 tou2	
水土不服	sœy2 tou2 bɐt7 fʊk9	
水土流失	sœy2 tou2 lɐu4 sɐt7	
水杉	sœy2 tsam3	
水產	sœy2 tsan2	
水獺	sœy2 tsat8	
水池	sœy2 tsi4	
水草	sœy2 tsou2	
水槽	sœy2 tsou4	
水柱	sœy2 tsy5	
水處理	sœy2 tsy5 lei5	
水槍	sœy2 tsœŋ1	
水彩	sœy2 tsɔi2	
水彩筆	sœy2 tsɔi2 bɐt7	
水彩畫	sœy2 tsɔi2 wa2	
水彩顏料	sœy2 tsɔi2 ŋan4 liu6	
水床	sœy2 tsɔŋ4	
水車	sœy2 tsɛ1	
水清可鑑	sœy2 tsɪŋ1 hɔ2 gam3	
水清無魚	sœy2 tsɪŋ1 mou4 jy4	
水速	sœy2 tsʊk7	
水氹	sœy2 tɐm5	水坑，水窪
水塘	sœy2 tɔŋ4	水庫
水塘	sœy2 tɔŋ4	
水桶	sœy2 tʊŋ2	
水患	sœy2 wan6	
水壺	sœy2 wu2	
水滸傳	sœy2 wu2 dzyn3	
水位	sœy2 wɐi6	
水運	sœy2 wɐn6	
水汪汪	sœy2 wɔŋ1 wɔŋ1	
水銀	sœy2 ŋɐn4	
水牛	sœy2 ŋɐu4	
稅制	sœy3 dzɐi3	
說服	sœy3 fʊk9	
帥哥	sœy3 gɔ1	
帥氣	sœy3 hei3	
歲月	sœy3 jyt9	
碎料	sœy3 liu2	小事，小新聞
碎銀	sœy3 ŋɐn2	零錢，散銀，鋼鏰兒
誰不知	sœy4 bɐt7 dzi1	誰知
垂涎三尺	sœy4 jin4 sam1 tsɛk8	
垂危	sœy4 ŋɐi4	
絮叨	sœy5 dou1	
隧道	sœy6 dou6	
睡著	sœy6 dzœk9	
睡袋	sœy6 dɔi6	
睡房	sœy6 fɔŋ2	卧室，臥房
睡覺	sœy6 gau3	
睡鄉	sœy6 hœŋ1	
睡衣	sœy6 ji1	
睡蓮	sœy6 lin4	
睡眠	sœy6 min4	
睡眠不足	sœy6 min4 bɐt7 dzʊk7	
睡眠療法	sœy6 min4 liu4 fat8	
睡夢	sœy6 mʊŋ6	
睡袍	sœy6 pou4	
睡衫	sœy6 sam1	睡衣
瑞士軍刀	sœy6 si6 gwɐn1 dou1	
燧石	sœy6 sɛk9	
睡眼惺忪	sœy6 ŋan5 sɪŋ1 sʊŋ1	
傷疤	sœŋ1 ba1	
雙胞胎	sœŋ1 bau1 tɔi1	
傷悲	sœŋ1 bei1	
相比	sœŋ1 bei2	
雙邊	sœŋ1 bin1	
雙邊會談	sœŋ1 bin1 wui6 tam4	
相別	sœŋ1 bit9	
相別多年	sœŋ1 bit9 dɔ1 nin4	
相補	sœŋ1 bou2	
相伴	sœŋ1 bun6	
商品	sœŋ1 bɐn2	
傷病員	sœŋ1 bɪŋ6 jyn4	
商店	sœŋ1 dim3	
雙子	sœŋ1 dzi2	
雙子星	sœŋ1 dzi2 sɪŋ1	
雙職工	sœŋ1 dzik7 gʊŋ1	
相接	sœŋ1 dzip8	
雙節棍	sœŋ1 dzit8 gwɐn3	
商酌	sœŋ1 dzœk8	
相聚	sœŋ1 dzœy6	
雙週	sœŋ1 dzɐu1	
雙週刊	sœŋ1 dzɐu1 hɔn2	
相助	sœŋ1 dzɔ6	
相撞	sœŋ1 dzɔŋ6	
傷者	sœŋ1 dzɛ2	
相對	sœŋ1 dœy3	
相對主義	sœŋ1 dœy3 dzy2 ji6	
相對而坐	sœŋ1 dœy3 ji4 tsɔ5	
相對論	sœŋ1 dœy3 lœn6	
相對濕度	sœŋ1 dœy3 sɐp7 dou6	
相對性	sœŋ1 dœy3 sɪŋ3	
相對速度	sœŋ1 dœy3 tsʊk7 dou6	
相抵	sœŋ1 dɐi2	
相得益彰	sœŋ1 dɐk7 jik7 dzœŋ1	
相等	sœŋ1 dɐŋ2	
相待	sœŋ1 dɔi6	
相當	sœŋ1 dɔŋ1	
相反	sœŋ1 fan2	
相反詞	sœŋ1 fan2 tsi4	
相符	sœŋ1 fu4	
孀婦	sœŋ1 fu5	
相輔相成	sœŋ1 fu6 sœŋ1 sɪŋ4	
雙方	sœŋ1 fɔŋ1	
雙方同意	sœŋ1 fɔŋ1 tʊŋ4 ji3	
傷風	sœŋ1 fʊŋ1	感冒
傷風	sœŋ1 fʊŋ1	
傷風敗俗	sœŋ1 fʊŋ1 bai6 dzʊk9	
傷風感冒	sœŋ1 fʊŋ1 gɐm2 mou6	
相逢	sœŋ1 fʊŋ4	
相加	sœŋ1 ga1	
相隔	sœŋ1 gak8	
雙格床	sœŋ1 gak8 tsɔŋ4	雙層床，架子床
相間	sœŋ1 gan1	
相較	sœŋ1 gau3	
相見	sœŋ1 gin3	
相見恨晚	sœŋ1 gin3 hɐn6 man5	
相關	sœŋ1 gwan1	
雙關語	sœŋ1 gwan1 jy5	
相關性	sœŋ1 gwan1 sɪŋ3	
雙軌	sœŋ1 gwɐi2	
雙軌制	sœŋ1 gwɐi2 dzɐi3	
雙軌鐵路	sœŋ1 gwɐi2 tit8 lou6	
相繼	sœŋ1 gɐi3	
傷感	sœŋ1 gɐm2	
傷感情	sœŋ1 gɐm2 tsɪŋ4	
相近	sœŋ1 gɐn6	
相干	sœŋ1 gɔn1	
雙槓	sœŋ1 gɔŋ3	
雙槓體操	sœŋ1 gɔŋ3 tɐi2 tsou1	
相敬	sœŋ1 gɪŋ3	
相敬如賓	sœŋ1 gɪŋ3 jy4 bɐn1	
雙喜	sœŋ1 hei2	
雙喜臨門	sœŋ1 hei2 lɐm4 mun4	
相勸	sœŋ1 hyn3	
相許	sœŋ1 hœy2	
雙向	sœŋ1 hœŋ3	
相剋	sœŋ1 hɐk7	
鑲嵌	sœŋ1 hɐm3	
傷痕	sœŋ1 hɐn4	
傷痕累累	sœŋ1 hɐn4 lœy5 lœy5	
傷口	sœŋ1 hɐu2	
傷口發炎	sœŋ1 hɐu2 fat8 jim4	
傷害	sœŋ1 hɔi6	
傷害罪	sœŋ1 hɔi6 dzœy6	
傷害力	sœŋ1 hɔi6 lik9	
傷害性	sœŋ1 hɔi6 sɪŋ3	
傷寒	sœŋ1 hɔn4	
傷寒病	sœŋ1 hɔn4 bɛŋ6	
雙行	sœŋ1 hɔŋ2	
相依為命	sœŋ1 ji1 wɐi4 mɪŋ6	
相異	sœŋ1 ji6	
商業	sœŋ1 jip9	
雙語	sœŋ1 jy5	
相與	sœŋ1 jy5	相處
相遇	sœŋ1 jy6	
傷員	sœŋ1 jyn4	
雙月	sœŋ1 jyt9	
雙月刊	sœŋ1 jyt9 hɔn2	
相約	sœŋ1 jœk8	
相若	sœŋ1 jœk9	
相讓	sœŋ1 jœŋ6	
相因而生	sœŋ1 jɐn1 ji4 sɐŋ1	
商人	sœŋ1 jɐn4	
傷人	sœŋ1 jɐn4	
雙人房	sœŋ1 jɐn4 fɔŋ2	
雙人床	sœŋ1 jɐn4 tsɔŋ4	
相映	sœŋ1 jɪŋ2	
相應	sœŋ1 jɪŋ3	
雙贏	sœŋ1 jɪŋ4	
相認	sœŋ1 jɪŋ6	
相擁	sœŋ1 jʊŋ2	
相容	sœŋ1 jʊŋ4	
商用	sœŋ1 jʊŋ6	
相距	sœŋ1 kœy5	
相求	sœŋ1 kɐu4	
商榷	sœŋ1 kɔk8	
雙曲線	sœŋ1 kʊk7 sin3	
相離	sœŋ1 lei4	
相連	sœŋ1 lin4	
相鄰	sœŋ1 lœn4	
商量	sœŋ1 lœŋ4	
雙螺旋	sœŋ1 lɔ4 syn4	
雙面	sœŋ1 min6	
雙妹嘜	sœŋ1 mui1 mɐk7	姊妹花
商貿	sœŋ1 mɐu6	
傷亡	sœŋ1 mɔŋ4	
傷亡慘重	sœŋ1 mɔŋ4 tsɐm2 dzʊŋ6	
相望	sœŋ1 mɔŋ6	
雙目	sœŋ1 mʊk9	
雙目失明	sœŋ1 mʊk9 sɐt7 mɪŋ4	
傷腦筋	sœŋ1 nou5 gɐn1	
相配	sœŋ1 pui3	
相陪	sœŋ1 pui4	
相撲	sœŋ1 pɔk8	
相碰	sœŋ1 pʊŋ3	
相思	sœŋ1 si1	
相思病	sœŋ1 si1 bɪŋ6	
相思子	sœŋ1 si1 dzi2	
相思豆	sœŋ1 si1 dɐu6	
相視	sœŋ1 si6	
相視而笑	sœŋ1 si6 ji4 siu3	
相識	sœŋ1 sik7	
雙線	sœŋ1 sin3	
相信	sœŋ1 sœn3	
雙脣	sœŋ1 sœn4	
傷勢	sœŋ1 sɐi3	
傷心	sœŋ1 sɐm1	
傷心欲絕	sœŋ1 sɐm1 jʊk9 dzyt9	
傷身	sœŋ1 sɐn1	
雙生	sœŋ1 sɐŋ1	
雙生子	sœŋ1 sɐŋ1 dzi2	
雙生女	sœŋ1 sɐŋ1 nœy5	
相生相剋	sœŋ1 sɐŋ1 sœŋ1 hɐk7	
雙聲帶	sœŋ1 sɪŋ1 dai3	
雙姓	sœŋ1 sɪŋ3	
雙性戀	sœŋ1 sɪŋ3 lyn2	
相成	sœŋ1 sɪŋ4	
相送	sœŋ1 sʊŋ3	
相談	sœŋ1 tam4	
傷天害理	sœŋ1 tin1 hɔi6 lei5	
相差	sœŋ1 tsa1	
傷殘	sœŋ1 tsan4	
相似	sœŋ1 tsi5	
相切	sœŋ1 tsit8	
商朝	sœŋ1 tsiu4	
傷處	sœŋ1 tsy3	
相處	sœŋ1 tsy5	
相傳	sœŋ1 tsyn4	
相隨	sœŋ1 tsœy4	
商場	sœŋ1 tsœŋ4	
雙棲	sœŋ1 tsɐi1	
雙層	sœŋ1 tsɐŋ4	
雙層公車	sœŋ1 tsɐŋ4 gʊŋ1 tsɛ1	
雙層床	sœŋ1 tsɐŋ4 tsɔŋ4	
相稱	sœŋ1 tsɪŋ3	
相衝	sœŋ1 tsʊŋ1	
雙重	sœŋ1 tsʊŋ4	
雙重標準	sœŋ1 tsʊŋ4 biu1 dzœn2	
雙重國籍	sœŋ1 tsʊŋ4 gwɔk8 dzik9	
雙重人格	sœŋ1 tsʊŋ4 jɐn4 gak8	
相睇	sœŋ1 tɐi2	相親
相提並論	sœŋ1 tɐi4 bɪŋ6 lœn6	
相通	sœŋ1 tʊŋ1	
傷痛	sœŋ1 tʊŋ3	
相同	sœŋ1 tʊŋ4	
雙筒望遠鏡	sœŋ1 tʊŋ4 mɔŋ6 jyn5 gɛŋ3	
傷患	sœŋ1 wan6	
相互	sœŋ1 wu6	
相違	sœŋ1 wɐi4	
傷胃	sœŋ1 wɐi6	
相混	sœŋ1 wɐn6	
雙黃線	sœŋ1 wɔŋ4 sin3	
雙眼	sœŋ1 ŋan5	
雙眼皮	sœŋ1 ŋan5 pei4	
相愛	sœŋ1 ɔi3	
相	sœŋ2	照片，相片
想必	sœŋ2 bit7	
想…都唔得	sœŋ2 dou1 m̩4 dɐk7	想…都不行
想盡	sœŋ2 dzœn6	
想象	sœŋ2 dzœŋ6	
想像	sœŋ2 dzœŋ6	
想象力	sœŋ2 dzœŋ6 lik9	
想像力	sœŋ2 dzœŋ6 lik9	
想像出	sœŋ2 dzœŋ6 tsœt7	
相底	sœŋ2 dɐi2	底片
想當然	sœŋ2 dɔŋ1 jin4	
賞花	sœŋ2 fa1	
想法	sœŋ2 fat8	
想方設法	sœŋ2 fɔŋ1 tsit8 fat8	
賞鑑	sœŋ2 gam3	
相機	sœŋ2 gei1	照相機
賞光	sœŋ2 gwɔŋ1	
賞金	sœŋ2 gɐm1	
想起	sœŋ2 hei2	
想要	sœŋ2 jiu3	
鯗魚	sœŋ2 jy4	
賞月	sœŋ2 jyt9	
想入非非	sœŋ2 jɐp9 fei1 fei1	
賞臉	sœŋ2 lim5	
想唔…都幾難	sœŋ2 m̩4 dou1 gei2 nan4	不…不行，非…不可
想念	sœŋ2 nim6	
賞識	sœŋ2 sik7	
賞心悅事	sœŋ2 sɐm1 jyt9 mʊk9	
賞心悅目	sœŋ2 sɐm1 jyt9 mʊk9	
賞賜	sœŋ2 tsi3	
想出	sœŋ2 tsœt7	
賞畫	sœŋ2 wa2	
想話	sœŋ2 wa6	正想，打算
賞玩	sœŋ2 wun6	
相國	sœŋ3 gwɔk8	
相公	sœŋ3 gʊŋ1	
相貌	sœŋ3 mau6	
相命	sœŋ3 mɪŋ6	
相士	sœŋ3 si6	算命先生
相術	sœŋ3 sœt9	
相親	sœŋ3 tsɐn1	
徜徉	sœŋ4 jœŋ4	
常用	sœŋ4 jʊŋ6	
嘗試	sœŋ4 si3	
常常	sœŋ4 sœŋ4	
償還	sœŋ4 wan4	
嫦娥奔月	sœŋ4 ŋɔ4 bɐn1 jyt9	
上班	sœŋ5 ban1	
上班族	sœŋ5 ban1 dzʊk7	
上班服	sœŋ5 ban1 fʊk9	
上班時間	sœŋ5 ban1 si4 gan1	
上榜	sœŋ5 bɔŋ2	
上榜名單	sœŋ5 bɔŋ2 mɪŋ4 dan1	
上大學	sœŋ5 dai6 hɔk9	
上戰場	sœŋ5 dzin3 tsœŋ4	
上陣	sœŋ5 dzɐn3	
上酒家	sœŋ5 dzɐu2 ga1	
上座	sœŋ5 dzɔ6	
上當	sœŋ5 dɔŋ3	
上肥	sœŋ5 fei4	
上墳	sœŋ5 fɐn4	
上火	sœŋ5 fɔ2	
上架	sœŋ5 ga2	
上街	sœŋ5 gai1	
上軌道	sœŋ5 gwɐi2 dou6	
上鉤	sœŋ5 gɐu1	
上鏡	sœŋ5 gɛŋ3	上電視，上相
上鏡頭	sœŋ5 gɛŋ3 tɐu4	
上京	sœŋ5 gɪŋ1	
上供	sœŋ5 gʊŋ3	
上去	sœŋ5 hœy3	
上香	sœŋ5 hœŋ1	
上學	sœŋ5 hɔk9	
上學校	sœŋ5 hɔk9 hau6	
上任	sœŋ5 jɐm6	
上油	sœŋ5 jɐu4	
上釉	sœŋ5 jɐu6	
上契	sœŋ5 kɐi3	認乾親
上蠟	sœŋ5 lap9	
上鏈	sœŋ5 lin2	上發條，上弦
上路	sœŋ5 lou6	
上梁不正下梁歪	sœŋ5 lœŋ4 bɐt7 dzɪŋ3 ha6 lœŋ4 wai1	
上樓	sœŋ5 lɐu4	
上落	sœŋ5 lɔk9	上下，來往
上馬	sœŋ5 ma5	
上門	sœŋ5 mun4	
上網	sœŋ5 mɔŋ5	
上山	sœŋ5 san1	
上山下鄉	sœŋ5 san1 ha6 hœŋ1	
上山下海	sœŋ5 san1 ha6 hɔi2	
上市	sœŋ5 si5	
上色	sœŋ5 sik7	
上線	sœŋ5 sin3	
上樹	sœŋ5 sy6	
上船	sœŋ5 syn4	
上鎖	sœŋ5 sɔ2	
上天堂	sœŋ5 tin1 tɔŋ4	
上前	sœŋ5 tsin4	
上漆	sœŋ5 tsɐt7	
上錯天堂投錯胎	sœŋ5 tsɔ3 tin1 tɔŋ4 tɐu4 tsɔ3 tɔi1	
上菜	sœŋ5 tsɔi3	
上床	sœŋ5 tsɔŋ4	
上車	sœŋ5 tsɛ1	
上台	sœŋ5 tɔi4	
上堂	sœŋ5 tɔŋ4	上課
上畫	sœŋ5 wa2	放映，上映
上位	sœŋ5 wɐi6	
上銀幕	sœŋ5 ŋɐn4 mɔk9	
上岸	sœŋ5 ŋɔn6	發財
上臂	sœŋ6 bei3	
上臂骨	sœŋ6 bei3 gwɐt7	
上便	sœŋ6 bin6	上面
上部	sœŋ6 bou6	
上半部	sœŋ6 bun3 bou6	
上半年	sœŋ6 bun3 nin4	
上半身	sœŋ6 bun3 sɐn1	
上半場	sœŋ6 bun3 tsœŋ4	
上品	sœŋ6 bɐn2	
上集	sœŋ6 dzap9	
上肢	sœŋ6 dzi1	
上漲	sœŋ6 dzœŋ2	
上將	sœŋ6 dzœŋ3	
上晝	sœŋ6 dzɐu3	上午
上載	sœŋ6 dzɔi3	
上中下游	sœŋ6 dzʊŋ1 ha6 jɐu4	
上中農	sœŋ6 dzʊŋ1 nʊŋ4	
上帝	sœŋ6 dɐi3	
上第	sœŋ6 dɐŋ2	
上等兵	sœŋ6 dɐŋ2 bɪŋ1	
上等貨	sœŋ6 dɐŋ2 fɔ3	
上方	sœŋ6 fɔŋ1	
上訪	sœŋ6 fɔŋ2	
上校	sœŋ6 gau3	
上校軍官	sœŋ6 gau3 gwɐn1 gun1	
上繳	sœŋ6 giu2	
上告	sœŋ6 gou3	
上古	sœŋ6 gu2	
上古時代	sœŋ6 gu2 si4 dɔi6	
上個	sœŋ6 gɔ3	
上個禮拜	sœŋ6 gɔ3 lɐi5 bai3	上個星期
上下其手	sœŋ6 ha6 kei4 sɐu2	
上下文	sœŋ6 ha6 mɐn4	
上限	sœŋ6 han6	
上氣不接下氣	sœŋ6 hei3 bɐt7 dzip8 ha6 hei3	
上好	sœŋ6 hou2	
上頜骨	sœŋ6 hɐp9 gwɐt7	
上海話	sœŋ6 hɔi2 wa2	
上空	sœŋ6 hʊŋ1	
上空裝	sœŋ6 hʊŋ1 dzɔŋ1	
上衣	sœŋ6 ji1	
上意識	sœŋ6 ji3 sik7	
上移	sœŋ6 ji4	
上議院	sœŋ6 ji5 jyn6	
上演	sœŋ6 jin2	
上弦	sœŋ6 jin4	
上弦月	sœŋ6 jin4 jyt9	
上頁	sœŋ6 jip9	
上游	sœŋ6 jɐu4	
上游工業	sœŋ6 jɐu4 gʊŋ1 jip9	
上映	sœŋ6 jɪŋ2	
上映期間	sœŋ6 jɪŋ2 kei4 gan1	
上級	sœŋ6 kɐp7	
上聯	sœŋ6 lyn4	
上流	sœŋ6 lɐu4	
上流人士	sœŋ6 lɐu4 jɐn4 si6	
上流社會	sœŋ6 lɐu4 sɛ5 wui6	
尚未	sœŋ6 mei6	
上面	sœŋ6 min6	
上文	sœŋ6 mɐn4	
上皮	sœŋ6 pei4	
上皮組織	sœŋ6 pei4 dzou2 dzik7	
上皮細胞	sœŋ6 pei4 sɐi3 bau1	
上坡	sœŋ6 pɔ1	
上坡道	sœŋ6 pɔ1 dou6	
上坡路	sœŋ6 pɔ1 lou6	
上司	sœŋ6 si1	
上訴	sœŋ6 sou3	
上訴人	sœŋ6 sou3 jɐn4	
上書	sœŋ6 sy1	
上述	sœŋ6 sœt9	
上上之策	sœŋ6 sœŋ6 dzi1 tsak8	
上上下下	sœŋ6 sœŋ6 ha6 ha6	
上昇	sœŋ6 sɪŋ1	
上聲	sœŋ6 sɪŋ1	
上乘	sœŋ6 sɪŋ4	
上天	sœŋ6 tin1	
上天無路	sœŋ6 tin1 mou4 lou6	
上吐下瀉	sœŋ6 tou3 ha6 sɛ3	
上策	sœŋ6 tsak8	
上次	sœŋ6 tsi3	
上朝	sœŋ6 tsiu4	
上傳	sœŋ6 tsyn4	
上旬	sœŋ6 tsœn4	
上層	sœŋ6 tsɐŋ4	
上層社會	sœŋ6 tsɐŋ4 sɛ5 wui6	
上蒼	sœŋ6 tsɔŋ1	
上斜	sœŋ6 tsɛ3	上坡
上情下達	sœŋ6 tsɪŋ4 ha6 dat9	
上體	sœŋ6 tɐi2	
上湯	sœŋ6 tɔŋ1	高湯
上尉	sœŋ6 wɐi3	
上尉軍官	sœŋ6 wɐi3 gwɐn1 gun1	
上額	sœŋ6 ŋak9	
上眼皮	sœŋ6 ŋan5 pei4	
上顎	sœŋ6 ŋɔk9	
上顎骨	sœŋ6 ŋɔk9 gwɐt7	
上岸	sœŋ6 ŋɔn6	
西便	sɐi1 bin6	西邊
西半球	sɐi1 bun3 kɐu4	
西餅	sɐi1 bɛŋ2	西式點心，西點
