開放粵語詞典（耶魯拼音調符調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［耶魯拼音］	［國語解釋］
榮辱與共	wìhng yuhk yúh guhng	
永不	wíhng bāt	
永別	wíhng biht	
永動機	wíhng duhng gēi	
永久	wíhng gáu	
永久性	wíhng gáu	
永恆	wíhng hàhng	
永志不忘	wíhng ji bāt mòhng	
永續發展	wíhng juhk faat jín	
永無休止	wíhng mòuh yāu jí	
永世	wíhng sai	
永世	wíhng sai	一輩子
永世都記得	wíhng sai dōu gei dāk	一輩子都忘不了
永垂不朽	wíhng sèuih bāt náu	
永浴愛河	wíhng yuhk oi hòh	
永遠	wíhng yúhn	
泳池	wihng chìh	
泳褲	wihng fu	
穎慧	wihng waih	
泳衣	wihng yī	
穎秀	wihng yih	
窩藏	wō chòhng	
窩藏罪犯	wō chòhng jeuih fáan	
窩藏禍心	wō chòhng woh sām	
蝸居	wō gēui	
萵苣	wō geuih	
倭寇	wō kau	
窠臼	wō káuh	
蝸牛	wō ngàuh	
窩囊	wō nòhng	
窩心	wō sām	
鍋貼	wō tip	
喎	wo	喔
喎	wòh	喔
禾	wòh	稻子，水稻，稻苗，禾苗
和服	wòh fuhk	
禾稈	wòh gón	稻草
禾稈草	wòh gón chóu	稻草
和諧	wòh hàaih	
和煦	wòh héui	
和好	wòh hóu	
禾造	wòh jouh	水稻的收成
禾鐮	wòh lìhm	鐮刀
和睦	wòh muhk	
和藹	wòh ói	
和平	wòh pìhng	
和平鴿	wòh pìhng gap	
和平共處	wòh pìhng guhng chyúh	
和平共存	wòh pìhng guhng chyùhn	
和平談判	wòh pìhng tàahm pun	
和尚	wòh seúng	
和尚	wòh seuhng	
和事老	wòh sih lóuh	
和善	wòh sihn	
禾塘	wòh tòhng	曬場
喎	wóh	喔
堝	wóh	壞了，糟了，變質，失敗，落空
禍不單行	woh bāt dāan hàhng	
禍從口出	woh chùhng háu cheūt	
禍從天降	woh chùhng tīn gong	
禍端	woh dyūn	
禍福	woh fūk	
禍福無門	woh fūk mòuh mùhn	
禍福同門	woh fūk tùhng mùhn	
禍福與共	woh fūk yúh guhng	
禍國殃民	woh gwok yeūng màhn	
禍起蕭牆	woh héi siū cheùhng	
禍害	woh hoih	
禍亂	woh lyuhn	
禍水	woh séui	
禍胎	woh tōi	
禍患	woh waahn	
鑊	wohk	鐵鍋，炒菜鍋
獲頒	wohk bāan	
鑊鏟	wohk cháan	鍋鏟
獲取	wohk chéui	
獲得	wohk dāk	
獲救	wohk gau	
獲罪	wohk jeuih	
獲獎	wohk jeúng	
獲獎人	wohk jeúng yàhn	
獲知	wohk jī	
獲利	wohk leih	
獲悉	wohk sīk	
獲釋	wohk sīk	
獲勝	wohk sing	
獲選	wohk syún	
獲益	wohk yīk	
枉	wóng	白白地，徒勞地
枉費	wóng faih	白費，白白耗費
枉做	wóng jouh	白幹
枉做人	wóng jouh yàhn	白活了
黃	wòhng	熟，成熟
皇親	wòhng chān	
皇親國戚	wòhng chān gwok chīk	
王朝	wòhng chiùh	
皇朝	wòhng chiùh	
蝗蟲	wòhng chùhng	
王儲	wòhng chyúh	
皇儲	wòhng chyúh	
皇帝	wòhng dai	
王道	wòhng douh	
黃花筒	wòhng fā túng	黃花魚
黃花筒鹹魚	wòhng fā túng hàahm yùh	鹹黃花魚
王妃	wòhng fēi	
黃蜂	wòhng fūng	馬蜂
黃蜂巢	wòhng fūng chàauh	
黃蜂竇	wòhng fūng dau	馬蜂窩
皇家	wòhng gā	
皇家飯店	wòhng gā faahn dim	監獄
黃金	wòhng gām	
黃猄	wòhng gēng	麂子
皇冠	wòhng gūn	
王宮	wòhng gūng	
皇宮	wòhng gūng	
黃瓜造	wòhng gwā jouh	黃瓜旺季
黃瓜酸	wòhng gwā syūn	醃酸黃瓜，酸黃瓜
王國	wòhng gwok	
王侯	wòhng hàuh	
王侯將相	wòhng hàuh jeung seung	
皇后	wòhng hauh	
皇氣	wòhng hei	警察，警方
惶恐	wòhng húng	
黃犬	wòhng hyún	蚯蚓
王子	wòhng jí	
皇族	wòhng juhk	
皇族內閣	wòhng juhk noih gok	
黃蜞	wòhng kèih	螞蟥
王權	wòhng kyùhn	
皇權	wòhng kyùhn	
遑論	wòhng leuhn	
黃梁一夢	wòhng leùhng yāt muhng	
皇曆	wòhng lihk	
王老五	wòhng lóuh ńgh	單身漢
黃綠醫生	wòhng luhk yī sāang	庸醫，江湖醫生
王母	wòhng móuh	
黃泥	wòhng nàih	黃土
王牌	wòhng pàaih	
王牌軍	wòhng pàaih gwān	
黃袍	wòhng pòuh	
黃袍加身	wòhng pòuh gā sān	
王室	wòhng sāt	
皇室	wòhng sāt	
皇上	wòhng seuhng	
黃色	wòhng sīk	
黃色架步	wòhng sīk ga bouh	色情場所
黃鱔	wòhng síhn	
皇叔	wòhng sūk	
皇太后	wòhng taai hauh	
皇太子	wòhng taai jí	
黃疸	wòhng táan	
皇天	wòhng tīn	
皇天后土	wòhng tīn hauh tóu	
黃銅	wòhng tùhng	
王位	wòhng waih	
皇位	wòhng waih	
惶惶不可終日	wòhng wòhng bāt hó jūng yaht	
皇皇巨著	wòhng wòhng geuih jyu	
皇恩浩蕩	wòhng yān houh dohng	
往來	wóhng lòih	
往事	wóhng sih	
往日	wóhng yaht	過去，以前
旺	wohng	熱鬧，繁華，興旺，生意興隆
旺區	wohng kēui	熱鬧地區，熱鬧點，鬧區
烏賊	wū chaahk	
嗚呼哀哉	wū fū ōi jōi	
烏龜	wū gwāi	
污漬	wū jīk	
污糟	wū jōu	骯髒
污糟錢	wū jōu chín	髒錢
污糟邋遢	wū jōu laaht taat	髒兮兮的，髒髒的
污糟貓	wū jōu māau	很髒的人，不講衛生的人
污糟衫	wū jōu sāam	髒衣服
烏鱧	wū láih	
烏喱單刀	wū lēi dāan dōu	亂七八糟，糊里糊塗，一塌糊塗
烏喱馬扠	wū lēi máh cháh	亂七八糟，潦草
烏龍	wū lúng	糊涂，大意，糊裡糊塗
烏龍事	wū lúng sih	糊塗事，差錯
烏龍王	wū lúng wòhng	糊塗蟲
烏龍	wū lùhng	
烏龍茶	wū lùhng chàh	
烏鴉	wū ngā	
污染	wū yíhm	
烏蠅	wū yīng	蒼蠅
湖畔	wùh buhn	
蝴蝶	wùh dihp	
蝴蝶結	wùh dihp git	
餬口	wùh háu	
胡謅	wùh jāu	
狐裘	wùh kàuh	
狐狸	wùh lèih	
胡蘿蔔	wùh lòh baahk	
葫蘆	wùh lòuh	
胡亂	wùh lyuhn	
狐朋狗友	wùh pàhng gáu yáuh	
弧線	wùh sin	
鬍鬚	wùh sōu	鬍子，鬍鬚
糊塗	wùh tòuh	
胡桃	wùh tòuh	
衚衕	wùh tùhng	
戶口名簿	wúh háu mìhng bouh	
互不侵犯條約	wuh bāt chām faahn tiùh yeuk	
互不干涉內政	wuh bāt gōn sip noih jing	
互不相讓	wuh bāt seūng yeuhng	
護庇	wuh bei	
護壆層	wuh bok chàhng	基堤
互補	wuh bóu	
扈從	wuh chùhng	
互動	wuh duhng	
護花使者	wuh fā si jé	
護髮	wuh faat	
互訪	wuh fóng	
護膚	wuh fū	
護膚品	wuh fū bán	
護駕	wuh ga	
戶口	wuh háu	
戶口簿	wuh háu bóu	
戶口調查	wuh háu diuh chàh	
戶口普查	wuh háu póu chàh	
戶口謄本	wuh háu tàhng bún	
護航	wuh hòhng	
護航艦	wuh hòhng laahm	
護航艦隊	wuh hòhng laahm deuih	
戶長	wuh jeúng	
互致問候	wuh ji mahn hauh	
戶籍	wuh jihk	
戶籍謄本	wuh jihk tàhng bún	
護照	wuh jiu	
互助	wuh joh	
護住	wuh jyuh	
護理	wuh léih	
護理系	wuh léih haih	
護理職業	wuh léih jyūn yihp	
護面	wuh mihn	
護目	wuh muhk	
護目鏡	wuh muhk geng	
護眼	wuh ngáahn	
戶外	wuh ngoih	
戶外運動	wuh ngoih wahn duhng	
戶外活動	wuh ngoih wuht duhng	
怙惡不悛	wuh ngok bāt syūn	
戶內	wuh noih	
護身	wuh sān	
護身符	wuh sān fùh	
互相	wuh seūng	
互相幫助	wuh seūng bōng joh	
互相切磋	wuh seūng chit chō	
護士	wuh sih	
護士學校	wuh sih hohk haauh	
護士長	wuh sih jeúng	
護士室	wuh sih sāt	
護城河	wuh sìhng hòh	
護送	wuh sung	
護送隊	wuh sung deuih	
戶樞不蠹	wuh syū bāt dou	
芋頭	wuh tàuh	
護套	wuh tou	
互惠	wuh waih	
護衛	wuh waih	
護衛隊	wuh waih deuih	
護衛艦	wuh waih laahm	
護運	wuh wahn	
互換	wuh wuhn	
護佑	wuh yauh	
煨	wuī	烘烤
煨番薯	wuī fāan syùh	烤番薯
蛔蟲	wuìh chùhng	
回答	wuìh daap	
回覆	wuìh fūk	
回教徒	wuìh gaau tòuh	
回歸	wuìh gwāi	
回歸線	wuìh gwāi sin	
回南	wuìh nàahm	轉暖，回暖，吹南風，轉颳南風
回南天	wuìh nàahm tīn	回暖天氣
回收	wuìh sāu	
回首	wuìh sáu	
回水	wuìh séui	退錢
回聲	wuìh sīng	
回憶	wuìh yīk	
回應	wuìh ying	
會唔會	wuíh m̀h wuíh	會不會
會彈唔會唱	wuíh tàahn m̀h wuíh cheung	只會說不會做
會會哋	wuíh wuí déi	會一點兒
會錯意	wuih cho yi	誤解，誤會
匯款	wuih fún	
匯合	wuih hahp	
會話	wuih wá	
會陰	wuih yām	
會議	wuih yíh	
碗	wún	飯碗
腕錶	wún biū	手錶
腕部	wún bouh	
豌豆	wún dauh	
碗篤	wún dūk	碗底
碗筷	wún faai	
碗櫃	wún gwaih	
腕骨	wún gwāt	
腕足	wún jūk	
腕足動物	wún jūk duhng maht	
腕力	wún lihk	
惋惜	wún sīk	
莞爾	wún yíh	
莞爾一笑	wún yíh yāt siu	
援交	wùhn gāau	
援軍	wùhn gwān	
援助	wùhn joh	
援助交際	wùhn joh gāau jai	
緩慢	wùhn maahn	
援手	wùhn sáu	
浣熊	wúhn hùhng	
緩兵	wuhn bīng	
緩兵之計	wuhn bīng jī gai	
緩步	wuhn bouh	
緩步而行	wuhn bouh yìh hàahng	
換錢	wuhn chín	
緩衝	wuhn chūng	
緩衝地帶	wuhn chūng deih daai	
緩衝地區	wuhn chūng deih kēui	
緩衝國	wuhn chūng gwok	
緩衝器	wuhn chūng hei	
緩衝劑	wuhn chūng jāi	
緩衝作用	wuhn chūng jok yuhng	
緩衝期	wuhn chūng kèih	
緩衝區	wuhn chūng kēui	
玩忽	wuhn fāt	
玩忽職守	wuhn fāt jīk sáu	
緩解	wuhn gáai	
緩急	wuhn gāp	
玩具	wuhn geuih	
玩具槍	wuhn geuih cheūng	
玩具店	wuhn geuih dim	
緩氣	wuhn hei	
緩期	wuhn kèih	
玩樂	wuhn lohk	
玩弄	wuhn luhng	
玩物	wuhn maht	
玩物喪志	wuhn maht song ji	
玩味	wuhn meih	
玩偶	wuhn ngáuh	
玩票	wuhn piu	
換衫	wuhn sāam	換衣服
玩世	wuhn sai	
玩世不恭	wuhn sai bāt gūng	
喚醒	wuhn séng	
玩賞	wuhn seúng	
換屎片	wuhn sí pín	換尿布
緩和	wuhn wòh	
緩緩	wuhn wuhn	
緩役	wuhn yihk	
緩延	wuhn yìhn	
煥然一新	wuhn yìhn yāt sān	
緩刑	wuhn yìhng	
玩月	wuhn yuht	
活版	wuht báan	
活版印刷	wuht báan yan chaat	
活蹦亂跳	wuht baahng lyuhn tiu	
活寶	wuht bóu	
活到老學到老	wuht dou lóuh hohk dou lóuh	
活動	wuht duhng	
活佛	wuht faht	
活火山	wuht fó sāan	
活口	wuht háu	
活字	wuht jih	
活字版	wuht jih báan	
活字典	wuht jih dín	
活字印刷	wuht jih yan chaat	
活捉	wuht jūk	
活期	wuht kèih	
活期儲蓄	wuht kèih chyúh chūk	
活期存款	wuht kèih chyùhn fún	
活力	wuht lihk	
活力充沛	wuht lihk chūng pui	
活路	wuht louh	
活埋	wuht màaih	
活命	wuht mehng	
活剝生吞	wuht mōk sāng tān	
活潑	wuht put	
活栓	wuht sāan	
活塞	wuht sāk	
活生生	wuht sāng sāng	
活受罪	wuht sauh jeuih	
活水	wuht séui	
活性	wuht sing	
活活潑潑	wuht wuht put put	
活躍	wuht yeuhk	
也許	yáh héui	
廿	yah	二十
廿八歲	yah baat seui	二十八歲
廿四	yah sei	二十四
跴	yáai	踩，騎（自行車等）
跴單車	yáai dāan chē	騎自行車，騎腳踏車
喫	yaak	吃
喫飯	yaak faahn	吃飯
曳曳	yāi yāi	淘氣
曳	yáih	淘氣
曳貨	yáih fo	劣貨
曳嘢	yáih yéh	次東西，次貨
曳到死	yaih dou séi	調皮得要命，淘氣得要命，非常頑皮
紝	yām	劉海
陰	yām	害，暗害，陰險
陰	yām	暗害，算計
陰	yām	陰險
陰暗	yām am	
陰暗面	yām am mihn	
陰差陽錯	yām chā yeùhng cho	
欽差	yām chāai	
陰沉	yām chàhm	
陰沉沉	yām chàhm chàhm	
欽賜	yām chi	
陰晴	yām chìhng	
陰晴不定	yām chìhng bāt dihng	
陰蒂	yām dai	
陰電	yām dihn	
陰電子	yām dihn jí	
陰道	yām douh	
陰毒	yām duhk	惡毒，狠毒，陰險毒辣
陰府	yām fú	
陰間	yām gāan	
陰極	yām gihk	
陰功	yām gūng	殘忍，可憐，造孽
陰功鬼	yām gūng gwái	缺德鬼
陰狠	yām hán	
陰狠毒辣	yām hán duhk laaht	
陰莖	yām hāng	
陰核	yām haht	
陰氣	yām hei	
音響	yām heúng	
陰險	yām hím	
陰險毒辣	yām hím duhk laaht	
陰騭	yām jāt	缺德，造孽，虧心，陰毒
陰騭事	yām jāt sih	虧心事，缺德事
陰溝	yām kāu	
陰溝裡翻船	yām kāu léuih fāan syùhn	
陰冷	yām láahng	
陰離子	yām lèih jí	
陰涼	yām leùhng	
陰曆	yām lihk	
陰霾	yām màaih	
陰謀	yām màuh	
陰謀份子	yām màuh fahn jí	
陰謀家	yām màuh gā	
陰毛	yām mòuh	
音樂	yām ngohk	
音樂家	yām ngohk gā	
音樂團體	yām ngohk tyùhn tái	
音樂會	yām ngohk wuí	
陰囊	yām nòhng	
陰平	yām pìhng	
欽佩	yām pui	
陰山	yām sāan	
陰森	yām sām	
陰森森	yām sām sām	
陰濕	yām sāp	
陰濕	yām sāp	陰險，狡猾
陰壽	yām sauh	
陰聲細氣	yām sēng sai hei	小聲小氣，低聲細語，輕聲細氣，輕言細語
陰脣	yām seùhn	
陰司紙	yām sī jí	紙錢，冥鈔
陰性	yām sing	
陰性反應	yām sing fáan ying	
陰盛陽衰	yām sihng yeùhng sēui	
陰天	yām tīn	
陰雲	yām wàhn	
陰魂	yām wàhn	
音韻	yām wahn	
陰陰暗暗	yām yām am am	
陰陰沉沉	yām yām chàhm chàhm	
陰人	yām yàhn	算計別人，暗害別人
陰柔	yām yàuh	
陰陽	yām yeùhng	
陰陽家	yām yeùhng gā	
陰陽怪氣	yām yeùhng gwaai hei	
陰陽眼	yām yeùhng ngáahn	
陰陽人	yām yeùhng yàhn	
陰影	yām yíng	
陰雨	yām yúh	
陰雨天	yām yúh tīn	
陰月	yām yuht	
飲	yám	喝
飲品	yám bán	
飲杯	yám buī	碰杯，喝一杯
飲茶	yám chàh	下館子
飲茶	yám chàh	喝茶
飲茶錢	yám chàh chín	酒飯錢
飲大咗	yám daaih jó	酒喝多了，喝醉了
飲大咗兩杯	yám daaih jó leúhng buī	喝醉
飲啖茶	yám daahm chàh	喝口茶
飲啖水	yám daahm séui	喝口水
飲彈	yám daahn	
飲彈自盡	yám daahn jih jeuhn	
飲翻杯喇	yám fāan buī lā	喝一杯吧
飲管	yám gún	吸管
飲恨	yám hahn	
飲恨而終	yám hahn yìh jūng	
飲鴆止渴	yám jahm jí hot	
飲酒	yám jáu	喝酒
飲醉	yám jeui	喝醉
飲醉酒	yám jeui jáu	喝醉了
飲醉咗	yám jeui jó	喝醉了
飲料	yám liuh	
飲料店	yám liuh dim	
飲水	yám séui	喝水
飲水機	yám séui gēi	
飲水思源	yám séui sī yùhn	
飲醇自醉	yám seùhn jih jeui	
飲食	yám sihk	
飲食店	yám sihk dim	
飲食男女	yám sihk nàahm néuih	
飲食失調	yám sihk sāt tiùh	
飲食業	yám sihk yihp	
飲勝	yám sing	乾杯
飲勝佢	yám sing kéuih	幹了它，乾杯
飲傻仔水	yám sòh jái séui	喝酒
飲筒	yám túng	吸管
飲飲食食	yám yám sihk sihk	吃吃喝喝
飲泣	yám yāp	
飲用	yám yuhng	
飲用水	yám yuhng séui	
窨井	yam jéng	
淫賊	yàhm chaahk	
吟唱	yàhm cheung	
淫蕩	yàhm dohng	
淫婦	yàhm fúh	
任何	yàhm hòh	
淫賤	yàhm jihn	
吟誦	yàhm juhng	
淫亂	yàhm lyuhn	
任務	yàhm mouh	
吟哦	yàhm ngòh	
吟詩	yàhm sī	
吟詩作對	yàhm sī jok deui	
淫褻	yàhm sit	
淫笑	yàhm siu	
淫書	yàhm syū	
淫威	yàhm wāi	
淫猥	yàhm wái	
淫穢	yàhm wai	
吟詠	yàhm wihng	
淫業	yàhm yihp	
霪雨	yàhm yúh	
淫慾	yàhm yuhk	
荏苒	yáhm yíhm	
妊婦	yahm fúh	
任揀唔嬲	yahm gáan m̀h nāu	隨便挑選也不在乎
衽金革	yahm gām gaak	
任職	yahm jīk	
衽席	yahm jihk	
任憑	yahm pàhng	
妊娠	yahm sān	
妊孕	yahm yahn	
姻婭	yān a	
因循	yān cheùhn	
因循守舊	yān cheùhn sáu gauh	
因此	yān chí	
因此之故	yān chí jī gu	
恩賜	yān chi	
恩情	yān chìhng	
因材施教	yān chòih sī gaau	
恩寵	yān chúng	
恩重如山	yān chúhng yùh sāan	
因地制宜	yān deih jai yìh	
恩典	yān dín	
殷鑑	yān gaam	
殷鑑不遠	yān gaam bāt yúhn	
因故	yān gu	
因公殉職	yān gūng seūn jīk	
因果	yān gwó	
因果報應	yān gwó bou ying	
因果關係	yān gwó gwāan haih	
因果論	yān gwó leuhn	
因果律	yān gwó leuht	
因襲	yān jaahp	
因襲陳規	yān jaahp chàhn kwāi	
恩將仇報	yān jeūng sàuh bou	
因之	yān jī	
因子	yān jí	
因住	yān jyuh	當心，小心
因住電親	yān jyuh dihn chān	當心觸電
因住凍親	yān jyuh dung chān	當心著涼，小心著涼
殷勤	yān kàhn	
因陋就簡	yān lauh jauh gáan	
因利乘便	yān leih sìhng bihn	
堙滅	yān miht	
堙沒	yān muht	
恩愛	yān oi	
恩愛夫妻	yān oi fū chāi	
因勢利導	yān sai leih douh	
甄審	yān sám	
恩仇	yān sàuh	
欣賞	yān seúng	
恩師	yān sī	
因時制宜	yān sìh jai yìh	
因式	yān sīk	
因式分解	yān sīk fān gáai	
因小失大	yān siú sāt daaih	
因數	yān sou	
因素	yān sou	
因數分解	yān sou fān gáai	
甄選	yān syún	
甄選人才	yān syún yàhn chòih	
欣慰	yān wai	
因為	yān waih	
恩惠	yān waih	
氤氳	yān wān	
因禍得福	yān woh dāk fūk	
恩恩愛愛	yān yān oi oi	
恩恩怨怨	yān yān yun yun	
恩人	yān yàhn	
因人成事	yān yàhn sìhng sih	
因人而異	yān yàhn yìh yih	
因由	yān yàuh	
因由	yān yàuh	原因
因而	yān yìh	
因應	yān ying	
因噎廢食	yān yit fai sihk	
因雨取消	yān yúh chéui siū	
因雨延期	yān yúh yìhn kèih	
恩怨	yān yun	
因緣	yān yùhn	
姻緣	yān yùhn	
因緣際會	yān yùhn jai wuih	
隱蔽	yán bai	
隱藏	yán chòhng	
隱晦	yán fui	
隱伏	yán fuhk	
隱居	yán gēui	
忍唔到	yán m̀h dóu	忍不住
隱密	yán maht	
隱名	yán mìhng	
隱瞞	yán mùhn	
忍耐	yán noih	
忍心	yán sām	
隱身	yán sān	
隱身術	yán sān seuht	
忍受	yán sauh	
隱私	yán sī	
隱私權	yán sī kyùhn	
隱姓埋名	yán sing màaih mìhng	
隱退	yán teui	
隱諱	yán wáih	
隱隱	yán yán	
隱隱作痛	yán yán jok tung	
隱隱約約	yán yán yeuk yeuk	
隱約	yán yeuk	
忍讓	yán yeuhng	
隱形	yán yìhng	
隱形眼鏡	yán yìhng ngáahn geng	
隱形人	yán yìhng yàhn	
隱語	yán yúh	
隱喻	yán yuh	
印本	yan bún	
印刷	yan chaat	
印刷品	yan chaat bán	
印刷廠	yan chaat chóng	
印刷機	yan chaat gēi	
印刷術	yan chaat seuht	
印刷體	yan chaat tái	
印刷業	yan chaat yihp	
印出	yan cheūt	
印度教	yan douh gaau	
印度豹	yan douh paau	
印度人	yan douh yàhn	
印花	yan fā	
印花稅	yan fā seui	
印發	yan faat	
印鑑	yan gaam	
印記	yan gei	
印痕	yan hahn	
印章	yan jeūng	
印象	yan jeuhng	
印象主義	yan jeuhng jyú yih	
印證	yan jing	
印模	yan mòuh	
印泥	yan nàih	
印尼人	yan nèih yàhn	
印綬	yan sauh	
印染	yan yíhm	
印傭	yan yùhng	印尼傭人
人辦	yàhn báan	樣版，榜樣
人不犯我，我不犯人	yàhn bāt faahn ngóh ngóh bāt faahn yàhn	
人不犯我，我不犯人，人若犯我，我必犯人	yàhn bāt faahn ngóh ngóh bāt faahn yàhn yàhn yeuhk faahn ngóh ngóh bīt faahn yàhn	
人不可貌相	yàhn bāt hó maauh seung	
人不可貌相，海不可斗量	yàhn bāt hó maauh seung hói bāt hó dáu leùhng	
人不知鬼不覺	yàhn bāt jī gwái bāt gok	
人不為己，天誅地滅	yàhn bāt wàih géi tīn jyū deih miht	
人比人氣死人	yàhn béi yàhn hei séi yàhn	
仁慈	yàhn chìh	
人稱	yàhn chīng	
人稱代名詞	yàhn chīng doih mìhng chìh	
人才	yàhn chòih	
仁弟	yàhn daih	
仁德	yàhn dāk	
人哋	yàhn deih	人家，別人
人道	yàhn douh	
人道精神	yàhn douh jīng sàhn	
人道主義	yàhn douh jyú yih	
人非草木	yàhn fēi chóu muhk	
人非聖賢，孰能無過	yàhn fēi sing yìhn suhk nàhng mòuh gwo	
人逢喜事精神爽	yàhn fùhng héi síh jīng sàhn sóng	
人間	yàhn gāan	
人間地獄	yàhn gāan deih yuhk	
人間仙境	yàhn gāan sīn gíng	
人間天堂	yàhn gāan tīn tòhng	
人軋人	yàhn gaat yàhn	
人見人愛	yàhn gin yàhn oi	
人工	yàhn gūng	工資
人客	yàhn haak	客人
人喊馬嘶	yàhn haam máh sāi	
人行道	yàhn hàahng douh	
人口	yàhn háu	
仁厚	yàhn háuh	
人氣	yàhn hei	
仁兄	yàhn hīng	
人仔	yàhn jái	人民幣
人際	yàhn jai	
人際關係	yàhn jai gwāan haih	
仁者	yàhn jé	
仁者见仁，智者見智	yàhn jé gin yàhn ji jé gin ji	
仁者無敵	yàhn jé mòuh dihk	
人盡可夫	yàhn jeuhn hó fū	
人之將死，其言也善	yàhn jī jeūng séi kèih yìhn yáh sihn	
人之常情	yàhn jī seùhng chìhng	
人質	yàhn ji	
仁至義盡	yàhn ji yih jeuhn	
人在福中不知福	yàhn joih fūk jūng bāt jī fūk	
人造	yàhn jouh	
人造纖維	yàhn jouh chīm wàih	
人造絲	yàhn jouh sī	
人造衛星	yàhn jouh waih sīng	
人中	yàhn jūng	
人群	yàhn kwàhn	
人權	yàhn kyùhn	
人類	yàhn leuih	
人類學	yàhn leuih hohk	
人類學家	yàhn leuih hohk gā	
人龍	yàhn lùhng	隊排得很長
人唔似人，鬼唔似鬼	yàhn m̀h chíh yàhn gwái m̀h chíh gwái	落魄
人馬	yàhn máh	
人民	yàhn màhn	
人民幣	yàhn màhn baih	
仁民愛物	yàhn màhn oi maht	
人物	yàhn maht	
人物誌	yàhn maht ji	
人面獸心	yàhn mihn sau sām	
人面桃花	yàhn mihn tòuh fā	
人無千日好	yàhn mòuh chīn yaht hóu	
人無千日好，花無百日紅	yàhn mòuh chīn yaht hóu fā mòuh baak yaht hùhng	
仁愛	yàhn oi	
人怕噅， 米怕篩	yàhn pa ngāi máih pa sāi	人怕別人多次懇求，人就怕被人哀求
人細鬼大	yàhn sai gwái daaih	人小鬼大，人小點子多
人參	yàhn sām	
仁心	yàhn sām	
人心不足蛇吞象	yàhn sām bāt jūk sèh tān jeuhng	
仁心仁術	yàhn sām yàhn seuht	
人身攻擊	yàhn sān gūng gīk	
人生	yàhn sāng	
人生觀	yàhn sāng gūn	
人生路不熟	yàhn sāng louh bāt suhk	
人生舞台	yàhn sāng móuh tòih	
人生意義	yàhn sāng yi yih	
人生如朝露	yàhn sāng yùh jiū louh	
人生如夢	yàhn sāng yùh muhng	
人蛇	yàhn sèh	水路偷渡者，非法入境者
人衰行路打倒褪	yàhn sēui hàahng louh dá dóu tan	人倒霉，走路都摔跤
仁術	yàhn seuht	
人數	yàhn sou	
人選	yàhn syún	
人算不如天算	yàhn syun bāt yùh tīn syun	
人體	yàhn tái	
人頭	yàhn tàuh	
人頭豬腦	yàhn tàuh jyū nóuh	蠢笨
人頭稅	yàhn tàuh seui	
人頭湧湧	yàhn tàuh yúng yúng	人山人海
人寰	yàhn wàahn	
人為財死，鳥為食亡	yàhn wàih chòih séi niúh wàih sihk mòhng	
人為刀俎	yàhn wàih dōu jó	
人為萬物之靈	yàhn wàih maahn maht jī lìhng	
人云亦云	yàhn wàhn yihk wàhn	
仁人	yàhn yàhn	
仁人君子	yàhn yàhn gwān jí	
仁人志士	yàhn yàhn ji sih	
人有我有	yàhn yáuh ngóh yáuh	人家有的我也有
仁義	yàhn yih	
仁義道德	yàhn yih douh dāk	
仁義禮智信	yàhn yih láih ji seun	
仁言利博	yàhn yìhn leih bok	
人慾橫流	yàhn yuhk wàahng làuh	
人員	yàhn yùhn	
人猿	yàhn yùhn	
引爆	yáhn baau	
引發	yáhn faat	
引咎辭職	yáhn gau chìh jīk	
引誘	yáhn yáuh	
引用	yáhn yuhng	
引用文	yáhn yuhng màhn	
孕婦	yahn fúh	
紉針	yahn jām	
韌性	yahn sing	
孕育	yahn yuhk	
泣不成聲	yāp bāt sìhng sīng	
翕動	yāp duhng	
翕眼	yāp ngáahn	眨眼
悒鬱	yāp wāt	
熠熠閃爍	yāp yāp sím seuk	
入	yahp	進
入不敷出	yahp bāt fū cheūt	
入便	yahp bihn	裡面，裡頭，裡邊
入侵	yahp chām	
入秋	yahp chāu	
入場	yahp cheùhng	
入錢	yahp chín	存錢
入黨	yahp dóng	
入伙	yahp fó	入住
入貨	yahp fo	進貨，買進
入境	yahp gíng	
入境隨俗	yahp gíng chèuih juhk	
入境簽證	yahp gíng chīm jing	
入境證	yahp gíng jing	
入境問俗	yahp gíng mahn juhk	
入境問俗，入鄉隨俗	yahp gíng mahn juhk yahp heūng chèuih juhk	
入境手續	yahp gíng sáu juhk	
入口	yahp háu	
入口即化	yahp háu jīk fa	
入去	yahp heui	進去
入鄉隨俗	yahp heūng chèuih juhk	
入閘口	yahp jaahp háu	進剪票口
入蟄	yahp jaht	
入樽	yahp jeūn	扣籃，灌籃，進球，投籃
入嚟	yahp lèih	進來
入嚟啦	yahp lèih lā	進來吧，請進
入殮	yahp líhm	
入面	yahp mihn	裡面
入魔	yahp mō	
入門	yahp mùhn	
入伍	yahp ńgh	
入聲	yahp sīng	
入數	yahp sou	入賬
入選	yahp syún	
入土為安	yahp tóu wàih ōn	
入圍	yahp wàih	
入闈	yahp wàih	
入獄	yahp yuhk	
入院	yahp yuhn	
一敗塗地	yāt baaih tòuh deih	
一百	yāt baak	
一飽口福	yāt báau háu fūk	
一飽眼福	yāt báau ngáahn fūk	
一飽耳福	yāt báau yíh fūk	
