開放粵語詞典（廣州拼音版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［廣州拼音］	［國語解釋］
肉餡	yug6 ham6	
慾海	yug6 hoi2	
玉器	yug6 héi3	
浴血	yug6 hüd3	
浴血奮戰	yug6 hüd3 fen5 jin3	
玉照	yug6 jiu3	
欲擒故縱	yug6 kem4 gu3 zung1	
慾壑難填	yug6 kog3 nan4 tin4	
玉蘭	yug6 lan4	
玉蘭花	yug6 lan4 fa1	
肉瘤	yug6 leo4	
浴簾	yug6 lim4	
慾令智昏	yug6 ling6 ji3 fen1	
獄吏	yug6 léi6	
肉類	yug6 lêu6	
肉麻	yug6 ma4	
辱罵	yug6 ma6	
欲望	yug6 mong6	
慾望	yug6 mong6	
浴帽	yug6 mou6	
肉末	yug6 mud6	
肉粒	yug6 neb1	肉丁
玉鈪	yug6 ngag3	玉鐲
肉眼	yug6 ngan5	
慾念	yug6 nim6	
玉女	yug6 nêu5	
肉片	yug6 pin3	
玉瓶	yug6 ping4	
肉票	yug6 piu3	
肉票	yug6 piu3	人質
肉脯	yug6 pou2	
浴袍	yug6 pou4	
玉佩	yug6 pui3	
浴盆	yug6 pun4	
肉皮	yug6 péi4	
浴池	yug6 qi4	
玉璽	yug6 sai2	
浴室	yug6 sed1	
肉身	yug6 sen1	
玉手	yug6 seo2	
肉鬆	yug6 sung1	
玉石	yug6 ség6	
玉石俱焚	yug6 ség6 kêu1 fen4	
玉碎	yug6 sêu3	
玉體	yug6 tei2	
肉體	yug6 tei2	
浴堂	yug6 tong4	
玉兔	yug6 tou3	
肉痛	yug6 tung3	心疼
玉環	yug6 wan4	
肉絲	yug6 xi1	
肉色	yug6 xig1	
肉食	yug6 xig6	
肉食動物	yug6 xig6 dung6 med6	
肉食性	yug6 xig6 xing3	
玉成其事	yug6 xing4 kéi4 xi6	
肉酸	yug6 xun1	噁心，難看，難聽，肉麻
浴衣	yug6 yi1	
玉液瓊漿	yug6 yig6 king4 zêng1	
肉慾	yug6 yug6	
肉慾主義	yug6 yug6 ju2 yi6	
肉丸	yug6 yun4	
玉容	yug6 yung4	
肉汁	yug6 zeb1	
玉鐲	yug6 zug6	
肉粽	yug6 zung3	
獄卒	yug6 zêd1	
肉醬	yug6 zêng3	
玉匠	yug6 zêng6	
淵	yun1	酸痛
冤崩爛臭	yun1 beng1 lan6 ceo3	臭氣熏天
淵到死	yun1 dou3 séi2	酸痛死了，酸痛得要命
冤家	yun1 ga1	
冤鬼	yun1 gwei2	
鳶尾花	yun1 méi5 fa1	
鳶尾科	yun1 méi5 fo1	
冤案	yun1 on3	
冤情	yun1 qing4	
淵痛	yun1 tung3	酸痛
冤屈	yun1 wed1	
冤魂	yun1 wen4	
冤枉	yun1 wong2	
冤有頭債有主	yun1 yeo5 teo4 zai3 yeo5 ju2	
冤孽	yun1 yid6	
蜿蜒	yun1 yin4	
冤獄	yun1 yug6	
鴛鴦	yun1 yêng1	
鴛鴦	yun1 yêng1	不成對兒，不對稱，不是一對的
鴛鴦	yun1 yêng1	咖啡茶，咖啡加奶茶
鴛鴦筷	yun1 yêng1 fai3	一長一短的筷子，款式不同的筷子
鴛鴦鞋	yun1 yêng1 hai4	一隻一個樣兒的鞋，一雙左右配不上的鞋
鴛鴦戲水	yun1 yêng1 héi3 sêu2	
鴛鴦襪	yun1 yêng1 med6	不是一對的襪子
鴛鴦門	yun1 yêng1 mun4	不對稱的兩扇門
婉轉	yun2 jun2	
婉拒	yun2 kêu5	
婉辭	yun2 qi4	
婉惜	yun2 xig1	
婉言	yun2 yin4	
婉言相勸	yun2 yin4 sêng1 hün3	
宛如	yun2 yu4	
宛若	yun2 yêg6	
丸仔	yun2 zei2	藥丸
婉謝	yun2 zé6	
怨	yun3	抱怨，埋怨
怨唱	yun3 cêng3	埋怨，抱怨
怨天尤人	yun3 tin1 yeo4 yen4	
怨聲載道	yun3 xing1 zoi3 dou6	
鉛筆	yun4 bed1	
完畢	yun4 bed1	
鉛筆刨	yun4 bed1 pao2	削鉛筆器
完璧歸趙	yun4 big1 gwei1 jiu6	
園圃	yun4 bou2	
原本	yun4 bun2	
玄秘	yun4 béi3	
完備	yun4 béi6	
完場	yun4 cêng4	比賽結束了
完婚	yun4 fen1	
懸浮	yun4 feo4	
原封	yun4 fung1	
原封不動	yun4 fung1 bed1 dung6	
懸隔	yun4 gag3	
沿革	yun4 gag3	
沿街	yun4 gai1	
完結	yun4 gid3	
完工	yun4 gung1	
員工	yun4 gung1	
懸掛	yun4 gwa3	
玄關	yun4 gwan1	
玄機	yun4 géi1	
玄學	yun4 hog6	
玄學家	yun4 hog6 ga1	
沿海	yun4 hoi2	
完好	yun4 hou2	
完好無缺	yun4 hou2 mou4 küd3	
懸空	yun4 hung1	
玄虛	yun4 hêu1	
玄之又玄	yun4 ji1 yeo6 yun4	
原子	yun4 ji2	
原子筆	yun4 ji2 bed1	圓珠筆
原子彈	yun4 ji2 dan6	
原子反應	yun4 ji2 fan2 ying3	
原子反應堆	yun4 ji2 fan2 ying3 dêu1	
原子光譜	yun4 ji2 gwong1 pou2	
原子核	yun4 ji2 hed6	
原子核反應堆	yun4 ji2 hed6 fan2 ying3 dêu1	
原子爐	yun4 ji2 lou4	
原子論	yun4 ji2 lên6	
原子量	yun4 ji2 lêng6	
原子能	yun4 ji2 neng4	
原子數	yun4 ji2 sou3	
原子時代	yun4 ji2 xi4 doi6	
原子序數	yun4 ji2 zêu6 sou3	
完整	yun4 jing2	
圓溜溜	yun4 leo6 leo6	
玄理	yun4 léi5	
懸梁自盡	yun4 lêng4 ji6 zên6	
原諒	yun4 lêng6	
元明清	yun4 ming4 qing1	
玄妙	yun4 miu6	
玄武	yun4 mou5	
玄武岩	yun4 mou5 ngam4	
玄門	yun4 mun4	
轅門	yun4 mun4	
完滿	yun4 mun5	
完滿無缺	yun4 mun5 mou4 küd3	
完美	yun4 méi5	
完美無瑕	yun4 méi5 mou4 ha4	
懸崖	yun4 ngai4	
懸崖勒馬	yun4 ngai4 leg6 ma5	
懸崖峭壁	yun4 ngai4 qiu3 big1	
玄奧	yun4 ngou3	
懸案	yun4 on3	
原始	yun4 qi2	
玄青	yun4 qing1	
元朝	yun4 qiu4	
完全	yun4 qun4	
源泉	yun4 qun4	
芫茜	yun4 sei1	芫荽，香菜
原審	yun4 sem2	
元素	yun4 sou3	
懸賞	yun4 sêng2	
芫荽	yun4 sêu1	
源頭	yun4 teo4	
烷烴	yun4 ting1	
原位	yun4 wei6	
眩暈	yun4 wen4	
玄狐	yun4 wu4	
完事	yun4 xi6	
玄色	yun4 xig1	
完善	yun4 xin6	
完成	yun4 xing4	
完成式	yun4 xing4 xig1	
元宵	yun4 xiu1	
元宵節	yun4 xiu1 jid3	
懸殊	yun4 xu4	
玄孫	yun4 xun1	
原因	yun4 yen1	
懸疑	yun4 yi4	
懸而未決	yun4 yi4 méi6 küd3	
原形	yun4 ying4	
圓形	yun4 ying4	
原形畢露	yun4 ying4 bed1 lou6	
完完全全	yun4 yun4 qun4 qun4	
沿襲	yun4 zab6	
薳	yun5	植物的嫩莖
遠比	yun5 béi2	
遠親不如近鄰	yun5 cen1 bed1 yu4 gen6 lên4	
軟笪笪	yun5 dad3 dad3	軟軟的，軟弱無力
遠渡	yun5 dou6	
遠渡重洋	yun5 dou6 cung4 yêng4	
遠道而來	yun5 dou6 yi4 loi4	
遠東	yun5 dung1	
遠方	yun5 fong1	
遠房	yun5 fong4	
遠房親戚	yun5 fong4 cen1 qig1	
遠隔重洋	yun5 gag3 cung4 yêng4	
遠交近攻	yun5 gao1 gen6 gung1	
遠近	yun5 gen6	
遠見	yun5 gin3	
軟件	yun5 gin6	
軟骨	yun5 gwed1	
遠行	yun5 heng4	
遠航	yun5 hong4	
遠征	yun5 jing1	
遠征軍	yun5 jing1 gwen1	
遠距離	yun5 kêu5 léi4	
遠離	yun5 léi4	
遠略	yun5 lêg6	
遠慮	yun5 lêu6	
遠望	yun5 mong6	
軟硬	yun5 ngang6	
軟硬兼施	yun5 ngang6 gim1 xi1	
遠程	yun5 qing4	
遠處	yun5 qu3	
遠射	yun5 sé6	
遠眺	yun5 tiu3	
遠視	yun5 xi6	
遠日點	yun5 yed6 dim2	
軟荏荏	yun5 yem4 yem4	軟綿綿
遠遊	yun5 yeo4	
軟弱	yun5 yêg6	
遠洋	yun5 yêng4	
遠洋運輸	yun5 yêng4 wen6 xu1	
遠洋漁船	yun5 yêng4 yu4 xun4	
遠洋漁業	yun5 yêng4 yu4 yib6	
遠走高飛	yun5 zeo2 gou1 féi1	
縣府	yun6 fu2	
縣界	yun6 gai3	
縣境	yun6 ging2	
縣官	yun6 gun1	
縣轄市	yun6 hed6 xi5	
縣知事	yun6 ji1 xi6	
縣誌	yun6 ji3	
縣政府	yun6 jing3 fu2	
縣立	yun6 lab6	
縣民	yun6 men4	
願望	yun6 mong6	
炫目	yun6 mug6	
縣衙	yun6 nga4	
縣衙門	yun6 nga4 mun4	
縣委	yun6 wei2	
縣委會	yun6 wei2 wui6	
縣尉	yun6 wei3	
縣市	yun6 xi5	
縣市政府	yun6 xi5 jing3 fu2	
炫示	yun6 xi6	
縣城	yun6 xing4	
願意	yun6 yi3	
縣議會	yun6 yi5 wui6	
縣議員	yun6 yi5 yun4	
炫耀	yun6 yiu6	
縣獄	yun6 yug6	
縣長	yun6 zêng2	
絨	yung2	呢絨，料子
湧出	yung2 cêd1	
冗長	yung2 cêng4	
擁躉	yung2 den2	擁護者，捧場者，崇拜者，支持者，球迷，影迷
絨褲	yung2 fu3	呢子褲
佣金	yung2 gem1	
湧起	yung2 héi2	
絨褸	yung2 leo1	呢大衣，料子大衣
擁吻	yung2 men5	
擁抱	yung2 pou5	
佣錢	yung2 qin4	
絨衫	yung2 sam1	呢子上衣
湧上	yung2 sêng6	
湧入	yung2 yeb6	
擁有	yung2 yeo5	
湧現	yung2 yin6	
踴躍	yung2 yêg6	
擁擠	yung2 zei1	
臃腫	yung2 zung2	
融化	yung4 fa3	
融解	yung4 gai2	
融解點	yung4 gai2 dim2	
傭工	yung4 gung1	
融洽	yung4 heb1	
融合	yung4 heb6	
融資	yung4 ji1	
慵懶	yung4 lan5	
熔爐	yung4 lou4	
庸碌	yung4 lug1	
容量	yung4 lêng6	
戎馬	yung4 ma5	
戎馬生涯	yung4 ma5 seng1 ngai4	
容貌	yung4 mao6	
容乜易	yung4 med1 yi6	很容易，太容易，非常容易，多容易，談何容易，有多困難
茸毛	yung4 mou4	
容納	yung4 nab6	
容顏	yung4 ngan4	
融通	yung4 tung1	
融為一體	yung4 wei4 yed1 tei2	
融和	yung4 wo4	
融會	yung4 wui6	
融會貫通	yung4 wui6 gun3 tung1	
絨線	yung4 xin3	
榕樹	yung4 xu6	
融雪	yung4 xud3	
融入	yung4 yeb6	
容忍	yung4 yen2	
傭人	yung4 yen4	
容易	yung4 yi6	
鱅魚	yung4 yu4	
庸庸碌碌	yung4 yung4 lug1 lug1	
戎裝	yung4 zong1	
庸俗	yung4 zug6	
勇夫	yung5 fu1	
勇敢	yung5 gem2	
勇敢善戰	yung5 gem2 xin6 jin3	
勇冠三軍	yung5 gun3 sam1 gwen1	
勇悍	yung5 hon6	
勇氣	yung5 héi3	
勇猛	yung5 mang5	
勇武	yung5 mou5	
勇為	yung5 wei4	
勇往直前	yung5 wong5 jig6 qin4	
勇士	yung5 xi6	
勇於	yung5 yu1	
勇於認錯	yung5 yu1 ying6 co3	
勇者不懼	yung5 zé2 bed1 gêu6	
勇將	yung5 zêng3	
用力一搡	yung6 lig6 yed1 song2	
用嚟	yung6 léi4	用來
用途	yung6 tou4	
用膳	yung6 xin6	
用盡	yung6 zên6	
椰菜	yé4 coi3	洋白菜，捲心菜，圓白菜，包菜，蓮花白，結球白菜，結球甘藍
椰菜花	yé4 coi3 fa1	菜花，花椰菜
椰樹	yé4 xu6	
揶揄	yé4 yu4	
爺爺	yé4 yé4	
惹	yé5	傳染，被傳染
惹	yé5	挑逗，招惹，撩撥，引起，產生
嘢	yé5	東西
嘢	yé5	傳染
野鴨	yé5 ab3	
野百合	yé5 bag3 heb6	
惹畀	yé5 béi2	傳染給
野餐	yé5 can1	
野菜	yé5 coi3	
野草	yé5 cou2	
野地	yé5 déi6	
野花	yé5 fa1	
野火	yé5 fo2	
野火燒不盡	yé5 fo2 xiu1 bed1 zên6	
野雞	yé5 gei1	
野雞大學	yé5 gei1 dai6 hog6	
野狗	yé5 geo2	
野菊	yé5 gug1	
野戰	yé5 jin3	
野戰部隊	yé5 jin3 bou6 dêu6	
野戰軍	yé5 jin3 gwen1	
野豬	yé5 ju1	
野禽	yé5 kem4	
野蘭	yé5 lan4	
野蘭花	yé5 lan4 fa1	
野狼	yé5 long4	
野鹿	yé5 lug6	
野馬	yé5 ma5	
惹埋	yé5 mai4	傳染，傳染到
嘢埋…	yé5 mai4	傳染給…
嘢埋我	yé5 mai4 ngo5	傳染給我
野蠻	yé5 man4	
野蠻人	yé5 man4 yen4	
野貓	yé5 mao1	
野味	yé5 méi6	
野雁	yé5 ngan6	
野牛	yé5 ngeo4	
野外	yé5 ngoi6	
野外求生	yé5 ngoi6 keo4 seng1	
野鳥	yé5 niu5	
野心	yé5 sem1	
野心勃勃	yé5 sem1 bud6 bud6	
野心家	yé5 sem1 ga1	
野生	yé5 seng1	
野生動物	yé5 seng1 dung6 med6	
野生植物	yé5 seng1 jig6 med6	
野獸	yé5 seo3	
惹痰	yé5 tam4	生痰
冶鐵	yé5 tid3	
野兔	yé5 tou3	
惹禍	yé5 wo6	
惹禍上身	yé5 wo6 sêng5 sen1	
惹屎上身	yé5 xi2 sêng5 sen1	招來麻煩，惹一身臊
惹事生非	yé5 xi6 seng1 féi1	
惹是生非	yé5 xi6 seng1 féi1	
野性	yé5 xing3	
野人	yé5 yen4	
惹人注目	yé5 yen4 ju3 mug6	
惹人注意	yé5 yen4 ju3 yi3	
惹人討厭	yé5 yen4 tou2 yim3	
惹人厭	yé5 yen4 yim3	
野遊	yé5 yeo4	
野營	yé5 ying4	
野營隊	yé5 ying4 dêu6	
野仔	yé5 zei2	私生子
惹爭議	yé5 zeng1 yi5	
惹咗	yé5 zo2	染上，患
夜	yé6	晚
夜班	yé6 ban1	
夜班車	yé6 ban1 cé1	
夜長夢多	yé6 cêng4 mung6 do1	
夜啲啦	yé6 di1 la1	妄想，辦不到
夜鶯	yé6 eng1	
夜更	yé6 gang1	夜班
夜景	yé6 ging2	
夜光錶	yé6 gwong1 biu1	
夜空	yé6 hung1	
夜戰	yé6 jin3	
夜曲	yé6 kug1	
夜闌人靜	yé6 lan4 yen4 jing6	
夜冷	yé6 lang1	舊貨，二手貨，便宜貨
夜冷貨	yé6 lang1 fo3	舊貨，便宜貨
夜來香	yé6 loi4 hêng1	
夜郎自大	yé6 long4 ji6 dai6	
夜麻麻	yé6 ma1 ma1	深夜，黑夜，很晚了
夜晚	yé6 man5	晚上
夜晚	yé6 man5	
夜晚黑	yé6 man5 hag1	晚上，夜裡
夜深人靜	yé6 sem1 yen4 jing6	
夜生活	yé6 seng1 wud6	
夜市	yé6 xi5	
夜市場	yé6 xi5 cêng4	
夜遊神	yé6 yeo4 sen4	夜貓子
夜以繼日	yé6 yi5 gei3 yed6	
夜總會	yé6 zung2 wui6	
贏得	yéng4 deg1	
約束	yêg3 cug1	
約束力	yêg3 cug1 lig6	
約定	yêg3 ding6	
約定俗成	yêg3 ding6 zug6 xing4	
約翰	yêg3 hon6	
約好	yêg3 hou2	
約略	yêg3 lêg6	
約莫	yêg3 mog6	大概，大約，估計
約同	yêg3 tung4	
約為	yêg3 wei4	
約會	yêg3 wui2	
弱不禁風	yêg6 bed1 gem1 fung1	
藥材舖	yêg6 coi4 pou2	中藥舖，中藥店
弱點	yêg6 dim2	
虐待	yêg6 doi6	
虐待狂	yêg6 doi6 kong4	
藥房	yêg6 fong4	
若果	yêg6 gwo2	如果，要是
躍過	yêg6 gwo3	
弱國	yêg6 gwog3	
弱光	yêg6 gwong1	
躍起	yêg6 héi2	
躍馬	yêg6 ma5	
藥物	yêg6 med6	
弱勢	yêg6 sei3	
躍身	yêg6 sen1	
鑰匙	yêg6 xi4	
弱視	yêg6 xi6	
弱小	yêg6 xiu2	
謔而不虐	yêg6 yi4 bed1 yêg6	
若然	yêg6 yin4	如果，要是
若然之	yêg6 yin4 ji1	如果，要是
弱肉強食	yêg6 yug6 kêng4 xig6	
躍躍欲試	yêg6 yêg6 yug6 xi3	
瘧疾	yêg6 zed6	
躍進	yêg6 zên3	
膶	yên2	肝，肝臟
潤	yên2	挖苦，諷刺
閏秒	yên6 miu5	
閏年	yên6 nin4	
閏日	yên6 yed6	
閏月	yên6 yud6	
央行	yêng1 hong4	
殃及無辜	yêng1 keb6 mou4 gu1	
殃及池魚	yêng1 keb6 qi4 yu4	
央求	yêng1 keo4	
樣	yêng2	樣子
樣衰	yêng2 sêu1	醜，醜陋，醜樣
洋蔥	yêng4 cung1	
陽春麵	yêng4 cên1 min6	
陽電	yêng4 din6	
洋化	yêng4 fa3	
陽間	yêng4 gan1	
陽極	yêng4 gig6	
洋涇濱	yêng4 ging1 ben1	
洋涇濱英語	yêng4 ging1 ben1 ying1 yu5	
陽剛	yêng4 gong1	
陽剛氣	yêng4 gong1 héi3	
羊公	yêng4 gung1	公羊
陽關大道	yêng4 gwan1 dai6 dou6	
洋鬼子	yêng4 gwei2 ji2	
陽光	yêng4 gwong1	
陽具	yêng4 gêu6	
洋樓	yêng4 leo4	
楊柳	yêng4 leo5	
陽曆	yêng4 lig6	
陽曆年	yêng4 lig6 nin4	
陽離子	yêng4 léi4 ji2	
洋文	yêng4 men4	
羊毛	yêng4 mou4	
洋務	yêng4 mou6	
揚眉吐氣	yêng4 méi4 tou3 héi3	
羊乸	yêng4 na2	母羊
洋奴	yêng4 nou4	
洋奴哲學	yêng4 nou4 jid3 hog6	
陽平	yêng4 ping4	
陽平聲	yêng4 ping4 xing1	
佯稱	yêng4 qing1	
陽傘	yêng4 san3	
佯死	yêng4 séi2	
洋商	yêng4 sêng1	
陽台	yêng4 toi4	
楊桃	yêng4 tou4	
陽痿	yêng4 wei2	
洋為中用	yêng4 wei4 zung1 yung6	
陽性	yêng4 xing3	
陽性反應	yêng4 xing3 fan2 ying3	
洋溢	yêng4 yed6	
洋人	yêng4 yen4	
洋洋得意	yêng4 yêng4 deg1 yi3	
洋洋自得	yêng4 yêng4 ji6 deg1	
洋洋灑灑	yêng4 yêng4 sa2 sa2	
佯裝	yêng4 zong1	
養兵	yêng5 bing1	
養兵之道	yêng5 bing1 ji1 dou6	
養兵千日	yêng5 bing1 qin1 yed6	
養兵千日，用兵一時	yêng5 bing1 qin1 yed6 yung6 bing1 yed1 xi4	
養病	yêng5 béng6	
養畜牲	yêng5 cug1 sang1	養牲口
養大	yêng5 dai6	
氧化氮	yêng5 fa3 dam6	
氧化硫	yêng5 fa3 leo4	
氧化鋅	yêng5 fa3 sen1	
氧化鐵	yêng5 fa3 tid3	
氧化銅	yêng5 fa3 tung4	
氧化作用	yêng5 fa3 zog3 yung6	
養虎反被虎咬	yêng5 fu2 fan2 béi6 fu2 ngao5	
養父	yêng5 fu6	
養家	yêng5 ga1	
養家活口	yêng5 ga1 wud6 heo2	
氧氣	yêng5 héi3	
養志	yêng5 ji3	
養殖	yêng5 jig6	
養精蓄銳	yêng5 jing1 cug1 yêu6	
養尊處優	yêng5 jun1 qu5 yeo1	
養老	yêng5 lou5	
養老金	yêng5 lou5 gem1	
養老院	yêng5 lou5 yun6	
養母	yêng5 mou5	
養眼	yêng5 ngan5	
仰卧	yêng5 ngo6	
養身	yêng5 sen1	
養身之道	yêng5 sen1 ji1 dou6	
養神	yêng5 sen4	
養生	yêng5 seng1	
養生之道	yêng5 seng1 ji1 dou6	
養傷	yêng5 sêng1	
養性	yêng5 xing3	
仰人鼻息	yêng5 yen4 béi6 xig1	
養兒防老	yêng5 yi4 fong4 lou5	
養魚	yêng5 yu4	
養育	yêng5 yug6	
養育之恩	yêng5 yug6 ji1 yen1	
養育院	yêng5 yug6 yun6	
樣品	yêng6 ben2	
讓步	yêng6 bou6	
樣本	yêng6 bun2	
養女	yêng6 nêu5	
釀成	yêng6 xing4	
銳減	yêu6 gam2	
揸	za1	駕駛，開
揸	za1	拿，抓，握
糌粑	za1 ba1	
揸車	za1 cé1	開車，駕車，駕駛汽車，駕駛車輛
揸槍	za1 cêng1	拿槍，持槍
揸大葵扇	za1 dai6 kwei4 xin3	做媒人，為人保媒
揸的士	za1 dig1 xi2	開出租汽車
揸電單車	za1 din6 dan1 cé1	騎摩托車
揸筷子	za1 fai3 ji2	拿筷子
揸fit	za1 fid1	管事，掌舵，掌權，拿主意，說了算
揸fit人	za1 fid1 yen4	主事人，掌權人
揸緊時間	za1 gen2 xi4 gan1	抓緊時間
揸開	za1 hoi1	開走
渣滓	za1 ji2	
揸主意	za1 ju2 yi3	拿主意
揸住	za1 ju6	拿著
揸住支咪	za1 ju6 ji1 mei1	抓住麥克風
揸住時機	za1 ju6 xi4 géi1	抓住時機，趁著時機
咱們	za1 mun4	
揸拿	za1 na4	把握
揸奶	za1 nai5	擠牛奶
揸錢	za1 qin2	管理錢財
揸手	za1 seo2	捏著，在手，手裡拿著，掌握，管理，掌管，負責
揸手掣	za1 seo2 zei3	捏閘
揸拖拉機	za1 to1 lai1 géi1	開拖拉機
揸二攤	za1 yi6 tan1	買舊貨，撿人家的剩貨，用人家用過的東西
揸掣	za1 zei3	捏閘
渣	za2	渣滓，殘渣，碎渣
鮓	za2	質量差，水平低
鮓斗	za2 deo2	質量差，水平低
鮓皮	za2 péi4	質量差，水平低
詐	za3	裝，假裝，佯裝
咋	za3	…而已呀
詐病	za3 béng6	裝病
榨菜	za3 coi3	
榨取	za3 cêu2	
炸彈	za3 dan2	
乍得	za3 deg1	
詐諦	za3 dei3	裝蒜，假裝，裝作
詐癲扮傻	za3 din1 ban6 so4	裝瘋賣傻，假裝糊塗，裝傻充愣
詐癲賣戇	za3 din1 mai6 ngong6	裝瘋賣傻
詐瞓	za3 fen3	假裝睡著了
詐假意	za3 ga1 yi1	假裝，佯做，鬧著玩，假意做
詐奸	za3 gan1	耍奸，耍滑，耍賴
炸雞	za3 gei1	
炸雞肉	za3 gei1 yug6	
詐嬌	za3 giu1	撒嬌
詐嬌弄嗲	za3 giu1 lung6 dé2	撒嬌
榨乾	za3 gon1	
乍看之下	za3 hon3 ji1 ha6	
炸爛	za3 lan6	
炸裂	za3 lid6	
詐聾扮啞	za3 lung4 ban6 nga2	裝聾作啞
詐唔知	za3 m4 ji1	假裝不知道
詐媽嬌	za3 ma1 giu1	撒嬌
蚱蜢	za3 mang5	
炸麵	za3 min6	油條
詐懵	za3 mung2	裝糊塗
詐呆詐吽	za3 ngoi4 za3 ngeo6	裝傻，裝愚笨
詐戇	za3 ngong6	裝傻
詐騙	za3 pin3	
炸破	za3 po3	
詐傻	za3 so4	裝傻，裝糊塗，裝瘋賣傻
詐傻扮懵	za3 so4 ban6 mung2	裝瘋賣傻，裝糊塗，扮傻
炸粟米	za3 sug1 mei5	爆米花
詐死	za3 séi2	裝死
炸死	za3 séi2	
炸傷	za3 sêng1	
炸碎	za3 sêu3	
乍聽之下	za3 ting1 ji1 ha6	
炸毀	za3 wei2	
榨油	za3 yeo4	
榨油機	za3 yeo4 géi1	
詐耳聾	za3 yi5 lung4	裝聾作啞
詐型	za3 ying4	擺架子，裝腔作勢，自高自大
乍雨乍晴	za3 yu5 za3 qing4	
炸藥	za3 yêg6	
詐詐諦諦	za3 za3 dei3 dei3	裝模裝樣
榨汁	za3 zeb1	
榨汁機	za3 zeb1 géi1	
炸醬麵	za3 zêng3 min6	
拃	za6	把
匝道	zab3 dou6	
眨眼	zab3 ngan5	
砸壞	zab3 wai6	
咂嘴	zab3 zêu2	
閘	zab6	柵欄，門，剪票口
雜	zab6	葷的，葷食
雜菜	zab6 coi3	葷菜
雜草	zab6 cou2	
雜費	zab6 fei3	
雜貨	zab6 fo3	
雜貨店	zab6 fo3 dim3	
雜貨舖	zab6 fo3 pou2	雜貨店，副食店
雜肥	zab6 féi4	
雜交	zab6 gao1	
什錦	zab6 gem2	
什錦炒麵	zab6 gem2 cao2 min6	
什錦菜	zab6 gem2 coi3	
什錦麵	zab6 gem2 min6	
集結	zab6 gid3	
襲擊	zab6 gig1	
習慣	zab6 gwan3	
鈒骨	zab6 gwed1	鎖邊
雜記	zab6 géi3	
雜技	zab6 géi6	
雜技表演	zab6 géi6 bui2 yin2	
雜技場	zab6 géi6 cêng4	
雜技團	zab6 géi6 tün4	
集合	zab6 heb6	
閘口	zab6 heo2	剪票口
雜項	zab6 hong6	
雜誌	zab6 ji3	
雜誌社	zab6 ji3 sé5	
習字	zab6 ji6	
習字帖	zab6 ji6 tib3	
閘住	zab6 ju6	住口，打住，别說，停止
閘住把口	zab6 ju6 ba2 heo2	住口
雜糧	zab6 lêng4	
雜亂	zab6 lün6	
雜物	zab6 med6	
雜嘜	zab6 meg1	雜牌，雜牌兒
雜務	zab6 mou6	
閘門	zab6 mun4	
雜念	zab6 nim6	
雜耍	zab6 sa2	
雜稅	zab6 sêu3	
集體	zab6 tei2	
習題	zab6 tei4	
集團	zab6 tün4	
雜燴	zab6 wui6	
雜事	zab6 xi6	
雜事纏身	zab6 xi6 qin4 sen1	
習性	zab6 xing3	
雜樹林	zab6 xu6 lem4	
雜音	zab6 yem1	
集郵	zab6 yeo4	
習以為常	zab6 yi5 wei4 sêng4	
雜役	zab6 yig6	
集腋成裘	zab6 yig6 xing4 keo4	
習俗	zab6 zug6	
集中	zab6 zung1	
雜種	zab6 zung2	
雜種狗	zab6 zung2 geo2	
紮	zad3	束
鍘草	zad3 cou2	
鍘刀	zad3 dou1	
扎根	zad3 gen1	
拶指	zad3 ji2	
扎孖辮	zad3 ma1 bin1	扎著雙辮
扎馬	zad3 ma5	扎馬步，站好馬步，準備打架
扎破	zad3 po3	
扎實	zad3 sed6	
扎醒	zad3 séng2	驚醒
扎扎跳	zad3 zad3 tiu3	活蹦亂跳
責	zag3	壓
窄	zag3	狹窄
責備	zag3 béi6	
責怪	zag3 gwai3	
責住	zag3 ju6	壓著
責令	zag3 ling6	
責罵	zag3 ma6	
責問	zag3 men6	
窄搣搣	zag3 mid6 mid6	窄窄的，緊緊的
責無旁貸	zag3 mou4 pong4 tai3	
責難	zag3 nan6	
責實啲	zag3 sed6 di1	壓緊一點
責死	zag3 séi2	壓死
責任	zag3 yem6	
責任感	zag3 yem6 gem2	
責任心	zag3 yem6 sem1	
摘	zag6	採
宅第	zag6 dei6	
擇使	zag6 sei2	麻煩，難辦，傷腦筋，不好使用
擇食	zag6 xig6	偏食，挑吃
躑躅	zag6 zug6	
齋	zai1	素的，素食
齋菜	zai1 coi3	素菜
齋啡	zai1 fé1	不加糖奶的咖啡
齋戒	zai1 gai3	
齋戒沐浴	zai1 gai3 mug6 yug6	
齋戒日	zai1 gai3 yed6	
齋鹵味	zai1 lou5 méi2	素什錦
齋talk	zai1 tog1	淨是說話
齋湯	zai1 tong1	素湯
齋堂	zai1 tong2	道觀，佛寺，庵寺
齋日	zai1 yed6	
債款	zai3 fun2	
債券	zai3 hün3	
債主	zai3 ju2	
債權	zai3 kün4	
債權國	zai3 kün4 gwog3	
債權人	zai3 kün4 yen4	
債務	zai3 mou6	
債務國	zai3 mou6 gwog3	
債務人	zai3 mou6 yen4	
債台高築	zai3 toi4 gou1 zug1	
債戶	zai3 wu6	
斬	zam2	砍
