开放粤语词典（刘锡祥版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［刘锡祥拼音］	［国语解释］
石头	sek6 tau4	
石油	sek6 yau4	
石英表	sek6 ying1 biu1	
声	seng1	声音
声喉	seng1 hau4	嗓子，嗓门
声喉坼	seng1 hau4 chaak3	嗓子沙哑，嗓子嘶哑，嗓子破
声喉沙	seng1 hau4 sa3	嗓子沙哑
声气	seng1 hei3	希望
声沙	seng1 sa1	声音沙哑
醒瞓	seng2 fan3	警醒，惊醒，容易醒
醒嚟	seng2 lei4	醒来
鍟	seng3	锈
成	seng4	整
成地都系	seng4 dei6 do1 hai6	满地都是
成个礼拜	seng4 goh3 lai5 baai3	整个星期
成个买	seng4 goh3 maai5	整个买
成只病猫噉	seng4 jek3 beng6 maau1 gam2	可怖的样子
成朝	seng4 jiu1	整个早上
成朝早	seng4 jiu1 jo2	整个早上
成年	seng4 nin4	整年
成世	seng4 sai3	一辈子，一生
成身	seng4 san1	浑身，全身
成头汗	seng4 tau4 hon6	满头汗
成日	seng4 yat6	整天，老半天
成日	seng4 yat6	总是，老是
削	seuk3	软，稀，松软，松弛，稀软，软软的，不结实
削笪笪	seuk3 daat3 daat3	软软的，很松弛
削地	seuk3 dei6	
削发	seuk3 faat3	
削发为僧	seuk3 faat3 wai4 jang1	
削价	seuk3 ga3	
削减	seuk3 gaam2	
铄金	seuk3 gam1	
削职为民	seuk3 jik1 wai4 man4	
削尖	seuk3 jim1	
削足适履	seuk3 juk1 sik1 lei5	
削球	seuk3 kau4	
削梨	seuk3 lei4	
削皮	seuk3 pei4	
削坺坺	seuk3 pet6 pet6	稀而烂，稀糊糊，稀稀烂烂的，软而不韧
铄石流金	seuk3 sek6 lau4 gam1	
削铁如泥	seuk3 tit3 yue4 nai4	
削弱	seuk3 yeuk6	
伤疤	seung1 ba1	
双胞胎	seung1 baau1 toi1	
商品	seung1 ban2	
伤悲	seung1 bei1	
相比	seung1 bei2	
双边	seung1 bin1	
双边会谈	seung1 bin1 wooi6 taam4	
伤病员	seung1 bing6 yuen4	
相别	seung1 bit6	
相别多年	seung1 bit6 doh1 nin4	
相补	seung1 bo2	
相伴	seung1 boon6	
相差	seung1 cha1	
伤残	seung1 chaan4	
双栖	seung1 chai1	
双层	seung1 chang4	
双层床	seung1 chang4 chong4	
双层公车	seung1 chang4 gung1 che1	
商场	seung1 cheung4	
相似	seung1 chi5	
相称	seung1 ching3	
相切	seung1 chit3	
商朝	seung1 chiu4	
伤处	seung1 chue3	
相处	seung1 chue5	
相传	seung1 chuen4	
相随	seung1 chui4	
相冲	seung1 chung1	
双重	seung1 chung4	
双重标准	seung1 chung4 biu1 jun2	
双重国籍	seung1 chung4 gwok3 jik6	
双重人格	seung1 chung4 yan4 gaak3	
相抵	seung1 dai2	
相得益彰	seung1 dak1 yik1 jeung1	
相等	seung1 dang2	
商店	seung1 dim3	
相待	seung1 doi6	
相当	seung1 dong1	
相对	seung1 dui3	
相对速度	seung1 dui3 chuk1 do6	
相对主义	seung1 dui3 jue2 yi6	
相对论	seung1 dui3 lun6	
相对湿度	seung1 dui3 sap1 do6	
相对性	seung1 dui3 sing3	
相对而坐	seung1 dui3 yi4 choh5	
相反	seung1 faan2	
相反词	seung1 faan2 chi4	
双方	seung1 fong1	
双方同意	seung1 fong1 tung4 yi3	
相符	seung1 foo4	
孀妇	seung1 foo5	
相辅相成	seung1 foo6 seung1 sing4	
伤风	seung1 fung1	
伤风	seung1 fung1	感冒
伤风败俗	seung1 fung1 baai6 juk6	
伤风感冒	seung1 fung1 gam2 mo6	
相逢	seung1 fung4	
相加	seung1 ga1	
相隔	seung1 gaak3	
双格床	seung1 gaak3 chong4	双层床，架子床
相间	seung1 gaan1	
相较	seung1 gaau3	
相继	seung1 gai3	
伤感	seung1 gam2	
伤感情	seung1 gam2 ching4	
相近	seung1 gan6	
相见	seung1 gin3	
相见恨晚	seung1 gin3 han6 maan5	
相敬	seung1 ging3	
相敬如宾	seung1 ging3 yue4 ban1	
相干	seung1 gon1	
双槓	seung1 gong3	
双槓体操	seung1 gong3 tai2 cho1	
相关	seung1 gwaan1	
相关性	seung1 gwaan1 sing3	
双关语	seung1 gwaan1 yue5	
双轨	seung1 gwai2	
双轨制	seung1 gwai2 jai3	
双轨铁路	seung1 gwai2 tit3 lo6	
相克	seung1 hak1	
镶嵌	seung1 ham3	
伤痕	seung1 han4	
伤痕累累	seung1 han4 lui5 lui5	
伤口	seung1 hau2	
伤口发炎	seung1 hau2 faat3 yim4	
双喜	seung1 hei2	
双喜临门	seung1 hei2 lam4 moon4	
双向	seung1 heung3	
伤害	seung1 hoi6	
伤害罪	seung1 hoi6 jui6	
伤害力	seung1 hoi6 lik6	
伤害性	seung1 hoi6 sing3	
伤寒	seung1 hon4	
伤寒病	seung1 hon4 beng6	
双行	seung1 hong2	
相劝	seung1 huen3	
相许	seung1 hui2	
双周	seung1 jau1	
双周刊	seung1 jau1 hon2	
伤者	seung1 je2	
商酌	seung1 jeuk3	
双子	seung1 ji2	
双子星	seung1 ji2 sing1	
双职工	seung1 jik1 gung1	
相接	seung1 jip3	
双节棍	seung1 jit3 gwan3	
相助	seung1 joh6	
相撞	seung1 jong6	
相聚	seung1 jui6	
相求	seung1 kau4	
商榷	seung1 kok3	
相距	seung1 kui5	
双曲线	seung1 kuk1 sin3	
相离	seung1 lei4	
商量	seung1 leung4	
相连	seung1 lin4	
双螺旋	seung1 loh4 suen4	
相邻	seung1 lun4	
商贸	seung1 mau6	
双面	seung1 min6	
伤亡	seung1 mong4	
伤亡惨重	seung1 mong4 cham2 jung6	
相望	seung1 mong6	
双妹唛	seung1 mooi1 mak1	姊妹花
双目	seung1 muk6	
双目失明	seung1 muk6 sat1 ming4	
双眼	seung1 ngaan5	
双眼皮	seung1 ngaan5 pei4	
伤脑筋	seung1 no5 gan1	
相爱	seung1 oi3	
相扑	seung1 pok3	
相配	seung1 pooi3	
相陪	seung1 pooi4	
相碰	seung1 pung3	
伤势	seung1 sai3	
伤心	seung1 sam1	
伤心欲绝	seung1 sam1 yuk6 juet6	
伤身	seung1 san1	
双生	seung1 sang1	
双生子	seung1 sang1 ji2	
双生女	seung1 sang1 nui5	
相生相克	seung1 sang1 seung1 hak1	
相思	seung1 si1	
相思病	seung1 si1 bing6	
相思豆	seung1 si1 dau6	
相思子	seung1 si1 ji2	
相视	seung1 si6	
相视而笑	seung1 si6 yi4 siu3	
相识	seung1 sik1	
双线	seung1 sin3	
双声带	seung1 sing1 daai3	
双姓	seung1 sing3	
双性恋	seung1 sing3 luen2	
相成	seung1 sing4	
相信	seung1 sun3	
双唇	seung1 sun4	
相送	seung1 sung3	
相谈	seung1 taam4	
相睇	seung1 tai2	相亲
相提并论	seung1 tai4 bing6 lun6	
伤天害理	seung1 tin1 hoi6 lei5	
相通	seung1 tung1	
伤痛	seung1 tung3	
相同	seung1 tung4	
双筒望远镜	seung1 tung4 mong6 yuen5 geng3	
伤患	seung1 waan6	
相违	seung1 wai4	
伤胃	seung1 wai6	
相混	seung1 wan6	
双黄线	seung1 wong4 sin3	
相互	seung1 woo6	
相因而生	seung1 yan1 yi4 sang1	
伤人	seung1 yan4	
商人	seung1 yan4	
双人床	seung1 yan4 chong4	
双人房	seung1 yan4 fong2	
相约	seung1 yeuk3	
相若	seung1 yeuk6	
相让	seung1 yeung6	
相依为命	seung1 yi1 wai4 ming6	
相异	seung1 yi6	
相映	seung1 ying2	
相应	seung1 ying3	
双赢	seung1 ying4	
相认	seung1 ying6	
商业	seung1 yip6	
双语	seung1 yue5	
相与	seung1 yue5	相处
相遇	seung1 yue6	
伤员	seung1 yuen4	
双月	seung1 yuet6	
双月刊	seung1 yuet6 hon2	
相拥	seung1 yung2	
相容	seung1 yung4	
商用	seung1 yung6	
相	seung2	照片，相片
想必	seung2 bit1	
赏赐	seung2 chi3	
想出	seung2 chut1	
相底	seung2 dai2	底片
想…都唔得	seung2 do1 m4 dak1	想…都不行
想当然	seung2 dong1 yin4	
赏花	seung2 fa1	
想法	seung2 faat3	
想方设法	seung2 fong1 chit3 faat3	
赏鉴	seung2 gaam3	
赏金	seung2 gam1	
相机	seung2 gei1	照相机
赏光	seung2 gwong1	
想起	seung2 hei2	
想象	seung2 jeung6	
想像	seung2 jeung6	
想像出	seung2 jeung6 chut1	
想象力	seung2 jeung6 lik6	
想像力	seung2 jeung6 lik6	
想尽	seung2 jun6	
赏脸	seung2 lim5	
想唔…都几难	seung2 m4 do1 gei2 naan4	不…不行，非…不可
想念	seung2 nim6	
赏心悦目	seung2 sam1 yuet6 muk6	
赏心悦事	seung2 sam1 yuet6 muk6	
赏识	seung2 sik1	
赏画	seung2 wa2	
想话	seung2 wa6	正想，打算
赏玩	seung2 woon6	
想入非非	seung2 yap6 fei1 fei1	
想要	seung2 yiu3	
鲞鱼	seung2 yue4	
赏月	seung2 yuet6	
相亲	seung3 chan1	
相公	seung3 gung1	
相国	seung3 gwok3	
相貌	seung3 maau6	
相命	seung3 ming6	
相士	seung3 si6	算命先生
相术	seung3 sut6	
嫦娥奔月	seung4 ngoh4 ban1 yuet6	
常常	seung4 seung4	
尝试	seung4 si3	
偿还	seung4 waan4	
徜徉	seung4 yeung4	
常用	seung4 yung6	
上班	seung5 baan1	
上班服	seung5 baan1 fuk6	
上班族	seung5 baan1 juk1	
上班时间	seung5 baan1 si4 gaan1	
上榜	seung5 bong2	
上榜名单	seung5 bong2 ming4 daan1	
上漆	seung5 chat1	
上车	seung5 che1	
上前	seung5 chin4	
上错天堂投错胎	seung5 choh3 tin1 tong4 tau4 choh3 toi1	
上菜	seung5 choi3	
上床	seung5 chong4	
上大学	seung5 daai6 hok6	
上当	seung5 dong3	
上坟	seung5 fan4	
上肥	seung5 fei4	
上火	seung5 foh2	
上架	seung5 ga2	
上街	seung5 gaai1	
上钩	seung5 gau1	
上镜	seung5 geng3	上电视，上相
上镜头	seung5 geng3 tau4	
上京	seung5 ging1	
上供	seung5 gung3	
上轨道	seung5 gwai2 do6	
上香	seung5 heung1	
上学	seung5 hok6	
上学校	seung5 hok6 haau6	
上去	seung5 hui3	
上阵	seung5 jan3	
上酒家	seung5 jau2 ga1	
上战场	seung5 jin3 cheung4	
上座	seung5 joh6	
上契	seung5 kai3	认干亲
上蜡	seung5 laap6	
上楼	seung5 lau4	
上梁不正下梁歪	seung5 leung4 bat1 jing3 ha6 leung4 waai1	
上链	seung5 lin2	上发条，上弦
上路	seung5 lo6	
上落	seung5 lok6	上下，来往
上马	seung5 ma5	
上网	seung5 mong5	
上门	seung5 moon4	
上银幕	seung5 ngan4 mok6	
上岸	seung5 ngon6	发财
上山	seung5 saan1	
上山下乡	seung5 saan1 ha6 heung1	
上山下海	seung5 saan1 ha6 hoi2	
上市	seung5 si5	
上色	seung5 sik1	
上线	seung5 sin3	
上锁	seung5 soh2	
上树	seung5 sue6	
上船	seung5 suen4	
上天堂	seung5 tin1 tong4	
上台	seung5 toi4	
上堂	seung5 tong4	上课
上画	seung5 wa2	放映，上映
上位	seung5 wai6	
上任	seung5 yam6	
上油	seung5 yau4	
上釉	seung5 yau6	
上品	seung6 ban2	
上臂	seung6 bei3	
上臂骨	seung6 bei3 gwat1	
上便	seung6 bin6	上面
上部	seung6 bo6	
上半部	seung6 boon3 bo6	
上半场	seung6 boon3 cheung4	
上半年	seung6 boon3 nin4	
上半身	seung6 boon3 san1	
上策	seung6 chaak3	
上层	seung6 chang4	
上层社会	seung6 chang4 se5 wooi6	
上斜	seung6 che3	上坡
上次	seung6 chi3	
上情下达	seung6 ching4 ha6 daat6	
上朝	seung6 chiu4	
上苍	seung6 chong1	
上传	seung6 chuen4	
上旬	seung6 chun4	
上帝	seung6 dai3	
上第	seung6 dang2	
上等兵	seung6 dang2 bing1	
上等货	seung6 dang2 foh3	
上方	seung6 fong1	
上访	seung6 fong2	
上校	seung6 gaau3	
上校军官	seung6 gaau3 gwan1 goon1	
上缴	seung6 giu2	
上告	seung6 go3	
上个	seung6 goh3	
上个礼拜	seung6 goh3 lai5 baai3	上个星期
上古	seung6 goo2	
上古时代	seung6 goo2 si4 doi6	
上下其手	seung6 ha6 kei4 sau2	
上下文	seung6 ha6 man4	
上限	seung6 haan6	
上颌骨	seung6 hap6 gwat1	
上气不接下气	seung6 hei3 bat1 jip3 ha6 hei3	
上好	seung6 ho2	
上海话	seung6 hoi2 wa2	
上空	seung6 hung1	
上空装	seung6 hung1 jong1	
上集	seung6 jaap6	
上昼	seung6 jau3	上午
上涨	seung6 jeung2	
上将	seung6 jeung3	
上肢	seung6 ji1	
上载	seung6 joi3	
上中下游	seung6 jung1 ha6 yau4	
上中农	seung6 jung1 nung4	
上级	seung6 kap1	
上流	seung6 lau4	
上流社会	seung6 lau4 se5 wooi6	
上流人士	seung6 lau4 yan4 si6	
上联	seung6 luen4	
上文	seung6 man4	
尚未	seung6 mei6	
上面	seung6 min6	
上额	seung6 ngaak6	
上眼皮	seung6 ngaan5 pei4	
上颚	seung6 ngok6	
上颚骨	seung6 ngok6 gwat1	
上岸	seung6 ngon6	
上皮	seung6 pei4	
上皮组织	seung6 pei4 jo2 jik1	
上皮细胞	seung6 pei4 sai3 baau1	
上坡	seung6 poh1	
上坡道	seung6 poh1 do6	
上坡路	seung6 poh1 lo6	
上上下下	seung6 seung6 ha6 ha6	
上上之策	seung6 seung6 ji1 chaak3	
上司	seung6 si1	
上声	seung6 sing1	
上升	seung6 sing1	
上乘	seung6 sing4	
上诉	seung6 so3	
上诉人	seung6 so3 yan4	
上书	seung6 sue1	
上述	seung6 sut6	
上体	seung6 tai2	
上天	seung6 tin1	
上天无路	seung6 tin1 mo4 lo6	
上吐下泻	seung6 to3 ha6 se3	
上汤	seung6 tong1	高汤
上尉	seung6 wai3	
上尉军官	seung6 wai3 gwan1 goon1	
上游	seung6 yau4	
上游工业	seung6 yau4 gung1 yip6	
上衣	seung6 yi1	
上意识	seung6 yi3 sik1	
上移	seung6 yi4	
上议院	seung6 yi5 yuen6	
上演	seung6 yin2	
上弦	seung6 yin4	
上弦月	seung6 yin4 yuet6	
上映	seung6 ying2	
上映期间	seung6 ying2 kei4 gaan1	
上页	seung6 yip6	
CIB	si1 ai1 bi1	刑事情报科
私产	si1 chaan2	
丝绸	si1 chau4	
蓍草	si1 cho2	
私处	si1 chue3	
思忖	si1 chuen2	
师出无名	si1 chut1 mo4 ming4	
丝带	si1 daai2	
私底下	si1 dai2 ha6	
私党	si1 dong2	
师范	si1 faan6	
师范大学	si1 faan6 daai6 hok6	
师范学校	si1 faan6 hok6 haau6	
师范学院	si1 faan6 hok6 yuen6	
丝发	si1 faat3	丝绸，绸缎，真丝
司法	si1 faat3	
私法	si1 faat3	
司法部	si1 faat3 bo6	
司法部长	si1 faat3 bo6 jeung2	
司法独立	si1 faat3 duk6 laap6	
司法界	si1 faat3 gaai3	
司法机关	si1 faat3 gei1 gwaan1	
司法官	si1 faat3 goon1	
丝发戏服	si1 faat3 hei3 fuk6	绸缎戏服
司法制度	si1 faat3 jai3 do6	
司法权	si1 faat3 kuen4	
司法院	si1 faat3 yuen6	
司法院长	si1 faat3 yuen6 jeung2	
施肥	si1 fei4	
私访	si1 fong2	
私房	si1 fong4	
私房钱	si1 fong4 chin4	
师父	si1 foo2	
师傅	si1 foo2	
私家	si1 ga1	
私家	si1 ga1	私人的
私家车	si1 ga1 che1	私人汽车
私家医生	si1 ga1 yi1 sang1	私人医生
私交	si1 gaau1	
司机	si1 gei1	司机
诗歌	si1 goh1	
师姑	si1 goo1	尼姑
私下	si1 ha6	
思考	si1 haau2	
思考方式	si1 haau2 fong1 sik1	
师兄	si1 hing1	
诗兴大发	si1 hing3 daai6 faat3	
私枭	si1 hiu1	
司空	si1 hung1	
司空见惯	si1 hung1 gin3 gwaan3	
诗集	si1 jaap6	
师资	si1 ji1	
狮子	si1 ji2	
私自	si1 ji6	
蓍占	si1 jim1	
师祖	si1 jo2	
司寇	si1 kau3	
私立	si1 laap6	
私立学校	si1 laap6 hok6 haau6	
司令	si1 ling6	
司令部	si1 ling6 bo6	
司令官	si1 ling6 goon1	
司令台	si1 ling6 toi4	
司令员	si1 ling6 yuen4	
撕裂	si1 lit6	
思虑	si1 lui6	
司马	si1 ma5	
斯文	si1 man4	
丝袜	si1 mat6	
师奶	si1 naai1	家庭主妇，家庭妇女，妇人，夫人，太太
厮杀	si1 saat3	
私心	si1 sam1	
师生	si1 sang1	
私生子	si1 sang1 ji2	
私生女	si1 sang1 nui5	
私生活	si1 sang1 woot6	
厮守	si1 sau2	
私仇	si1 sau4	
施舍	si1 se2	
思想	si1 seung2	
斯斯文文	si1 si1 man4 man4	很斯文
思思缩缩	si1 si1 suk1 suk1	拘束，蹑手蹑脚，缩成一团
司士	si1 si6	
私事	si1 si6	
私船	si1 suen4	
撕碎	si1 sui3	
思缩	si1 suk1	拘束，不大方
私塾	si1 suk6	
私信	si1 sun3	
师太	si1 taai2	师母，师娘
尸体	si1 tai2	
私吞	si1 tan1	
司徒	si1 to4	
师徒	si1 to4	
思维	si1 wai4	
尸位素餐	si1 wai6 so3 chaan1	
私隐	si1 yan2	
私隐	si1 yan2	隐私
私隐权	si1 yan2 kuen4	隐私权
诗人	si1 yan4	
私人	si1 yan4	
私人秘书	si1 yan4 bei3 sue1	
私有	si1 yau5	
私有财产	si1 yau5 choi4 chaan2	
私有制	si1 yau5 jai3	
施虐	si1 yeuk6	
诗意	si1 yi3	
思疑	si1 yi4	怀疑
司仪	si1 yi4	
私营	si1 ying4	
私营企业	si1 ying4 kei5 yip6	
私欲	si1 yuk6	
私用	si1 yung6	
屎	si2	差劲，很差
史前	si2 chin4	
史前时代	si2 chin4 si4 doi6	
使出	si2 chut1	
使出浑身解数	si2 chut1 wan4 san1 gaai2 so3	
使得	si2 dak1	
屎窟	si2 fat1	屁股
屎窟窿	si2 fat1 lung1	肛门，屁股眼
屎计	si2 gai2	鬼主意，馊主意
史记	si2 gei3	
使劲	si2 ging6	
屎坑	si2 haang1	茅坑，厕所
史学	si2 hok6	
史学家	si2 hok6 ga1	
史学界	si2 hok6 gaai3	
史迹	si2 jik1	
屎桥	si2 kiu2	馊主意，馊点子
史料	si2 liu6	
史无前例	si2 mo4 chin4 lai6	
屎眼	si2 ngaan5	肛门，屁股眼
使眼色	si2 ngaan5 sik1	
屎片	si2 pin2	尿布
史实	si2 sat6	
史上	si2 seung6	
史诗	si2 si1	
使性子	si2 sing3 ji2	
史书	si2 sue1	
倒屎塔	si2 taap3	倒马桶
屎塔	si2 taap3	马桶
屎塔盖	si2 taap3	马桶盖子
使唤	si2 woon6	
使人	si2 yan4	
使然	si2 yin4	
试镜	si3 geng3	试拍
试过	si3 gwoh3	曾经，曾有过，曾经有过，曾经出现过
试过有一次	si3 gwoh3 yau5 yat1 chi3	曾经有一次
试吓	si3 ha5	试试看
嗜好	si3 ho3	
使者	si3 je2	
使节	si3 jit3	
试味	si3 mei6	尝味，尝一下味道
试味道	si3 mei6 do6	尝味，尝一下味道
使命	si3 ming6	
使命感	si3 ming6 gam2	
肆无忌惮	si3 mo4 gei6 daan6	
使女	si3 nui5	
试衫房	si3 saam1 fong2	更衣室
嗜杀成性	si3 saat3 sing4 sing3	
试身	si3 san1	试穿，试衣
使臣	si3 san4	
使徒	si3 to4	
试图	si3 to4	
是日例汤	si3 yat6 lai6 tong1	当天卖的汤，当天的普通汤
肆虐	si3 yeuk6	
肆意	si3 yi3	
试验	si3 yim6	
时代	si4 doi6	
时间	si4 gaan1	
时间表	si4 gaan1 biu2	
时过境迁	si4 gwoh3 ging2 chin1	
时刻	si4 hak1	
时候	si4 hau6	
时候	si4 hau6	时间
时候唔够	si4 hau6 m4 gau3	时间不够
时兴	si4 hing1	
时空	si4 hung1	
时装	si4 jong1	
时装骚	si4 jong1 so1	时装秀
莳罗	si4 loh4	
时唛	si4 mak1	时髦，漂亮
时髦	si4 mo4	
时尚	si4 seung6	
时时	si4 si4	常常
时事	si4 si6	
鲥鱼	si4 yue4	
市场	si5 cheung4	
市价	si5 ga3	
市集	si5 jaap6	
市长	si5 jeung2	
市值	si5 jik6	
市占率	si5 jim3 lut6	
市井	si5 jing2	
市井小民	si5 jing2 siu2 man4	
市政府	si5 jing3 foo2	
市区	si5 kui1	
市民	si5 man4	
士巴拿	si6 ba1 na2	扳手，扳子，螺旋钳
士啤	si6 be1	备用，备用物
士啤肽	si6 be1 taai1	备用车轮
事变	si6 bin3	
士兵	si6 bing1	
是必	si6 bit1	一定
事半功倍	si6 boon3 gung1 pooi5	
士钵恤	si6 boot1 sut1	运动衣
侍仆	si6 buk6	
是次	si6 chi3	
事前	si6 chin4	
事情	si6 ching4	
事情多罗罗	si6 ching4 doh1 loh4 loh4	事情多多的
侍从	si6 chung4	
士担	si6 daam1	邮票
是但	si6 daan6	随便
是但呀	si6 daan6 a3	随便吧
是但你拣	si6 daan6 nei5 gaan2	由你决定
士的	si6 dik1	手杖，拐杖，拐棍
事到如今	si6 do3 yue4 gam1	
士多	si6 doh1	小商店
士多啤梨	si6 doh1 be1 lei2	草莓
士多房	si6 doh1 fong2	堆房，储藏室
示范	si6 faan6	
事发	si6 faat3	
是非	si6 fei1	
是非多罗罗	si6 fei1 doh1 loh4 loh4	是非多多的
是非之地	si6 fei1 ji1 dei6	
是非自有公论	si6 fei1 ji6 yau5 gung1 lun6	
是非曲直	si6 fei1 kuk1 jik6	
侍奉	si6 fung6	
事隔多年	si6 gaak3 doh1 nin4	
事件	si6 gin6	
视角	si6 gok3	
视觉	si6 gok3	
视觉神经	si6 gok3 san4 ging1	
事干	si6 gon3	事儿，事情
事故	si6 goo3	
事关	si6 gwaan1	因为，由于
事过境迁	si6 gwoh3 ging2 chin1	
侍候	si6 hau6	
事后	si6 hau6	
士气	si6 hei3	
事项	si6 hong6	
侍仔	si6 jai2	服务员
侍者	si6 je2	
事在人为	si6 joi6 yan4 wai4	
仕进	si6 jun3	
士叻	si6 lik1	虫胶
视力	si6 lik6	
士碌架	si6 luk1 ga2	撞球，台球，桌球
事物	si6 mat6	
事务	si6 mo6	
仕女	si6 nui5	
侍女	si6 nui5	
仕女图	si6 nui5 to4	
视频	si6 pan4	
事倍功半	si6 pooi5 gung1 boon3	
事实	si6 sat6	
事实上	si6 sat6 seung6	
事实胜于雄辩	si6 sat6 sing3 yue1 hung4 bin6	
视死如归	si6 sei2 yue4 gwai1	
是是但但	si6 si6 daan6 daan6	随随便便，随便一点
是是非非	si6 si6 fei1 fei1	
事先	si6 sin1	
事态	si6 taai3	
士挞胆	si6 taat1 daam2	启辉器，起动器
事头	si6 tau2	老板
事头婆	si6 tau4 poh4	老板娘
莳田	si6 tin4	插秧
视听	si6 ting1	
仕途	si6 to4	
侍童	si6 tung4	
仕宦	si6 waan6	
示威	si6 wai1	
示威游行	si6 wai1 yau4 hang4	
侍卫	si6 wai6	
侍卫长	si6 wai6 jeung2	
视阈	si6 wik6	
豉油	si6 yau4	酱油
豉油碟	si6 yau4 dip6	酱油碟子
豉油樽	si6 yau4 jun1	酱油瓶
视野	si6 ye5	
视若无睹	si6 yeuk6 mo4 do2	
视若无人	si6 yeuk6 mo4 yan4	
示意	si6 yi3	
事宜	si6 yi4	
视而不见	si6 yi4 bat1 gin3	
事已如此	si6 yi5 yue4 chi2	
侍应	si6 ying3	服务员
事业	si6 yip6	
事业心	si6 yip6 sam1	
事与愿违	si6 yuen6 wai4	
识	sik1	会，能够
识	sik1	认识
饰品	sik1 ban2	
识辨	sik1 bin6	
识别	sik1 bit6	
惜别	sik1 bit6	
识别字	sik1 bit6 ji6	
识别证	sik1 bit6 jing3	
识别力	sik1 bit6 lik6	
识别码	sik1 bit6 ma5	
色情	sik1 ching4	
色情电影	sik1 ching4 din6 ying2	
色情行业	sik1 ching4 hong4 yip6	
色情杂志	sik1 ching4 jaap6 ji3	
色情片	sik1 ching4 pin2	
色彩	sik1 choi2	
色彩学	sik1 choi2 hok6	
识穿	sik1 chuen1	识破
识趣	sik1 chui3	
识得	sik1 dak1	认得，认识，懂得
熄灯	sik1 dang1	关灯
识啲啲扮老师	sik1 di1 di1 baan6 lo5 si1	会一点点就以为自己可以当教师了
识啲唔识啲	sik1 di1 m4 sik1 di1	一知半解，似懂非懂，又会又不会
色调	sik1 diu6	
色度	sik1 do6	
色度计	sik1 do6 gai3	
识多见广	sik1 doh1 gin3 gwong2	
适当	sik1 dong3	
释放	sik1 fong3	
媳妇	sik1 foo5	
熄机	sik1 gei1	关机，把机器关掉
识见	sik1 gin3	
识讲	sik1 gong2	会说
识讲嘢	sik1 gong2 ye5	口若悬河，能言善辩
色鬼	sik1 gwai2	
色系	sik1 hai6	
息口	sik1 hau2	利息
色泽	sik1 jaak6	
识字	sik1 ji6	
识字班	sik1 ji6 baan1	
识字率	sik1 ji6 lut6	
色即是空	sik1 jik1 si6 hung1	
适值	sik1 jik6	正好
色厉内荏	sik1 lai6 noi6 yam5	
淅沥沥	sik1 lik1 lik1	
识捞	sik1 lo1	会挣钱，会钻营，会往上爬
识路	sik1 lo6	认识路
色狼	sik1 long4	
拭泪	sik1 lui6	
色盲	sik1 maang4	
色盲症	sik1 maang4 jing3	
饰物	sik1 mat6	
熄灭	sik1 mit6	
色目人	sik1 muk6 yan4	
拭目以待	sik1 muk6 yi5 doi6	
识谂	sik1 nam2	会想、会动脑
息怒	sik1 no6	
识朋友	sik1 pang4 yau5	交朋友
识破	sik1 poh3	
识相	sik1 seung3	
熄匙	sik1 si4	把引擎关掉
识时务	sik1 si4 mo6	
识时务者为俊杰	sik1 si4 mo6 je2 wai4 jun3 git3	
色士风	sik1 si6 fung1	萨克斯风，萨克斯管
识识哋	sik1 sik1 dei2	会一点
息息相关	sik1 sik1 seung1 gwaan1	
识食	sik1 sik6	会吃
识性	sik1 sing3	懂事，有出息
识少少扮代表	sik1 siu2 siu2 baan6 doi6 biu2	自作聪明，自以为是
色素	sik1 so3	
色素体	sik1 so3 tai2	
色水	sik1 sui2	颜色，色泽
蟋蟀	sik1 sut1	
识叹	sik1 taan3	会享受，懂得享受
识弹唔识唱	sik1 taan4 m4 sik1 cheung3	只会说不会做
识睇	sik1 tai2	看得懂
识听	sik1 teng1	听得懂
识途老马	sik1 to4 lo5 ma5	
识饮识食	sik1 yam2 sik1 sik6	会吃会喝，懂得吃喝
识人要带眼	sik1 yan4 yiu3 daai3 ngaan5	交友要分清好人坏人，交友要善于辨别好人坏人
昔日	sik1 yat6	
识游水	sik1 yau4 sui2	会游泳
蜥蜴	sik1 yik6	
适应	sik1 ying3	
识认	sik1 ying6	标记，特殊的记号
色欲	sik1 yuk6	
食	sik6	吃
食霸王饭	sik6 ba3 wong4 faan6	吃饭不付钱
食饱	sik6 baau2	吃饱
食饱未	sik6 baau2 mei6	吃饱了吗？
食品	sik6 ban2	
食品厂	sik6 ban2 chong2	
食品店	sik6 ban2 dim3	
食品工业	sik6 ban2 gung1 yip6	
食品商	sik6 ban2 seung1	
食品卫生	sik6 ban2 wai6 sang1	
食品业	sik6 ban2 yip6	
食品业者	sik6 ban2 yip6 je2	
食不充饥	sik6 bat1 chung1 gei1	
食不知味	sik6 bat1 ji1 mei6	
食餐便饭	sik6 chaan1 bin6 faan6	吃个便饭
食餐冇餸饭	sik6 chaan1 mo5 sung3 faan3	吃个便饭
食七咁食	sik6 chat1 gam3 sik6	狼吞虎咽
食翅	sik6 chi3	吃鱼翅
食前方丈	sik6 ching4 fong1 jeung6	
食错药	sik6 choh3 yeuk6	吃错药
