开放粤语词典（广州拼音版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［广州拼音］	［国语解释］
少数服从多数	xiu2 sou3 fug6 cung4 do1 sou3	
少数民族	xiu2 sou3 men4 zug6	
少数人	xiu2 sou3 yen4	
小提琴	xiu2 tei4 kem4	
小偷	xiu2 teo1	
小童	xiu2 tung4	
小食	xiu2 xig6	小吃
小乘	xiu2 xing4	
少少	xiu2 xiu2	一点点
少少咋	xiu2 xiu2 za3	一点点而已
小说	xiu2 xud3	
小篆	xiu2 xun6	
小人蛇	xiu2 yen4 sé4	从水路偷渡的小孩
小意思	xiu2 yi3 xi1	
小镇	xiu2 zen3	
小组	xiu2 zou2	
小姐	xiu2 zé2	
少	xiu3	丈夫的兄弟
笑	xiu3	笑话
少	xiu3	少爷
少不更事	xiu3 bed1 geng1 xi6	
笑大人个口	xiu3 dai6 yen4 go3 heo2	笑死人，可笑
笑到见牙唔见眼	xiu3 dou3 gin3 nga4 m4 gin3 ngan5	笑得合不拢嘴，笑得眼睛都瞇缝了
笑到畸畸声	xiu3 dou3 ki1 ki1 séng1	嘻哈地笑
笑到肚刺	xiu3 dou3 tou5 cég3	笑疼了肚子
少校	xiu3 gao3	
少林寺	xiu3 lem4 ji2	
少男	xiu3 nam4	
少年	xiu3 nin4	
少女	xiu3 nêu5	
笑称	xiu3 qing1	
少尉	xiu3 wei3	
笑声	xiu3 xing1	
笑笑口	xiu3 xiu3 heo2	微笑
笑笑口噉讲	xiu3 xiu3 heo2 gem2 gong2	微笑着说
笑笑口话	xiu3 xiu3 heo2 wa2	笑着说
笑吟吟	xiu3 yem4 yem4	笑嘻嘻
笑靥	xiu3 yib3	
笑容	xiu3 yung4	
笑容可掬	xiu3 yung4 ho2 gug1	
少爷	xiu3 yé4	
少将	xiu3 zêng3	
绍菜	xiu6 coi3	大白菜
兆头	xiu6 teo4	
肇祸	xiu6 wo6	
肇事	xiu6 xi6	
肇事者	xiu6 xi6 zé2	
绍酒	xiu6 zeo2	绍兴黄酒，料酒
舒畅	xu1 cêng3	
书店	xu1 dim3	
抒发	xu1 fad3	
舒服	xu1 fug6	
书架	xu1 ga2	
纾解	xu1 gai2	
抒解	xu1 gai2	
书局	xu1 gug6	
舒闲	xu1 han4	
输血	xu1 hüd3	
书籍	xu1 jig6	
书展	xu1 jin2	
纾困	xu1 kwen3	
书面语	xu1 min6 yu5	
枢纽	xu1 neo2	
抒情	xu1 qing4	
抒情歌	xu1 qing4 go1	
输晒	xu1 sai3	输光
书台	xu1 toi2	书桌
抒怀	xu1 wai4	
纾缓	xu1 wun6	
舒适	xu1 xig1	
舒舒服服	xu1 xu1 fug6 fug6	很舒服，舒舒服服
输入	xu1 yeb6	
书友	xu1 yeo2	同学
抒意	xu1 yi3	
输赢	xu1 ying4	
书桌	xu1 zêg3	
鼠	xu2	偷，偷偷地拿走
薯	xu2	马铃薯，土豆，洋芋
鼠辈	xu2 bui3	
暑假	xu2 ga3	
鼠害	xu2 hoi6	
暑期	xu2 kéi4	
鼠摸	xu2 mo1	小偷
鼠年	xu2 nin4	
鼠疫	xu2 yig6	
鼠嘢	xu2 yé5	偷东西，偷窃
鼠药	xu2 yêg6	
处	xu3	地方，处
恕不	xu3 bed1	
恕不奉陪	xu3 bed1 fung6 pui4	
庶民	xu3 men4	
庶人	xu3 yen4	
恕罪	xu3 zêu6	
薯	xu4	笨
殊功	xu4 gung1	
殊礼	xu4 lei5	
薯莨	xu4 lêng4	
薯片	xu4 pin3	马铃薯片，土豆片，洋芋片
殊死	xu4 séi2	
薯头	xu4 teo4	笨蛋，笨人，蠢猪，蠢笨
薯头唛	xu4 teo4 meg1	笨蛋
薯头薯脑	xu4 teo4 xu4 nou5	笨头笨脑
薯条	xu4 tiu4	
殊途同归	xu4 tou4 tung4 gwei1	
殊荣	xu4 wing4	
殊异	xu4 yi6	
殊遇	xu4 yu6	
薯蓣	xu4 yu6	
薯仔	xu4 zei2	马铃薯，土豆
树杈	xu6 ca3	
树倒猢狲散	xu6 dou2 wu4 xun1 san3	
树根	xu6 gen1	
树干	xu6 gon3	
竖起	xu6 héi2	
树枝	xu6 ji1	
竖琴	xu6 kem4	
竖立	xu6 lab6	
树林	xu6 lem4	
树皮	xu6 péi4	
树梢	xu6 sao1	
树阴	xu6 yem1	
树叶	xu6 yib6	
雪	xud3	冰
雪葩	xud3 ba1	
雪白	xud3 bag6	
雪白色	xud3 bag6 xig1	
雪崩	xud3 beng1	
雪藏	xud3 cong4	冰镇，冰冻，冷藏
雪藏汽水	xud3 cong4 héi3 sêu2	冰镇汽水
雪藏西瓜	xud3 cong4 sei1 gwa1	冰镇西瓜
雪藏肉	xud3 cong4 yug6	冷藏的肉
说出	xud3 cêd1	
雪地	xud3 déi6	
雪堆	xud3 dêu1	
雪花	xud3 fa1	
说谎	xud3 fong1	
雪茄	xud3 ga1	
雪景	xud3 ging2	
雪糕	xud3 gou1	冰淇淋
雪糕厂	xud3 gou1 cong2	冰淇淋工厂
雪糕车	xud3 gou1 cé1	冰淇淋车
雪糕批	xud3 gou1 pei1	冰砖
雪糕筒	xud3 gou1 tung2	甜筒，冰淇淋蛋卷，盛着冰淇淋球的薄饼
雪季	xud3 gwei3	
雪柜	xud3 gwei6	冰箱
雪恨	xud3 hen6	
雪橇	xud3 hiu1	
雪战	xud3 jin3	
雪珠	xud3 ju1	冰雹，雹子
雪猪	xud3 ju1	冻猪肉
雪球	xud3 keo4	
雪屐	xud3 kég6	冰鞋，旱冰鞋
雪褛	xud3 leo1	毛皮大衣，棉猴儿，皮猴儿
雪梨	xud3 léi2	鸭梨
雪里红	xud3 lêu5 hung4	
说明	xud3 ming4	
说明书	xud3 ming4 xu1	
雪帽	xud3 mou2	风帽，暖帽，风雪帽
雪批	xud3 pei1	冰砖
雪片	xud3 pin3	
雪耻	xud3 qi2	
雪上加霜	xud3 sêng6 ga1 sêng1	
雪水	xud3 sêu2	冰水
雪条	xud3 tiu2	冰棍
说话	xud3 wa6	话
雪人	xud3 yen4	
雪耳	xud3 yi5	银耳，白木耳
雪耳糖水	xud3 yi5 tong4 sêu2	银耳甜汤
鳕鱼	xud3 yu4	
雪冤	xud3 yun1	
雪原	xud3 yun4	
雪中送炭	xud3 zung1 sung3 tan3	
宣布	xun1 bou3	
宣战	xun1 jin3	
酸梅	xun1 mui2	梅子，酸梅
酸微微	xun1 méi1 méi1	酸酸的，酸溜溜，很酸
狻猊	xun1 ngei4	
宣判	xun1 pun3	
宣判无罪	xun1 pun3 mou4 zêu6	
宣判有罪	xun1 pun3 yeo5 zêu6	
宣传	xun1 qun4	
酸宿	xun1 sug1	汗臭，汗馊味
酸宿烂臭	xun1 sug1 lan6 ceo3	难闻的酸臭味
孙仔	xun1 zei2	孙子
选拔	xun2 bed6	
选举	xun2 gêu2	
损害	xun2 hoi6	
损耗	xun2 hou3	
损耗率	xun2 hou3 lêd6	
损耗量	xun2 hou3 lêng6	
损失	xun2 sed1	
选手	xun2 seo2	
损伤	xun2 sêng1	
损坏	xun2 wai6	
损毁	xun2 wei2	
损人利己	xun2 yen4 léi6 géi2	
损友	xun2 yeo5	坏朋友，不三不四的朋友
选集	xun2 zab6	
选择	xun2 zag6	
算罢啦	xun3 ba2 la1	算了吧
算鬼数	xun3 gwei2 sou3	算了啦！
算命	xun3 méng6	
算你够运	xun3 néi5 geo3 wen6	算你走运
算数	xun3 sou3	算了，罢了
算数喇	xun3 sou3 la3	算了吧
算死草	xun3 séi2 cou2	铁公鸡
蒜头	xun3 teo4	
渲染	xun3 yim5	
蒜蓉	xun3 yung4	
船舶	xun4 bog6	
璇玑	xun4 géi1	
旋转乾坤	xun4 jun2 kin4 kwen1	
旋转乾坤之力	xun4 jun2 kin4 kwen1 ji1 lig6	
旋律	xun4 lêd6	
船头尺	xun4 teo4 cég3	到处借钱的人，到处筹款的人
船桅	xun4 wei4	
漩涡	xun4 wo1	
船只	xun4 zég3	
船桨	xun4 zêng2	
船长	xun4 zêng2	
隽语	xun5 yu5	
篆刻	xun6 heg1	
篆字	xun6 ji6	
篆文	xun6 men4	
篆体	xun6 tei2	
篆书	xun6 xu1	
也许	ya5 hêu2	
廿	ya6	二十
廿八岁	ya6 bad3 sêu3	二十八岁
廿四	ya6 séi3	二十四
喫	yag3	吃
喫饭	yag3 fan6	吃饭
跴	yai2	踩，骑（自行车等）
跴单车	yai2 dan1 cé1	骑自行车，骑脚踏车
泣不成声	yeb1 bed1 xing4 xing1	
翕动	yeb1 dung6	
翕眼	yeb1 ngan5	眨眼
悒郁	yeb1 wed1	
熠熠闪烁	yeb1 yeb1 xim2 sêg3	
入	yeb6	进
入不敷出	yeb6 bed1 fu1 cêd1	
入便	yeb6 bin6	里面，里头，里边
入侵	yeb6 cem1	
入秋	yeb6 ceo1	
入场	yeb6 cêng4	
入党	yeb6 dong2	
入伙	yeb6 fo2	入住
入货	yeb6 fo3	进货，买进
入境	yeb6 ging2	
入境随俗	yeb6 ging2 cêu4 zug6	
入境证	yeb6 ging2 jing3	
入境问俗	yeb6 ging2 men6 zug6	
入境问俗，入乡随俗	yeb6 ging2 men6 zug6 yeb6 hêng1 cêu4 zug6	
入境签证	yeb6 ging2 qim1 jing3	
入境手续	yeb6 ging2 seo2 zug6	
入口	yeb6 heo2	
入口即化	yeb6 heo2 jig1 fa3	
入乡随俗	yeb6 hêng1 cêu4 zug6	
入去	yeb6 hêu3	进去
入殓	yeb6 lim5	
入嚟	yeb6 léi4	进来
入嚟啦	yeb6 léi4 la1	进来吧，请进
入面	yeb6 min6	里面
入魔	yeb6 mo1	
入门	yeb6 mun4	
入伍	yeb6 ng5	
入钱	yeb6 qin2	存钱
入数	yeb6 sou3	入账
入土为安	yeb6 tou2 wei4 on1	
入围	yeb6 wei4	
入闱	yeb6 wei4	
入声	yeb6 xing1	
入选	yeb6 xun2	
入狱	yeb6 yug6	
入院	yeb6 yun6	
入闸口	yeb6 zab6 heo2	进剪票口
入蛰	yeb6 zed6	
扣篮，灌篮，进球，投篮	yeb6 zên1	篮球用语，指球员跳起来把球直接放進籃框內
一百	yed1 bag3	
一败涂地	yed1 bai6 tou4 déi6	
一饱口福	yed1 bao2 heo2 fug1	
一饱眼福	yed1 bao2 ngan5 fug1	
一饱耳福	yed1 bao2 yi5 fug1	
一笔勾销	yed1 bed1 ngeo1 xiu1	
一不小心	yed1 bed1 xiu2 sem1	
一不做二不休	yed1 bed1 zou6 yi6 bed1 yeo1	
一边倒	yed1 bin1 dou2	
一便	yed1 bin6	一边，一头
一便…，一便…	yed1 bin6 yed1 bin6	一边…，一边…
一表人才	yed1 biu2 yen4 coi4	
一表人材	yed1 biu2 yen4 coi4	
一波未平	yed1 bo1 méi6 ping4	
一波三折	yed1 bo1 sam1 jid3	
一波又起	yed1 bo1 yeo6 héi2	
一步登天	yed1 bou6 deng1 tin1	
一部分	yed1 bou6 fen6	
一曝十寒	yed1 bug6 seb6 hon4	
一辈	yed1 bui3	
一般	yed1 bun1	
一般嘅	yed1 bun1 gé3	一般的
一般嚟讲	yed1 bun1 léi4 gong2	一般来说
一般情形	yed1 bun1 qing4 ying4	
一般常识	yed1 bun1 sêng4 xig1	
一般性	yed1 bun1 xing3	
一般人	yed1 bun1 yen4	
一般而言	yed1 bun1 yi4 yin4	
一般状况	yed1 bun1 zong6 fong3	
一本正经	yed1 bun2 jing3 ging1	
一本万利	yed1 bun2 man6 léi6	
一臂之力	yed1 béi3 ji1 lig6	
一鼻孔出气	yed1 béi6 hung2 cêd1 héi3	
一病不起	yed1 béng6 bed1 héi2	
一妻多夫	yed1 cei1 do1 fu1	
一妻多夫制	yed1 cei1 do1 fu1 zei3	
一妻制	yed1 cei1 zei3	
一切	yed1 cei3	
一齐	yed1 cei4	一起
一亲芳泽	yed1 cen1 fong1 zag6	
一尘不染	yed1 cen4 bed1 yim5	
一揪一掕	yed1 ceo1 yed1 leng3	一串串的，一包一袋
一筹莫展	yed1 ceo4 mog6 jin2	
一错再错	yed1 co3 zoi3 co3	
一触即发	yed1 cug1 jig1 fad3	
一蹴而就	yed1 cug1 yi4 zeo6	
一场兄弟	yed1 cêng4 hing1 dei6	兄弟一场
一登龙门	yed1 deng1 lung4 mun4	
一等兵	yed1 deng2 bing1	
一等舱	yed1 deng2 cong1	
一啲都唔	yed1 di1 dou1 m4	一点也不
一啲都唔知	yed1 di1 dou1 m4 ji1	一点也不知道
一跌再跌	yed1 did3 zoi3 did3	
一点一滴	yed1 dim2 yed1 dig1	
一点钟	yed1 dim2 zung1	
一丁不识	yed1 ding1 bed1 xig1	
一丁点	yed1 ding1 dim2	
一定	yed1 ding6	
一代	yed1 doi6	
一代不如一代	yed1 doi6 bed1 yu4 yed1 doi6	
一代豪杰	yed1 doi6 hou4 gid6	
一代新人换旧人	yed1 doi6 sen1 yen4 wun6 geo6 yen4	
一代英豪	yed1 doi6 ying1 hou4	
一党制	yed1 dong2 zei3	
一刀两断	yed1 dou1 lêng5 dün6	
一督就穿	yed1 dug1 zeo6 qun1	一戳就破
一动不动	yed1 dung6 bed1 dung6	
一动不如一静	yed1 dung6 bed1 yu4 yed1 jing6	
一戙都冇	yed1 dung6 dou1 mou5	一文不值，一钱不值，毫无办法，
一对多	yed1 dêu3 do1	
一对一	yed1 dêu3 yed1	
一发不可收拾	yed1 fad3 bed1 ho2 seo1 seb6	
一发千钧	yed1 fad3 qin1 gwen1	
一番苦心	yed1 fan1 fu2 sem1	
一反常态	yed1 fan2 sêng4 tai3	
一帆风顺	yed1 fan4 fung1 sên6	
一分钱一分货	yed1 fen1 qin4 yed1 fen1 fo3	
一分为二	yed1 fen1 wei4 yi6	
一分一秒	yed1 fen1 yed1 miu5	
一方面	yed1 fong1 min6	
一房一厅	yed1 fong4 yed1 ting1	
一呼百应	yed1 fu1 bag3 ying3	
一夫多妻	yed1 fu1 do1 cei1	
一夫当关	yed1 fu1 dong1 gwan1	
一夫一妻	yed1 fu1 yed1 cei1	
一夫一妻制	yed1 fu1 yed1 cei1 zei3	
一飞冲天	yed1 féi1 cung1 tin1	
一家大小	yed1 ga1 dai6 xiu2	
一家之主	yed1 ga1 ji1 ju2	
一家人	yed1 ga1 yen4	
一较高下	yed1 gao3 gou1 ha6	
一拮就穿	yed1 ged1 zeo6 qun1	一戳就破
一见倾心	yed1 gin3 king1 sem1	
一见如故	yed1 gin3 yu4 gu3	
一见钟情	yed1 gin3 zung1 qing4	
一个	yed1 go3	
一个巴掌拍不响	yed1 go3 ba1 zêng2 pag3 bed1 hêng2	
一个崩	yed1 go3 beng1	一个子儿，一分钱
一个饼印	yed1 go3 béng2 yen3	完全相同，一个样儿，一模一样
一个字	yed1 go3 ji6	五分钟
一个萝卜一个坑	yed1 go3 lo4 bag6 yed1 go3 hang1	
一个头两个大	yed1 go3 teo4 lêng5 go3 dai6	
一个人	yed1 go3 yen4	
一个做好，一个做丑	yed1 go3 zou6 hou2 yed1 go3 zou6 ceo2	一个唱红脸，一个唱白脸
一个啫	yed1 go3 zé1	一个而已
一干二净	yed1 gon1 yi6 jing6	
一鼓作气	yed1 gu2 zog3 héi3	
一官半职	yed1 gun1 bun3 jig1	
一贯	yed1 gun3	
一共	yed1 gung6	
一骨碌	yed1 gwed1 lug1	
一国之君	yed1 gwog3 ji1 gwen1	
一国之主	yed1 gwog3 ji1 ju2	
一国两制	yed1 gwog3 lêng5 zei3	
一己之见	yed1 géi2 ji1 gin3	
一己之私	yed1 géi2 ji1 xi1	
一技之长	yed1 géi6 ji1 cêng4	
一颈血	yed1 géng2 hüd3	伤亡惨重，宰人一笔
一脚踢	yed1 gêg3 tég3	独自干某事，没有助手，一手包办，一力承担，包揽一切，包干，包搅，通通，全包了
一脚踢开	yed1 gêg3 tég3 hoi1	
一举两得	yed1 gêu2 lêng5 deg1	
一举成名	yed1 gêu2 xing4 ming4	
一举一动	yed1 gêu2 yed1 dung6	
一句讲晒	yed1 gêu3 gong2 sai3	总括而言
一句话都唔声	yed1 gêu3 wa2 dou1 m4 séng1	一句话都不说
一吓	yed1 ha5	一下子，突然，稍不经意
一刻千金	yed1 heg1 qin1 gem1	
一系	yed1 hei6	要么，或者，还是
一口价	yed1 heo2 ga3	实价，言无二价，铁价不二
一窍不通	yed1 hiu3 bed1 tung1	
一学就识	yed1 hog6 zeo6 xig1	一学便会
一腔热血	yed1 hong1 yid6 hüd3	
一腔热诚	yed1 hong1 yid6 xing4	
一气呵成	yed1 héi3 ho1 xing4	
一气之下	yed1 héi3 ji1 ha6	
一向	yed1 hêng3	
一去不返	yed1 hêu3 bed1 fan2	
一去不复返	yed1 hêu3 bed1 fug6 fan2	
一知半解	yed1 ji1 bun3 gai2	
一枝独秀	yed1 ji1 dug6 seo3	
一枝公	yed1 ji1 gung1	一个人
一枝之栖	yed1 ji1 ji1 cei1	
一纸空文	yed1 ji2 hung1 men4	
一致	yed1 ji3	
一致性	yed1 ji3 xing3	
一字不差	yed1 ji6 bed1 ca1	
一字不漏	yed1 ji6 bed1 leo6	
一字不识	yed1 ji6 bed1 xig1	
一字之差	yed1 ji6 ji1 ca1	
一字之师	yed1 ji6 ji1 xi1	
一字千金	yed1 ji6 qin1 gem1	
一直行	yed1 jig6 hang4	一直走，直走
一直去	yed1 jig6 hêu3	一直走，直走
一席之地	yed1 jig6 ji1 déi6	
一夕之间	yed1 jig6 ji1 gan1	
一展身手	yed1 jin2 sen1 seo2	
一箭双雕	yed1 jin3 sêng1 diu1	
一怔	yed1 jing1	
一招半式	yed1 jiu1 bun3 xig1	
一朝被蛇咬	yed1 jiu1 béi6 sé4 ngao5	
一朝天子一朝臣	yed1 jiu1 tin1 ji2 yed1 jiu1 sen4	
一朝一夕	yed1 jiu1 yed1 jig6	
一住…一住…	yed1 ju6 yed1 ju6	边…边…，一边…一边…
一转眼	yed1 jun2 ngan5	
一概	yed1 koi3	
一概而论	yed1 koi3 yi4 lên6	
一穷二白	yed1 kung4 yi6 bag6	
一窥究竟	yed1 kwei1 geo3 ging2	
一瘸一拐	yed1 ké4 yed1 gwai2	
一蹶不振	yed1 küd3 bed1 zen3	
一决雌雄	yed1 küd3 qi1 hung4	
一决胜负	yed1 küd3 xing3 fu6	
一览	yed1 lam4	
一览表	yed1 lam4 biu2	
一览无遗	yed1 lam5 mou4 wei4	
一溜烟	yed1 leo6 yin1	
一了百了	yed1 liu5 bag3 liu5	
一落千丈	yed1 log6 qin1 zêng6	
一劳永逸	yed1 lou4 wing5 yed6	
一路	yed1 lou6	一直，一向，一贯
一路都有	yed1 lou6 dou1 yeo5	一直都有
一路平安	yed1 lou6 ping4 on1	
一路顺风	yed1 lou6 sên6 fung1	
一路上	yed1 lou6 sêng6	
一路…一路…	yed1 lou6 yed1 lou6	一边…一边…
一路以为	yed1 lou6 yi5 wei4	一直以为
一马当先	yed1 ma5 dong1 xin1	
一物克一物	yed1 med6 heg1 yed1 med6	
一物降一物	yed1 med6 hong4 yed1 med6	
一脉相传	yed1 meg6 sêng1 qun4	
一文不值	yed1 men4 bed1 jig6	
一问三不知	yed1 men6 sam1 bed1 ji1	
一问一答	yed1 men6 yed1 dab3	
一面之交	yed1 min6 ji1 gao1	
一面之词	yed1 min6 ji1 qi4	
一面之缘	yed1 min6 ji1 yun4	
一面屁	yed1 min6 péi3	一鼻子灰，满脸羞惭，无地自容
一鸣惊人	yed1 ming4 géng1 yen4	
一命呜呼	yed1 ming6 wu1 fu1	
一网打尽	yed1 mong5 da2 zên6	
一望无边	yed1 mong6 mou4 bin1	
一望无垠	yed1 mong6 mou4 ngen4	
一望无际	yed1 mong6 mou4 zei3	
一毛不拔	yed1 mou4 bed1 bed6	
一无长物	yed1 mou4 cêng4 med6	
一无可取	yed1 mou4 ho2 cêu2	
一无所长	yed1 mou4 so2 cêng4	
一无所得	yed1 mou4 so2 deg1	
一无所知	yed1 mou4 so2 ji1	
一无所恃	yed1 mou4 so2 qi5	
一无所获	yed1 mou4 so2 wog6	
一无所有	yed1 mou4 so2 yeo5	
一无是处	yed1 mou4 xi6 qu3	
一模一样	yed1 mou4 yed1 yêng6	
一目了然	yed1 mug6 liu5 yin4	
一目了然	yed1 mug6 liu5 yin4	
一沐三握发	yed1 mug6 sam1 eg1 fad3	
一目十行	yed1 mug6 seb6 hong4	
一味	yed1 méi6	总是，只是，一个劲儿
一五一十	yed1 ng5 yed1 seb6	
一误再误	yed1 ng6 zoi3 ng4	
一额汗	yed1 ngag6 hon6	一把汗
一念之差	yed1 nim6 ji1 ca1	
一念之间	yed1 nim6 ji1 gan1	
一年半载	yed1 nin4 bun3 zoi2	
一年级	yed1 nin4 keb1	
一年四季	yed1 nin4 séi3 gwei3	
一诺值千金	yed1 nog6 jig6 qin1 gem1	
一诺千金	yed1 nog6 qin1 gem1	
一怒之下	yed1 nou6 ji1 ha6	
一拍即合	yed1 pag3 jig1 heb6	
一派胡言	yed1 pai3 wu4 yin4	
一炮而红	yed1 pao3 yi4 hung4	
一颦一笑	yed1 pen4 yed1 xiu3	
一贫如洗	yed1 pen4 yu4 sei2	
一篇文章	yed1 pin1 men4 zêng1	
一片漆黑	yed1 pin3 ced1 heg1	
一片丹心	yed1 pin3 dan1 sem1	
一片苦心	yed1 pin3 fu2 sem1	
一片痴心	yed1 pin3 qi1 sem1	
一片汪洋	yed1 pin3 wong1 yêng4	
一倍	yed1 pui5	
一次	yed1 qi3	
一次过	yed1 qi3 gwo3	一次性，就一次，一下儿，一次为止，下不为例
一池秋水	yed1 qi4 ceo1 sêu2	
一池春水	yed1 qi4 cên1 sêu2	
一清二白	yed1 qing1 yi6 bag6	
一清二楚	yed1 qing1 yi6 co2	
一清如水	yed1 qing1 yu4 sêu2	
一柱擎天	yed1 qu5 king4 tin1	
一寸光阴一寸金	yed1 qun3 gwong1 yem1 yed1 qun3 gem1	
一刹那	yed1 sad3 na5	
一山还比一山高	yed1 san1 wan4 béi2 yed1 san1 gou1	
一生人	yed1 sang1 yen4	一辈子
一失足成千古恨	yed1 sed1 zug1 xing4 qin1 gu2 hen6	
一实	yed1 sed6	一定，肯定
一洗尘俗	yed1 sei2 cen4 zug6	
一世	yed1 sei3	一辈子
一世人	yed1 sei3 yen4	一辈子
一世英名	yed1 sei3 ying1 ming4	
一心向上	yed1 sem1 hêng3 sêng6	
一心一意	yed1 sem1 yed1 yi3	
一心二用	yed1 sem1 yi6 yung6	
一身蚁	yed1 sen1 ngei5	一身麻烦，很多麻烦
一身松	yed1 sen1 sung1	解除了负担， 一身轻快
一身是胆	yed1 sen1 xi6 dam2	
一神教	yed1 sen4 gao3	
一神论	yed1 sen4 lên6	
一生受用不尽	yed1 seng1 seo6 yung6 bed1 zên6	
一生一世	yed1 seng1 yed1 sei3	
一手包办	yed1 seo2 bao1 ban6	
一手遮天	yed1 seo2 zé1 tin1	
一扫而光	yed1 sou3 yi4 gwong1	
一扫而空	yed1 sou3 yi4 hung1	
一些	yed1 sé1	
一泻千里	yed1 sé3 qin1 léi5	
一石两鸟	yed1 ség6 lêng5 niu5	
一石二鸟	yed1 ség6 yi6 niu5	
一死了之	yed1 séi2 liu5 ji1	
一死一伤	yed1 séi2 yed1 sêng1	
一厢情愿	yed1 sêng1 qing4 yun6	
一塌糊涂	yed1 tab3 wu4 tou4	
一头	yed1 teo4	一边，一边儿
一头雾水	yed1 teo4 mou6 sêu2	满头雾水，莫名其妙，摸不着头脑，困惑，糊涂
一头…一头…	yed1 teo4 yed1 teo4	一边儿…一边儿…
一条气	yed1 tiu4 héi3	气坏了
一条气	yed1 tiu4 héi3	气喘吁吁，透不过气来
一条气	yed1 tiu4 héi3	一股劲，一口气，一气，不停地
一吐为快	yed1 tou3 wei4 fai3	
一肚屎计	yed1 tou5 xi2 gei2	一肚子鬼主意
一统天下	yed1 tung2 tin1 ha6	
一团糟	yed1 tün4 zou1	
一窝蜂	yed1 wo1 fung1	
一镬泡	yed1 wog6 pou5	一塌糊涂，一团糟，乱了套，一团乱
一镬泡	yed1 wog6 pou5	一团糟糕
一镬熟	yed1 wog6 sug6	大锅熬，连锅端，全部遭殃
一往	yed1 wong5	
一往情深	yed1 wong5 qing4 sem1	
一狐之腋	yed1 wu4 ji1 yig6	
一回生两回熟	yed1 wui4 seng1 lêng5 wui4 sug6	
一回生二回熟	yed1 wui4 seng1 yi6 wui4 sug6	
一丝不苟	yed1 xi1 bed1 geo2	
一丝不挂	yed1 xi1 bed1 gwa3	
一丝一毫	yed1 xi1 yed1 hou4	
一时之间	yed1 xi4 ji1 gan1	
一时糊涂	yed1 xi4 wu4 tou4	
一事无成	yed1 xi6 mou4 xing4	
一视同仁	yed1 xi6 tung4 yen4	
一式	yed1 xig1	一样
一息尚存	yed1 xig1 sêng6 qun4	
一闪即逝	yed1 xim2 jig1 sei6	
一闪而过	yed1 xim2 yi4 gwo3	
一线希望	yed1 xin3 héi1 mong6	
一线之隔	yed1 xin3 ji1 gag3	
一声不吭	yed1 xing1 bed1 hong4	
一声不响	yed1 xing1 bed1 hêng2	
一成不变	yed1 xing4 bed1 bin3	
一树百获	yed1 xu6 bag3 wog6	
一一	yed1 yed1	
一日	yed1 yed6	一天
一日到黑	yed1 yed6 dou3 heg1	一天到晚
一日夫妻百日恩	yed1 yed6 fu1 cei1 bag3 yed6 yen1	
一日之计在于晨	yed1 yed6 ji1 gei3 zoi6 yu1 sen4	
一日千里	yed1 yed6 qin1 léi5	
一饮而尽	yed1 yem2 yi4 zên6	
一忍再忍	yed1 yen2 zoi3 yen2	
一丘之貉	yed1 yeo1 ji1 hog6	
一意孤行	yed1 yi3 gu1 heng4	
一而再	yed1 yi4 zoi3	
一以贯之	yed1 yi5 gun3 ji1	
一叶知秋	yed1 yib6 ji1 ceo1	
一叶扁舟	yed1 yib6 pin1 zeo1	
一言不发	yed1 yin4 bed1 fad3	
一言半语	yed1 yin4 bun3 yu5	
一言九鼎	yed1 yin4 geo2 ding2	
一言既出驷马难追	yed1 yin4 géi3 cêd1 xi3 ma5 nan4 zêu1	
一言兴邦	yed1 yin4 hing1 bong1	
一言难尽	yed1 yin4 nan4 zên6	
一言丧邦	yed1 yin4 song3 bong1	
一言为定	yed1 yin4 wei4 ding6	
一言一行	yed1 yin4 yed1 heng4	
一言以蔽	yed1 yin4 yi5 bei3	
一言中的	yed1 yin4 zung3 dig1	
一应俱全	yed1 ying1 kêu1 qun4	
一于	yed1 yu1	坚决，一定要，怎么也
一于噉话啦	yed1 yu1 gem2 wa6 la3	就这样办吧
一于系噉	yed1 yu1 hei6 gem2	就这么定
一于系噉啦	yed1 yu1 hei6 gem2 la3	就这样吧
一于唔	yed1 yu1 m4	坚决不
一于唔畀佢去	yed1 yu1 m4 béi2 kêu5 hêu3	坚决不让他去
一于唔制	yed1 yu1 m4 zei3	坚决不答应
一隅	yed1 yu4	
一如既往	yed1 yu4 géi3 wong5	
一如往昔	yed1 yu4 wong5 xig1	
一语道破	yed1 yu5 dou6 po3	
一语双关	yed1 yu5 sêng1 gwan1	
一语中的	yed1 yu5 zung3 dig1	
一月份	yed1 yud6 fen6	
一元化	yed1 yun4 fa3	
一元方程式	yed1 yun4 fong1 qing4 xig1	
一夜风流	yed1 yé6 fung1 leo4	
一夜致富	yed1 yé6 ji3 fu3	
一氧化物	yed1 yêng5 fa3 med6	
一氧化碳中毒	yed1 yêng5 fa3 tan3	
一氧化碳	yed1 yêng5 fa3 tan3	
一样	yed1 yêng6	
一掷千金	yed1 zag6 qin1 gem1	
一斋两杂	yed1 zai1 lêng5 zab6	两荤一素
一斋三杂	yed1 zai1 sam1 zab6	三荤一素
