開放粵語詞典（國際音標版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［國際音標］	［國語解釋］
真偽	tsɐn˥ ŋɐi˨	
真偽莫辨	tsɐn˥ ŋɐi˨ mɔ:k˨ pi:n˨	
真我	tsɐn˥ ŋɔ:˩˧	
珍愛	tsɐn˥ ɔ:i˧	
真愛	tsɐn˥ ɔ:i˧	
震	tsɐn˧	發抖，哆嗦，顫動
賑款	tsɐn˧ fu:n˧˥	
震撼	tsɐn˧ hɐm˨	
振興	tsɐn˧ hɪŋ˥	
振聾發聵	tsɐn˧ lʊŋ˨˩ fa:t˧ kʰu:i˧˥	
震懾	tsɐn˧ si:p˧	
震顫	tsɐn˧ tsi:n˧	
賑濟	tsɐn˧ tsɐi˧	
賑災	tsɐn˧ tsɔ:i˥	
鎮靜	tsɐn˧ tsɪŋ˨	
鎮定	tsɐn˧ tɪŋ˨	
軫宿	tsɐn˧˥ sɐu˧	
診所	tsɐn˧˥ sɔ:˧˥	
軫懷	tsɐn˧˥ wa:i˨˩	
陣雨	tsɐn˨ jy:˩˧	
陣間	tsɐn˨ ka:n˥	一會，一會兒，等一會兒
陣間先講	tsɐn˨ ka:n˥ si:n˥ kɔ:ŋ˧˥	一會再說吧
陣間會講	tsɐn˨ ka:n˥ wu:i˩˧ kɔ:ŋ˧˥	等一會兒會說
執	tsɐp˥	撿，拾，收拾
執	tsɐp˥	倒閉
執翻條命	tsɐp˥ fa:n˥ tʰi:u˨˩ mɛ:ŋ˨	僥幸逃生
執吓張床	tsɐp˥ ha:˩˧ tsœ:ŋ˥ tsʰɔ:ŋ˨˩	收拾一下床鋪
執起	tsɐp˥ hei˧˥	撿起
執起嚟	tsɐp˥ hei˧˥ lei˨˩	撿起來
執行李	tsɐp˥ hɐŋ˨˩ lei˩˧	收拾行李
執二攤	tsɐp˥ ji:˨ tʰa:n˥	買舊貨，撿人家的剩貨，用別人用過的東西，撿人家破爛
執藥	tsɐp˥ jœ:k˨	抓藥，配藥，取藥，買藥
執人口水溦	tsɐp˥ jɐn˨˩ hɐu˧˥ sɵy˧˥ mei˥	學舌，拾人牙慧
執贏	tsɐp˥ jɛ:ŋ˨˩	佔上風，佔便宜
汁液	tsɐp˥ jɪk˨	
執笠	tsɐp˥ lɐp˥	倒閉，停業，破產，停止營業
執漏	tsɐp˥ lɐu˨	補漏，檢漏，修理瓦漏
執迷不悟	tsɐp˥ mɐi˨˩ pɐt˥ ŋ˨	
執包袱	tsɐp˥ pa:u˥ fʊk˨	打包袱，離開
執平嘢	tsɐp˥ pʰɛ:ŋ˨˩ jɛ:˩˧	買便宜貨
執山草藥	tsɐp˥ sa:n˥ tsʰou˧˥ jœ:k˨	抓草藥
執生	tsɐp˥ sa:ŋ˥	看著辦，隨機應變；補救，彌補缺陷
執死雞	tsɐp˥ sei˧˥ kɐi˥	揀到便宜
執死雞仔	tsɐp˥ sei˧˥ kɐi˥ tsɐi˧˥	揀到便宜
執屍	tsɐp˥ si:˥	收屍，收拾死屍
執私	tsɐp˥ si:˥	緝私，沒收私貨
執輸	tsɐp˥ sy:˥	佔下風，吃虧
執輸過人	tsɐp˥ sy:˥ kwɔ:˧ jɐn˨˩	比人差，比人差一等
執拾	tsɐp˥ sɐp˨	收拾
執拾好行李	tsɐp˥ sɐp˨ hou˧˥ hɐŋ˨˩ lei˩˧	收拾好行李
執拾乾淨	tsɐp˥ sɐp˨ kɔ:n˥ tsɛ:ŋ˨	收拾乾淨
執手尾	tsɐp˥ sɐu˧˥ mei˩˧	善後，收拾殘局
執碟	tsɐp˥ ti:p˨	收拾碗筷，收拾碗碟
汁都撈埋	tsɐp˥ tou˥ lou˥ ma:i˨˩	有什麼好處就自己全吞了，據為已有
執到	tsɐp˥ tou˧˥	撿到
執照	tsɐp˥ tsi:u˧	
執字粒	tsɐp˥ tsi:˨ lɐp˥	排字
執仔	tsɐp˥ tsɐi˧˥	接生
執仔婆	tsɐp˥ tsɐi˧˥ pʰɔ:˧˥	接生婆，助產士
執滯	tsɐp˥ tsɐi˨	死板，不靈活
執政黨	tsɐp˥ tsɪŋ˧ tɔ:ŋ˧˥	
執茶	tsɐp˥ tsʰa:˨˩	抓藥，配藥，取藥，買藥
執齊	tsɐp˥ tsʰɐi˨˩	收拾好，收集好
執齊行李	tsɐp˥ tsʰɐi˨˩ hɐŋ˨˩ lei˩˧	收拾好行李
執齊啲嘢	tsɐp˥ tsʰɐi˨˩ ti:˥ jɛ:˩˧	把東西收拾好
執籌	tsɐp˥ tsʰɐu˧˥	抓鬮，抽籖
執床	tsɐp˥ tsʰɔ:ŋ˨˩	收拾床鋪
執定	tsɐp˥ tɪŋ˨	收拾好
執枱	tsɐp˥ tʰɔ:i˧˥	收拾桌子
執屋	tsɐp˥ ŋʊk˥	打掃房子
枳	tsɐt˥	塞，塞進；塞子
枳	tsɐt˥	隨便放
質疑	tsɐt˥ ji:˨˩	
枳入	tsɐt˥ jɐp˨	塞進
質料	tsɐt˥ li:u˨	
質量	tsɐt˥ lœ:ŋ˨	
質量不滅定律	tsɐt˥ lœ:ŋ˨ pɐt˥ mi:t˨ tɪŋ˨ lɵt˨	
質問	tsɐt˥ mɐn˨	
質地	tsɐt˥ tei˧˥	質料
窒	tsɐt˨	害怕，恐慌
姪	tsɐt˨	姪子，姪兒
疾呼	tsɐt˨ fu:˥	
蟄伏	tsɐt˨ fʊk˨	
疾風	tsɐt˨ fʊŋ˥	
疾風迅雷	tsɐt˨ fʊŋ˥ sɵn˧ lɵy˨˩	
疾風知勁草	tsɐt˨ fʊŋ˥ tsi:˥ kɪŋ˨ tsʰou˧˥	
窒口窒舌	tsɐt˨ hɐu˧˥ tsɐt˨ si:t˨	結結巴巴，語無倫次
疾言厲色	tsɐt˨ ji:n˨˩ lɐi˨ sɪk˥	
窒人	tsɐt˨ jɐn˨˩	損人
窒腳	tsɐt˨ kœ:k˧	走路時突然停一下
蟄居	tsɐt˨ kɵy˥	
桎梏	tsɐt˨ kʊk˥	
疾雷	tsɐt˨ lɵy˨˩	
疾病	tsɐt˨ pɛ:ŋ˨	
疾書	tsɐt˨ sy:˥	
姪心抱	tsɐt˨ sɐm˥ pʰou˩˧	姪媳婦
窒手	tsɐt˨ sɐu˧˥	縮手，突然停手
窒息	tsɐt˨ sɪk˥	
嫉妒	tsɐt˨ tou˧	
窒住	tsɐt˨ tsy:˨	停住，突然停止
姪仔	tsɐt˨ tsɐi˧˥	姪子，姪兒
疾走	tsɐt˨ tsɐu˧˥	
疾馳	tsɐt˨ tsʰi:˨˩	
蟄蟲	tsɐt˨ tsʰʊŋ˨˩	
嫉惡如仇	tsɐt˨ ɔ:k˧ jy:˨˩ sɐu˨˩	
週刊	tsɐu˥ hɔ:n˧˥	
週二	tsɐu˥ ji:˨	
週而復始	tsɐu˥ ji:˨˩ fʊk˨ tsʰi:˩˧	
週一	tsɐu˥ jɐt˥	
週日	tsɐu˥ jɐt˨	
週休	tsɐu˥ jɐu˥	
週遊	tsɐu˥ jɐu˨˩	
週遊世界	tsɐu˥ jɐu˨˩ sɐi˧ ka:i˧	
周街	tsɐu˥ ka:i˥	滿街
周街係人	tsɐu˥ ka:i˥ hɐi˨ jɐn˨˩	滿街都是人
周街走	tsɐu˥ ka:i˥ tsɐu˧˥	滿街跑
週期	tsɐu˥ kʰei˨˩	
週期律	tsɐu˥ kʰei˨˩ lɵt˨	
週期表	tsɐu˥ kʰei˨˩ pi:u˧˥	
周期表	tsɐu˥ kʰei˨˩ pi:u˧˥	
週期性	tsɐu˥ kʰei˨˩ sɪŋ˧	
週率	tsɐu˥ lɵt˨	
週六	tsɐu˥ lʊk˨	
週末	tsɐu˥ mu:t˨	
週年	tsɐu˥ ni:n˨˩	
周年慶	tsɐu˥ ni:n˨˩ hɪŋ˧	
週年紀念	tsɐu˥ ni:n˨˩ kei˧˥ ni:m˨	
週邊	tsɐu˥ pi:n˥	
週邊設備	tsɐu˥ pi:n˥ tsʰi:t˧ pei˨	
週報	tsɐu˥ pou˧	
週三	tsɐu˥ sa:m˥	
週四	tsɐu˥ sei˧	
周時	tsɐu˥ si:˨˩	常，時常，經常，常常，隨時
周時無日	tsɐu˥ si:˨˩ mou˨˩ jɐt˨	經常，時常，沒有一天不
周處	tsɐu˥ sy:˧	到處
週身	tsɐu˥ sɐn˥	
周身	tsɐu˥ sɐn˥	全身，渾身
週薪	tsɐu˥ sɐn˥	
週身冇力	tsɐu˥ sɐn˥ mou˩˧ lɪk˨	渾身軟綿綿的，一點力氣也沒有
週身酸痛	tsɐu˥ sɐn˥ sy:n˥ tʰʊŋ˧	渾身酸疼
周身刀冇張利	tsɐu˥ sɐn˥ tou˥ mou˩˧ tsœ:ŋ˥ lei˨	什麼都會一點但沒有專長
周身蟻	tsɐu˥ sɐn˥ ŋɐi˩˧	惹了很多麻煩
週歲	tsɐu˥ sɵy˧	
週到	tsɐu˥ tou˧	
舟楫	tsɐu˥ tsi:p˧	
週遭	tsɐu˥ tsou˥	
週轉	tsɐu˥ tsy:n˧˥	
洲際	tsɐu˥ tsɐi˧	
洲際飛彈	tsɐu˥ tsɐi˧ fei˥ ta:n˨	
周朝	tsɐu˥ tsʰi:u˨˩	
週長	tsɐu˥ tsʰœ:ŋ˨˩	
週詳	tsɐu˥ tsʰœ:ŋ˨˩	
揪出	tsɐu˥ tsʰɵt˥	
周圍	tsɐu˥ wɐi˨˩	到處，四處，四周
週圍	tsɐu˥ wɐi˨˩	
週五	tsɐu˥ ŋ˩˧	
奏效	tsɐu˧ ha:u˨	
咒語	tsɐu˧ jy:˩˧	
晝夜	tsɐu˧ jɛ:˨	
皺眉	tsɐu˧ mei˨˩	
奏捷	tsɐu˧ tsi:t˨	
奏樂	tsɐu˧ ŋɔ:k˨	
走	tsɐu˧˥	跑
走	tsɐu˧˥	不加
走法律罅	tsɐu˧˥ fa:t˧ lɵt˨ la:˧	鑽法律空子
走粉	tsɐu˧˥ fɐn˧˥	走私白粉，走私海洛因
走埠	tsɐu˧˥ fɐu˨	走江湖
走火入魔	tsɐu˧˥ fɔ:˧˥ jɐp˨ mɔ:˥	
酒逢知己千杯少	tsɐu˧˥ fʊŋ˨˩ tsi:˥ kei˧˥ tsʰi:n˥ pu:i˥ si:u˧˥	
酒氣	tsɐu˧˥ hei˧	
酒氣熏人	tsɐu˧˥ hei˧ fɐn˥ jɐn˨˩	
走好運	tsɐu˧˥ hou˧˥ wɐn˨	
酒酣耳熱	tsɐu˧˥ hɐm˨˩ ji:˩˧ ji:t˨	
酒後	tsɐu˧˥ hɐu˨	
走後門	tsɐu˧˥ hɐu˨ mu:n˨˩	
酒後失言	tsɐu˧˥ hɐu˨ sɐt˥ ji:n˨˩	
酒後失態	tsɐu˧˥ hɐu˨ sɐt˥ tʰa:i˧	
酒後吐真言	tsɐu˧˥ hɐu˨ tʰou˧ tsɐn˥ ji:n˨˩	
走開	tsɐu˧˥ hɔ:i˥	
酒興	tsɐu˧˥ hɪŋ˧	
走去	tsɐu˧˥ hɵy˧	跑去
走樣	tsɐu˧˥ jœ:ŋ˨	
走人	tsɐu˧˥ jɐn˨˩	走，溜
走入去	tsɐu˧˥ jɐp˨ hɵy˧	跑進去
走入嚟	tsɐu˧˥ jɐp˨ lei˨˩	跑進來
走肉	tsɐu˧˥ jʊk˨	不加肉，素的
酒肉朋友	tsɐu˧˥ jʊk˨ pʰɐŋ˨˩ jɐu˩˧	
酒館	tsɐu˧˥ ku:n˧˥	
酒鬼	tsɐu˧˥ kwɐi˧˥	
走過嚟	tsɐu˧˥ kwɔ:˧ lei˨˩	跑過來
酒過三巡	tsɐu˧˥ kwɔ:˧ sa:m˧ tsʰɵn˨˩	
走雞	tsɐu˧˥ kɐi˥	吃虧，錯過機會
走禽	tsɐu˧˥ kʰɐm˨˩	
酒簾	tsɐu˧˥ li:m˨˩	
走路	tsɐu˧˥ lou˧˥	逃亡，逃跑
酒量	tsɐu˧˥ lœ:ŋ˨	
走甩	tsɐu˧˥ lɐt˥	逃脫
走甩咗	tsɐu˧˥ lɐt˥ tsɔ:˧˥	逃脫了，跑掉了
走漏	tsɐu˧˥ lɐu˨	
走漏風聲	tsɐu˧˥ lɐu˨ fʊŋ˥ sɪŋ˥	
走漏消息	tsɐu˧˥ lɐu˨ si:u˥ sɪk˥	
酒樓	tsɐu˧˥ lɐu˨˩	
走廊	tsɐu˧˥ lɔ:ŋ˨˩	
酒令	tsɐu˧˥ lɪŋ˨	
走埋嚟	tsɐu˧˥ ma:i˨˩ lei˨˩	撞過來
走馬看花	tsɐu˧˥ ma:˩˧ hɔ:n˧ fa:˥	
走馬燈	tsɐu˧˥ ma:˩˧ tɐŋ˥	
走唔起	tsɐu˧˥ m̩˨˩ hei˧˥	跑不動，跑不快
走唔甩	tsɐu˧˥ m̩˨˩ lɐt˥	逃不掉，跑不掉
走唔切	tsɐu˧˥ m̩˨˩ tsʰi:t˧	跑不掉，走不掉
走難	tsɐu˧˥ na:n˨	逃難
酒凹	tsɐu˧˥ nɐp˥	酒窩，笑靨
酒吧	tsɐu˧˥ pa:˥	
酒保	tsɐu˧˥ pou˧˥	
走寶	tsɐu˧˥ pou˧˥	吃虧
酒杯	tsɐu˧˥ pu:i˥	
走筆疾書	tsɐu˧˥ pɐt˥ tsɐt˨ sy:˥	
酒牌	tsɐu˧˥ pʰa:i˨˩	經營酒類生意的執照
走散	tsɐu˧˥ sa:n˧˥	
走先	tsɐu˧˥ si:n˥	告辭，先走
走私	tsɐu˧˥ si:˥	
酒神	tsɐu˧˥ sɐn˨˩	
走獸	tsɐu˧˥ sɐu˧	
酒色	tsɐu˧˥ sɪk˥	
酒色之徒	tsɐu˧˥ sɪk˥ tsi:˥ tʰou˨˩	
酒色財氣	tsɐu˧˥ sɪk˥ tsʰɔ:i˨˩ hei˧	
走蛋	tsɐu˧˥ ta:n˧˥	不加雞蛋，不加蛋
酒店	tsɐu˧˥ ti:m˧	
走電	tsɐu˧˥ ti:n˨	跑電，漏電
走都走唔切	tsɐu˧˥ tou˥ tsɐu˧˥ m̩˨˩ tsʰi:t˧	逃跑也來不及了
走趲	tsɐu˧˥ tsa:n˧˥	迴旋，周轉，鬆動
走資派	tsɐu˧˥ tsi:˥ pʰa:i˧	
酒精	tsɐu˧˥ tsɪŋ˥	
酒精中毒	tsɐu˧˥ tsɪŋ˥ tsʊŋ˧ tʊk˨	
酒醉	tsɐu˧˥ tsɵy˧	
酒足飯飽	tsɐu˧˥ tsʊk˥ fa:n˨ pa:u˧˥	
酒盅	tsɐu˧˥ tsʊŋ˥	
酒錢	tsɐu˧˥ tsʰi:n˨˩	
酒池肉林	tsɐu˧˥ tsʰi:˨˩ jʊk˨ lɐm˨˩	
酒菜	tsɐu˧˥ tsʰɔ:i˧	
酒埕	tsɐu˧˥ tsʰɪŋ˨˩	酒罈
走出去	tsɐu˧˥ tsʰɵt˥ hɵy˧	跑出去
走出嚟	tsɐu˧˥ tsʰɵt˥ lei˨˩	跑出來
走得	tsɐu˧˥ tɐk˥	可以走
走得幾快吖	tsɐu˧˥ tɐk˥ kei˧˥ fa:i˧ a:˧	能跑多快呀？
走趯	tsɐu˧˥ tɛ:k˧	走動，跑腿，奔波
走投無路	tsɐu˧˥ tʰɐu˨˩ mou˨˩ lou˨	
走糖	tsɐu˧˥ tʰɔ:ŋ˨˩	不加糖
走堂	tsɐu˧˥ tʰɔ:ŋ˨˩	翹課，曠課，逃學，缺課
酒暈	tsɐu˧˥ wɐn˨	
酒窩	tsɐu˧˥ wɔ:˥	
就	tsɐu˨	遷就
就	tsɐu˨	將要
就吓佢	tsɐu˨ ha:˩˧ kʰɵy˩˧	遷就他一下
就係	tsɐu˨ hɐi˨	就是
就係講	tsɐu˨ hɐi˨ kɔ:ŋ˧˥	就是說
袖口	tsɐu˨ hɐu˧˥	
驟然	tsɐu˨ ji:n˨˩	
就業	tsɐu˨ ji:p˨	
驟雨	tsɐu˨ jy:˩˧	
就假嘅	tsɐu˨ ka:˧˥ kɛ:˧	才怪呢
就腳	tsɐu˨ kœ:k˧	方便
就噉啦	tsɐu˨ kɐm˧˥ la:˥	就這樣吧
就嚟	tsɐu˨ lei˨˩	快，快要，就快
就算	tsɐu˨ sy:n˧	即使，就算
就手	tsɐu˨ sɐu˧˥	順利
就寢	tsɐu˨ tsʰɐm˧˥	
憎	tsɐŋ˥	恨
增壓	tsɐŋ˥ a:t˧	
僧服	tsɐŋ˥ fʊk˥	
憎恨	tsɐŋ˥ hɐn˨	
僧院	tsɐŋ˥ jy:n˨	
增音機	tsɐŋ˥ jɐm˥ kei˥	
僧人	tsɐŋ˥ jɐn˨˩	
增減	tsɐŋ˥ ka:m˧˥	
增加	tsɐŋ˥ ka:˥	
增高	tsɐŋ˥ kou˥	
增光	tsɐŋ˥ kwɔ:ŋ˥	
增廣	tsɐŋ˥ kwɔ:ŋ˧˥	
增廣見聞	tsɐŋ˥ kwɔ:ŋ˧˥ ki:n˧ mɐn˨˩	
增強	tsɐŋ˥ kʰœ:ŋ˨˩	
增量	tsɐŋ˥ lœ:ŋ˨	
僧侶	tsɐŋ˥ lɵy˩˧	
僧尼	tsɐŋ˥ nei˨˩	
猙獰	tsɐŋ˥ nɪŋ˨˩	
爭辯	tsɐŋ˥ pi:n˨	
增補	tsɐŋ˥ pou˧˥	
增兵	tsɐŋ˥ pɪŋ˥	
僧袍	tsɐŋ˥ pʰou˨˩	
增刪	tsɐŋ˥ sa:n˥	
憎死	tsɐŋ˥ sei˧˥	恨透
增大	tsɐŋ˥ ta:i˨	
掙扎	tsɐŋ˥ tsa:t˧	
增至	tsɐŋ˥ tsi:˧	
僧寺	tsɐŋ˥ tsi:˨	
增長	tsɐŋ˥ tsœ:ŋ˧˥	
增長率	tsɐŋ˥ tsœ:ŋ˧˥ lɵt˨	
增長速度	tsɐŋ˥ tsœ:ŋ˧˥ tsʰʊk˥ tou˨	
爭執	tsɐŋ˥ tsɐp˥	
增值	tsɐŋ˥ tsɪk˨	
增值稅	tsɐŋ˥ tsɪk˨ sɵy˧	
增產	tsɐŋ˥ tsʰa:n˧˥	
增設	tsɐŋ˥ tsʰi:t˧	
爭奪	tsɐŋ˥ ty:t˨	
增多	tsɐŋ˥ tɔ:˥	
僧多粥少	tsɐŋ˥ tɔ:˥ tsʊk˥ si:u˧˥	
增訂	tsɐŋ˥ tɪŋ˧	
增訂本	tsɐŋ˥ tɪŋ˧ pu:n˧˥	
增添	tsɐŋ˥ tʰi:m˥	
僧徒	tsɐŋ˥ tʰou˨˩	
僧堂	tsɐŋ˥ tʰɔ:ŋ˨˩	
增援	tsɐŋ˥ wu:n˨˩	
崢嶸	tsɐŋ˥ wɪŋ˨˩	
睜眼	tsɐŋ˥ ŋa:n˩˧	
憎惡	tsɐŋ˥ ɔ:k˧	
贈券	tsɐŋ˨ hy:n˧	
贈慶	tsɐŋ˨ hɪŋ˧	湊熱鬧，道賀
贈品	tsɐŋ˨ pɐn˧˥	
災害	tsɔ:i˥ hɔ:i˨	
災殃	tsɔ:i˥ jœ:ŋ˥	
災區	tsɔ:i˥ kʰɵy˥	
災民	tsɔ:i˥ mɐn˨˩	
災難	tsɔ:i˥ na:n˨	
災變	tsɔ:i˥ pi:n˧	
栽培	tsɔ:i˥ pʰu:i˨˩	
災星	tsɔ:i˥ sɪŋ˥	
栽贓	tsɔ:i˥ tsɔ:ŋ˥	
災情	tsɔ:i˥ tsʰɪŋ˨˩	
災情慘重	tsɔ:i˥ tsʰɪŋ˨˩ tsʰa:m˧˥ tsʊŋ˨	
災禍	tsɔ:i˥ wɔ:˨	
再婚	tsɔ:i˧ fɐn˥	
載貨	tsɔ:i˧ fɔ:˧	
載客	tsɔ:i˧ ha:k˧	
再起	tsɔ:i˧ hei˧˥	重建
再現	tsɔ:i˧ ji:n˨	
再議	tsɔ:i˧ ji:˩˧	
載人	tsɔ:i˧ jɐn˨˩	
載人宇宙飛船	tsɔ:i˧ jɐn˨˩ jy:˩˧ tsɐu˨ fei˥ sy:n˨˩	
載入史冊	tsɔ:i˧ jɐp˨ si:˧˥ tsʰa:k˧	
再一次	tsɔ:i˧ jɐt˥ tsʰi:˧	
再加上	tsɔ:i˧ ka:˥ sœ:ŋ˨	
再嫁	tsɔ:i˧ ka:˧	
再見	tsɔ:i˧ ki:n˧	
再講	tsɔ:i˧ kɔ:ŋ˧˥	再說
載歌載舞	tsɔ:i˧ kɔ:˥ tsɔ:i˧ mou˩˧	
再嚟	tsɔ:i˧ lei˨˩	再來
再嚟過	tsɔ:i˧ lei˨˩ kwɔ:˧	再來一次
再版	tsɔ:i˧ pa:n˧˥	
再三	tsɔ:i˧ sa:m˧	
再審	tsɔ:i˧ sɐm˧˥	
再生	tsɔ:i˧ sɐŋ˥	
再度	tsɔ:i˧ tou˨	
再接再厲	tsɔ:i˧ tsi:p˧ tsɔ:i˧ lɐi˨	
再次	tsɔ:i˧ tsʰi:˧	
再娶	tsɔ:i˧ tsʰɵy˧˥	
再讀	tsɔ:i˧ tʊk˨	
再會	tsɔ:i˧ wu:i˨	
宰相	tsɔ:i˧˥ sœ:ŋ˧	
在乎	tsɔ:i˨ fu:˨˩	
在意	tsɔ:i˨ ji:˧	
在生	tsɔ:i˨ sa:ŋ˥	活著，在世
作	tsɔ:k˧	編，編出來
作法	tsɔ:k˧ fa:t˧	
作法自斃	tsɔ:k˧ fa:t˧ tsi:˨ pɐi˨	
作廢	tsɔ:k˧ fɐi˧	
作風	tsɔ:k˧ fʊŋ˥	
作客	tsɔ:k˧ ha:k˧	
作戲	tsɔ:k˧ hei˧	
作響	tsɔ:k˧ hœ:ŋ˧˥	
作業	tsɔ:k˧ ji:p˨	
作孽	tsɔ:k˧ ji:t˨	
作人	tsɔ:k˧ jɐn˨˩	
作揖	tsɔ:k˧ jɐp˥	
昨日	tsɔ:k˧ jɐt˨	
作用	tsɔ:k˧ jʊŋ˨	
作奸犯科	tsɔ:k˧ ka:n˥ fa:n˨ fɔ:˥	
作繭自縛	tsɔ:k˧ ka:n˧˥ tsi:˨ pɔ:k˧	
作家	tsɔ:k˧ ka:˥	
作記號	tsɔ:k˧ kei˧ hou˨	
作官	tsɔ:k˧ ku:n˥	
作個故仔	tsɔ:k˧ kɔ:˧ ku:˧ tsɐi˧˥	編個故事
作曲	tsɔ:k˧ kʰʊk˥	
作曲家	tsɔ:k˧ kʰʊk˥ ka:˥	
作禮拜	tsɔ:k˧ lɐi˩˧ pa:i˧	
作弄	tsɔ:k˧ lʊŋ˨	
作文	tsɔ:k˧ mɐn˨˩	
作夢	tsɔ:k˧ mʊŋ˨	
作罷	tsɔ:k˧ pa:˨	
作伴	tsɔ:k˧ pu:n˨	
作弊	tsɔ:k˧ pɐi˨	
作品	tsɔ:k˧ pɐn˧˥	
作筆記	tsɔ:k˧ pɐt˥ kei˧	
作詩	tsɔ:k˧ si:˥	
作殊死戰	tsɔ:k˧ sy:˨˩ sei˧˥ tsi:n˧	
作手腳	tsɔ:k˧ sɐu˧˥ kœ:k˧	
作成	tsɔ:k˧ sɪŋ˨˩	
作祟	tsɔ:k˧ sɵy˨	
作大	tsɔ:k˧ ta:i˨	誇張，誇大
作答	tsɔ:k˧ ta:p˧	
作戰	tsɔ:k˧ tsi:n˧	
作賤	tsɔ:k˧ tsi:n˨	
作賤自己	tsɔ:k˧ tsi:n˨ tsi:˨ kei˧˥	
作主	tsɔ:k˧ tsy:˧˥	
作狀	tsɔ:k˧ tsɔ:ŋ˨	裝模作樣，裝腔作勢
作者	tsɔ:k˧ tsɛ:˧˥	
作證	tsɔ:k˧ tsɪŋ˧	
作詞	tsɔ:k˧ tsʰi:˨˩	
作詞家	tsɔ:k˧ tsʰi:˨˩ ka:˥	
作出	tsɔ:k˧ tsʰɵt˥	編出
作出	tsɔ:k˧ tsʰɵt˥	
作對	tsɔ:k˧ tɵy˧	
作圖	tsɔ:k˧ tʰou˨˩	
作痛	tsɔ:k˧ tʰʊŋ˧	
作威作福	tsɔ:k˧ wɐi˥ tsɔ:k˧ fʊk˥	
作嘔	tsɔ:k˧ ɐu˧˥	
作嘔	tsɔ:k˧ ɐu˧˥	要嘔吐，噁心
作惡	tsɔ:k˧ ɔ:k˧	
作惡多端	tsɔ:k˧ ɔ:k˧ tɔ:˥ ty:n˥	
作陪	tsɔ:k˨ pʰu:i˨˩	
裝	tsɔ:ŋ˥	盛，裝
裝飯	tsɔ:ŋ˥ fa:n˨	盛飯
贓款	tsɔ:ŋ˥ fu:n˧˥	
裝貨	tsɔ:ŋ˥ fɔ:˧	
裝瘋賣傻	tsɔ:ŋ˥ fʊŋ˥ ma:i˨ sɔ:˨˩	
髒稀稀	tsɔ:ŋ˥ hei˥ hei˥	
裝香	tsɔ:ŋ˥ hœ:ŋ˥	上香，獻香，插香
裝腔作勢	tsɔ:ŋ˥ hɔ:ŋ˥ tsɔ:k˧ sɐi˧	
裝甲	tsɔ:ŋ˥ ka:p˧	
裝甲部隊	tsɔ:ŋ˥ ka:p˧ pou˨ tɵy˨	
裝甲兵	tsɔ:ŋ˥ ka:p˧ pɪŋ˥	
裝甲車	tsɔ:ŋ˥ ka:p˧ tsʰɛ:˥	
莊稼	tsɔ:ŋ˥ ka:˧	
裝殮	tsɔ:ŋ˥ li:m˩˧	
髒亂	tsɔ:ŋ˥ ly:n˨	
裝聾作啞	tsɔ:ŋ˥ lʊŋ˨˩ tsɔ:k˧ a:˧˥	
裝模作樣	tsɔ:ŋ˥ mou˨˩ tsɔ:k˧ jœ:ŋ˨	
裝滿	tsɔ:ŋ˥ mu:n˩˧	
贓物	tsɔ:ŋ˥ mɐt˨	
裝唔落	tsɔ:ŋ˥ m̩˨˩ lɔ:k˨	盛不下
裝扮	tsɔ:ŋ˥ pa:n˨	
裝備	tsɔ:ŋ˥ pei˨	
裝備齊全	tsɔ:ŋ˥ pei˨ tsʰɐi˨˩ tsʰy:n˨˩	
裝配	tsɔ:ŋ˥ pʰu:i˧	
裝神弄鬼	tsɔ:ŋ˥ sɐn˨˩ lʊŋ˨ kwɐi˧˥	
裝修	tsɔ:ŋ˥ sɐu˥	
裝修佬	tsɔ:ŋ˥ sɐu˥ lou˧˥	裝修師傅
裝傻	tsɔ:ŋ˥ sɔ:˨˩	
裝卸	tsɔ:ŋ˥ sɛ:˧	
裝飾	tsɔ:ŋ˥ sɪk˥	
裝飾品	tsɔ:ŋ˥ sɪk˥ pɐn˧˥	
髒水	tsɔ:ŋ˥ sɵy˧˥	
裝置	tsɔ:ŋ˥ tsi:˧	
髒字	tsɔ:ŋ˥ tsi:˨	
裝住嘢	tsɔ:ŋ˥ tsy:˨ jɛ:˩˧	裝著東西
裝載	tsɔ:ŋ˥ tsɔ:i˧	
裝載量	tsɔ:ŋ˥ tsɔ:i˧ lœ:ŋ˨	
裝作	tsɔ:ŋ˥ tsɔ:k˧	
髒錢	tsɔ:ŋ˥ tsʰi:n˨˩	
裝設	tsɔ:ŋ˥ tsʰi:t˧	
贓車	tsɔ:ŋ˥ tsʰɛ:˥	
裝訂	tsɔ:ŋ˥ tɪŋ˧	
髒話	tsɔ:ŋ˥ wa:˧˥	
裝運	tsɔ:ŋ˥ wɐn˨	
裝潢	tsɔ:ŋ˥ wɔ:ŋ˨˩	
壯漢	tsɔ:ŋ˧ hɔ:n˧	
壯陽	tsɔ:ŋ˧ jœ:ŋ˨˩	
壯陽藥	tsɔ:ŋ˧ jœ:ŋ˨˩ jœ:k˨	
壯健	tsɔ:ŋ˧ ki:n˨	
壯觀	tsɔ:ŋ˧ ku:n˥	
