开放粤语词典（耶鲁拼音调符调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［耶鲁拼音］	［国语解释］
农村	nùhng chyūn	
农地	nùhng deih	
农闲	nùhng hàahn	
农垦	nùhng hán	
农作物	nùhng jok maht	
农民	nùhng màhn	
浓密	nùhng maht	
农舍	nùhng se	
浓缩	nùhng sūk	
农田	nùhng tìhn	
农人	nùhng yàhn	
农药	nùhng yeuhk	
农业	nùhng yihp	
农业社会	nùhng yihp séh wuih	
浓郁	nùhng yūk	
农园	nùhng yún	
暖	nyúhn	温暖
暖笠笠	nyúhn nāp nāp	暖暖和和
暖暖哋	nyúhn nyún déi	暖暖的
暖水壶	nyúhn séui wú	热水瓶
嫩	nyuhn	年轻
柯打	ō dá	命令，订货单，定单
OK	ō kēi	行，好的
柯佬	ō lóu	口试
婀娜多姿	ō nàh dō jī	
哀兵必胜	ōi bīng bīt sing	
哀戚	ōi chīk	
哀悼	ōi douh	
哀恸	ōi duhng	
哀矜	ōi gīng	
哀矜勿喜	ōi gīng maht héi	
哀叫	ōi giu	
哀歌	ōi gō	
哀恳	ōi hán	
哀号	ōi hòuh	
哀鸿遍野	ōi hùhng pin yéh	
哀哉	ōi jōi	
哀求	ōi kàuh	
哀怜	ōi lìhn	
哀鸣	ōi mìhng	
哀莫大于心死	ōi mohk daaih yū sām séi	
哀愁	ōi sàuh	
哀伤	ōi seūng	
哀思	ōi sī	
哀惜	ōi sīk	
哀诉	ōi sou	
哀叹	ōi taan	
哀痛	ōi tung	
哀荣	ōi wìhng	
哀怨	ōi yun	
叆叇	ói doih	
暧昧	ói muih	
蔼然可亲	ói yìhn hó chān	
爱不释手	oi bāt sīk sáu	
爱妻	oi chāi	
爱情	oi chìhng	
爱情观	oi chìhng gūn	
爱妾	oi chip	
爱戴	oi daai	
爱抚	oi fú	
爱家	oi gā	
爱管闲事	oi gún hàahn sih	
爱国	oi gwok	
爱国者	oi gwok jé	
爱国主义	oi gwok jyú yih	
爱国心	oi gwok sām	
爱国人士	oi gwok yàhn sih	
爱恨	oi hahn	
爱好	oi hou	
爱好者	oi hou jé	
爱犬	oi hyún	
爱滋病	oi jī behng	
爱滋病人	oi jī behng yàhn	
爱子	oi jí	
爱理不理	oi léih bāt léih	
爱靓唔爱命	oi leng m̀h oi mehng	贪图漂亮的形象而损害健康
爱怜	oi lìhn	
爱恋	oi lyún	
爱莫能助	oi mohk nàhng joh	
爱慕	oi mouh	
爱女	oi néuih	
爱心	oi sām	
爱神	oi sàhn	
爱上	oi seuhng	
爱惜	oi sīk	
爱屋及乌	oi ūk kahp wū	
爱玩	oi wáan	
爱护	oi wuh	
爱人	oi yàhn	
爱意	oi yi	
恶霸	ok ba	
恶报	ok bou	
恶臭	ok chau	
恶斗	ok dau	
恶毒	ok duhk	
恶化	ok fa	
恶妇	ok fúh	
恶搞	ok gáau	
恶感	ok gám	
恶贯满盈	ok gun múhn yìhng	
恶鬼	ok gwái	
恶棍	ok gwan	
恶果	ok gwó	
恶狠狠	ok hán hán	
恶犬	ok hyún	
恶习	ok jaahp	
恶战	ok jin	
恶作剧	ok jok kehk	
恶俗	ok juhk	
恶劣	ok lyut	
恶骂	ok mah	
恶名	ok mìhng	
恶名昭彰	ok mìhng chiū jeūng	
恶魔	ok mō	
恶梦	ok muhng	
恶念	ok nihm	
恶势力	ok sai lihk	
恶心	ok sām	
恶神	ok sàhn	
恶性	ok sing	
恶性循环	ok sing cheùhn wàahn	
恶少	ok siu	
恶兆	ok siuh	
恶徒	ok tòuh	
恶人	ok yàhn	
恶有恶报	ok yáuh ok bou	
恶意	ok yi	
恶言	ok yìhn	
安全	ōn chyùhn	
安全措施	ōn chyùhn chou sī	
安全带	ōn chyùhn dáai	
安全感	ōn chyùhn gám	
安全帽	ōn chyùhn mouh	
安全性	ōn chyùhn sing	
安定	ōn dihng	
安闲	ōn hàahn	
安置	ōn ji	
安静	ōn jihng	
安乐死	ōn lohk séi	
安宁	ōn nìhng	
安排	ōn pàaih	
安息	ōn sīk	
桉树	ōn syuh	
安慰	ōn wai	
安营扎寨	ōn yìhng jaat jaaih	
按压	on aat	
按兵	on bīng	
按兵不动	on bīng bāt duhng	
按部就班	on bouh jauh bāan	
案情	on chìhng	
案发	on faat	
按键	on gihn	
案件	on gihn	
按序	on jeuih	
按照	on jiu	
按住	on jyuh	
按期	on kèih	
按期收费	on kèih sāu fai	
按揭	on kit	抵押，房贷，抵押贷款，贷款买房
按例	on laih	
案例	on laih	
按理	on léih	
按铃	on lìhng	
按劳分配	on lòuh fān pui	
按摩	on mō	
按摩疗法	on mō liùh faat	
按摩师	on mō sī	
按捺不住	on naaht bāt jyuh	
按钮	on náu	
按年	on nìhn	
按需分配	on sēui fān pui	
按时	on sìh	
按图	on tòuh	
按图索骥	on tòuh saak kei	
按日	on yaht	
按月	on yuht	
O记	ōu gei	有组织罪案及三合会调查科
O.T.	ōu tī	超时工作
趴下	pā hah	
趴时	pā sìh	合格
passport	pā sìh pōt	护照
怕你呀	pá néih a	算你狠
怕丑	pa cháu	害羞，害臊
怕丑草	pa cháu chóu	含羞草
怕冻	pa dung	怕冷
怕苦	pa fú	
怕擮	pa jīt	怕痒
扒	pàh	划，划船
扒钱	pàh chín	刮钱，贪污受贿
耙地	pàh deih	
爬行	pàh hàhng	
扒开	pàh hōi	
扒龙船	pàh lùhng syùhn	划龙船
爬山	pàh sāan	
扒手	pàh sáu	
扒窃	pàh sit	
爬树	pàh syuh	
扒堤	pàh tàih	
扒艇仔	pàh téhng jái	划船，划小艇
扒土	pàh tóu	
派	paai	发，散发，分发，派发，发给，分送，分配
派报纸	paai bou jí	送报纸，派发报纸
派筹	paai cháu	发号儿
派出所	paai cheūt só	
派飞	paai fēi	发票
派遣	paai hín	
派驻	paai jyu	
派利是	paai laih sih	发红包
派信	paai seun	投递信件
派帖	paai tip	分发请帖
派台歌	paai tòih gō	主打歌
派台歌曲	paai tòih gō kūk	主打歌
排	pàaih	一段时间
牌	pàaih	执照
牌匾	pàaih bín	
排除	pàaih chèuih	
排除万难	pàaih chèuih maahn nàahn	
排除异己	pàaih chèuih yih géi	
排长龙	pàaih cheùhng lùhng	排大队
排斥	pàaih chīk	
排队	pàaih deuih	
排队排孻屘	pàaih deuih pàaih lāai mēi	排队排在最末尾
俳句	pàaih geui	
排行	pàaih hàhng	
排行榜	pàaih hàhng bóng	
排序	pàaih jeuih	
牌桌	pàaih jeuk	
牌子	pàaih jí	
排孻屘	pàaih lāai mēi	排在最末尾
排名	pàaih mìhng	
排山倒海	pàaih sāan dóu hói	
排山倒海之势	pàaih sāan dóu hói jī sai	
排水渠	pàaih séui kèuih	
排闼	pàaih taat	
排闼而入	pàaih taat yìh yahp	
part-time	pāak tāai	兼职
泊车	paak chē	停车
泊车咪表	paak chē mī biū	停车收费码表
拍档	paak dong	伙伴
拍档	paak dong	合作，配合，协作
拍纸簿	paak jí bóu	便笺，白纸本子，无格的本子
拍照	paak jiu	
魄力	paak lihk	
拍卖	paak maaih	
柏木	paak muhk	
拍门	paak mùhn	敲门
拍片	paak pín	拍电影
拍手	paak sáu	
拍手掌	paak sáu jeúng	鼓掌
拍手掌欢迎	paak sáu jeúng fūn yìhng	鼓掌欢迎
拍手无尘	paak sáu mòuh chàhn	一贫如洗，一文不名，身无分文，身无长物，穷得叮当响
拍摄	paak sip	
柏树	paak syuh	
拍拖	paak tō	约会，交往，谈恋爱
攀登	pāan dāng	
攀供	pāan gūng	
攀谈	pāan tàahm	
攀援	pāan wùhn	
盼望	paan mohng	
澎湃	pāang paai	
烹调	pāang tiùh	
烹饪	pāang yahm	
棚	pàahng	排，把
棚	pàahng	脚手架
鹏程	pàahng chìhng	
鹏程万里	pàahng chìhng maahn léih	
棚架	pàahng gá	脚手架，支撑架，升降架
膨胀	pàahng jeung	
蟛蜞	pàahng kéi	小螃蟹
棒槌	páahng chèuih	
棒球	páahng kàuh	
拍乸	pāat nàh	搭档，同伴，伙伴
party	pāat tìh	舞会，派对，聚会
坺	paaht	摊
抛戈弃甲	pāau gwō hei gaap	
抛弃	pāau hei	
抛开	pāau hōi	
抛空	pāau hūng	
抛掷	pāau jaahk	
抛砖引玉	pāau jyūn yáhn yuhk	
抛浪头	pāau lohng tàuh	虚张声势，出风头
抛锚	pāau nàauh	
抛售	pāau sauh	
抛射	pāau seh	
抛射体	pāau seh tái	
抛头露面	pāau tàuh louh mihn	
刨	páau	礤床
跑步	páau bouh	
跑车	páau chē	
跑道	páau douh	
跑鞋	páau hàaih	
豹	paau	豹子
泡菜	paau choi	
泡饭	paau faahn	
炮火	paau fó	
炮轰	paau gwāng	
泡开	paau hōi	
疱疹	paau ján	
炮仗	paau jeúng	鞭砲，炮竹
炮仗颈	paau jeúng géng	火性子，急性子
泡澡	paau jóu	
泡面	paau mihn	
泡水	paau séui	
泡汤	paau tōng	
刨	pàauh	死背
匏瓜	pàauh gwā	
咆哮	pàauh hāau	
[剕]	pāi	削
批	pāi	派，馅饼
剕菠萝皮	pāi bō lòh pèih	削凤梨皮
批发	pāi faat	
批准	pāi jeún	
剕皮	pāi pèih	削皮，剥皮
批评	pāi pìhng	
批评家	pāi pìhng gā	评论家
剕苹果	pāi pìhng gwó	削苹果
批判	pāi pun	
批判性	pāi pun sing	
剕铅笔	pāi yùhn bāt	削铅笔
喷射	pan seh	
喷射机	pan seh gēi	
喷嚏	pan tai	
喷吐	pan tou	
频传	pàhn chyùhn	
频道	pàhn douh	
频繁	pàhn fàahn	
贫乏	pàhn faht	
嫔妃	pàhn fēi	
贫苦	pàhn fú	
贫富	pàhn fu	
贫富悬殊	pàhn fu yùhn syùh	
贫家	pàhn gā	
贫下中农	pàhn hah jūng nùhng	
贫血病	pàhn hyut behng	
贫血症	pàhn hyut jing	
贫僧	pàhn jāng	
贫嘴	pàhn jéui	
贫瘠	pàhn jik	
贫穷	pàhn kùhng	
贫困	pàhn kwan	
频率	pàhn leuht	
贫民	pàhn màhn	
贫民窟	pàhn màhn fāt	
贫民区	pàhn màhn kēui	
频密	pàhn maht	
颦眉	pàhn mèih	
贫农	pàhn nùhng	
频频	pàhn pàhn	
频频扑扑	pàhn pàhn pok pok	东奔西跑，四处奔走，劳碌奔波，到处奔波
频扑	pàhn pok	奔波，劳碌，忙碌
凭据	pàhng geui	
凭空	pàhng hūng	
凭借	pàhng jihk	
凭票入场	pàhng piu yahp cheùhng	
朋友	pàhng yáuh	
匹夫	pāt fū	
匹配	pāt pui	
剖白	páu baahk	
剖腹	páu fūk	
剖腹自杀	páu fūk jih saat	
剖腹生产	páu fūk sāng cháan	
剖解	páu gáai	
剖肝泣血	páu gōn yāp hyut	
剖开	páu hōi	
剖面	páu mihn	
剖面图	páu mihn tòuh	
剖视图	páu sih tòuh	
剖析	páu sīk	
披牌	pē páai	扑克牌
巴仙	pe sēn	百分之一，百分之
怶	péh	歪倒，站不稳，斜着身子﹐歪着身子
朇	péh	歪着身子
纰漏	pēi lauh	
纰缪	pēi màuh	
paper	pēi pàh	作文
披散	pēi sáan	
吡啶	péi dihng	
否极泰来	péi gihk taai lòih	
仳离	péi lèih	
鄙夷	péi yìh	
屁股	pei gú	
媲美	pei méih	
譬如	pei yùh	
譬喻	pei yuh	
皮	pèih	元，块钱
皮	pèih	皮革
皮包	pèih bāau	
皮包骨	pèih bāau gwāt	
疲惫	pèih beih	
蜱虫	pèih chùhng	
皮蛋	pèih dáan	松花蛋
疲乏	pèih faht	
皮肤	pèih fū	
皮肤癌	pèih fū ngàahm	
皮革	pèih gaak	
皮件	pèih gihn	
皮喼	pèih gīp	皮箱，旅行箱，行李箱
皮光肉滑	pèih gwōng juhk waaht	皮肤嫩滑，皮肤好
疲倦	pèih gyuhn	
皮下	pèih hah	
皮下组织	pèih hah jóu jīk	
皮下注射	pèih hah jyu seh	
脾气	pèih hei	
皮靴	pèih hēu	
皮匠	pèih jeuhng	
脾脏	pèih johng	
皮褛	pèih lāu	皮夹克，皮外套，皮大衣
毗邻	pèih leùhn	
疲劳	pèih lòuh	
疲劳过度	pèih lòuh gwo douh	
皮袄	pèih ngou	
枇杷	pèih pàh	
琵琶	pèih pàh	
琵琶别抱	pèih pàh biht póuh	
皮袍	pèih póu	皮袄
皮套	pèih tou	
脾胃	pèih waih	
貔貅	pèih yāu	
貔貅	pèih yāu	顽皮，淘气
貔貅仔	pèih yāu jái	淘气孩子
疲于奔命	pèih yū bān mihng	
被	péih	被子
婢仆	péih buhk	
皮带	péih dáai	
被窦	péih dau	被窝
被冚	péih kám	被单
婢女	péih néuih	
被铺	péih pōu	铺盖，被褥，卧具
被窝	péih wō	
被褥	péih yuhk	
劈柴	pek chàaih	
劈开	pek hōi	
劈酒	pek jáu	喝酒，斗酒，酗酒
劈友	pek yáu	砍人，厮杀，斩杀，打群架
擗	pehk	扔，丢掉，扔掉，丢弃
拼	pēng	靠背，挡板
拼沉	pēng chàhm	把对方打败
骿骨	pēng gwāt	肋骨
平	pèhng	便宜
平价	pèhng ga	低价，廉价
平沽	pèhng gū	廉价售卖
平靓正	pèhng leng jeng	又便宜又好
平嘢	pèhng yéh	便宜货
平嘢唔靓	pèhng yéh m̀h leng	便宜没好货
pat pat	pēt pēt	屁股
pizza	pī sàh	比萨饼，披萨饼
PC	pī sī	警员
PTU	pī tī yiū	警察机动部队
辟邪	pīk chèh	
霹雳	pīk līk	
编班	pīn bāan	
编辑	pīn chāp	
编辑部	pīn chāp bouh	
编辑器	pīn chāp hei	
编辑室	pīn chāp sāt	
编队	pīn deuih	
编订	pīn ding	
编订者	pīn ding jé	
编导	pīn douh	
编发	pīn faat	
篇幅	pīn fūk	
蝙蝠	pīn fūk	
偏激	pīn gīk	
偏见	pīn gin	
编戏	pīn hei	
编号	pīn houh	
编撰	pīn jaahn	
编制	pīn jai	
扁舟	pīn jāu	
编者	pīn jé	
编者按	pīn jé on	
编织	pīn jīk	
编织品	pīn jīk bán	
编组	pīn jóu	
编造	pīn jouh	
编钟	pīn jūng	
编著	pīn jyu	
编曲	pīn kūk	
编码	pīn máh	
编码	pīn máh	编号，编码
编舞	pīn móuh	
编目	pīn muhk	
编按	pīn on	
编排	pīn pàaih	
偏僻	pīn pīk	
偏偏	pīn pīn	
偏颇	pīn pō	
编审	pīn sám	
编写	pīn sé	
偏私	pīn sī	
编成	pīn sìhng	
编书	pīn syū	
编选	pīn syún	
偏袒	pīn táan	
编译	pīn yihk	
编译器	pīn yihk hei	
偏远	pīn yúhn	
片	pín	唱片，专辑
遍布	pin bou	
遍地	pin deih	
骗局	pin guhk	
遍体鳞伤	pin tái leùhn seūng	
片糖	pin tòhng	片状的红糖
骈文	pìhn màhn	
便宜	pìhn yìh	
拼凑	pīng chau	
姘夫	pīng fū	
姘妇	pīng fúh	
姘居	pīng gēui	
抨击	pīng gīk	
拼命	pīng mehng	
怦怦	pīng pīng	
娉婷	pīng tìhng	
怦然	pīng yìhn	
屏蔽	píng bai	
屏风	píng fūng	
屏障	píng jeung	
屏幕	píng mohk	
聘请	ping chíng	
拼音	ping yām	
聘用	ping yuhng	
平白	pìhng baahk	
平白无故	pìhng baahk mòuh gu	
平板	pìhng báan	
平版	pìhng báan	
平板玻璃	pìhng báan bō lēi	
平板车	pìhng báan chē	
平版印刷	pìhng báan yan chaat	
评比	pìhng béi	
平辈	pìhng bui	
平淡	pìhng daahm	
平淡无奇	pìhng daahm mòuh kèih	
平淡无味	pìhng daahm mòuh meih	
平底	pìhng dái	
平底锅	pìhng dái wō	
平底镬	pìhng dái wohk	平底锅
平等	pìhng dáng	
平等待遇	pìhng dáng doih yuh	
平等主义	pìhng dáng jyú yih	
平等互惠	pìhng dáng wuh waih	
平地一声雷	pìhng deih yāt sīng lèuih	
评定	pìhng dihng	
平快	pìhng faai	
平快车	pìhng faai chē	
平反	pìhng fáan	
平凡	pìhng fàahn	
平分	pìhng fān	
评分	pìhng fān	
平分秋色	pìhng fān chāu sīk	
平分线	pìhng fān sin	
平方	pìhng fōng	
平方根	pìhng fōng gān	
平方公尺	pìhng fōng gūng chek	
平方公分	pìhng fōng gūng fahn	
平方公里	pìhng fōng gūng léih	
平方米	pìhng fōng máih	
平房	pìhng fòhng	
平价	pìhng ga	
评价	pìhng ga	
评鉴	pìhng gaam	
瓶颈	pìhng géng	
评估	pìhng gú	
平均	pìhng gwān	
平均速度	pìhng gwān chūk douh	
平均气温	pìhng gwān hei wān	
平均值	pìhng gwān jihk	
平均主义	pìhng gwān jyú yih	
苹果	pìhng gwó	
苹果批	pìhng gwó pāi	苹果派
苹果树	pìhng gwó syuh	
平光	pìhng gwōng	
平行	pìhng hàhng	
平衡	pìhng hàhng	
平衡感	pìhng hàhng gám	
平行力	pìhng hàhng lihk	
平行线	pìhng hàhng sin	
评核	pìhng haht	
平仄	pìhng jāk	
平仄韵	pìhng jāk wahn	
评奖	pìhng jeúng	
评奖人	pìhng jeúng yàhn	
平整	pìhng jíng	
平静	pìhng jihng	
平装	pìhng jōng	
平装本	pìhng jōng bún	
平剧	pìhng kehk	
评剧	pìhng kehk	
平权	pìhng kyùhn	
评理	pìhng léih	
评论	pìhng leuhn	
评论家	pìhng leuhn gā	
评论员	pìhng leuhn yùhn	
平乱	pìhng lyuhn	
平民	pìhng màhn	
平民化	pìhng màhn fa	
平面	pìhng mihn	
平面几何	pìhng mihn géi hòh	
平面镜	pìhng mihn geng	
平面角	pìhng mihn gok	
平卧	pìhng ngoh	
平安	pìhng ōn	
平安无事	pìhng ōn mòuh sih	
平平安安	pìhng pìhng ōn ōn	
评判	pìhng pun	
评判员	pìhng pun yùhn	
平心	pìhng sām	
平心静气	pìhng sām jihng hei	
平心而论	pìhng sām yìh leuhn	
评审	pìhng sám	
评审委员	pìhng sám wái yùhn	
平身	pìhng sān	
平生	pìhng sāng	
平生大事	pìhng sāng daaih sih	
平手	pìhng sáu	
萍水相逢	pìhng séui seūng fùhng	
平常	pìhng seùhng	
平常心	pìhng seùhng sām	
平时	pìhng sìh	
平息	pìhng sīk	
评析	pìhng sīk	
平声	pìhng sīng	
评选	pìhng syún	
评选人	pìhng syún yàhn	
评选员	pìhng syún yùhn	
平坦	pìhng táan	
平头	pìhng tàuh	
评头论足	pìhng tàuh leuhn jūk	
平添	pìhng tīm	
平台	pìhng tòih	
平躺	pìhng tóng	
平滑	pìhng waaht	
平稳	pìhng wán	
平和	pìhng wòh	
平缓	pìhng wuhn	
平日	pìhng yaht	
平易	pìhng yih	
平易近人	pìhng yih gahn yàhn	
评语	pìhng yúh	
评语栏	pìhng yúh làahn	
平原	pìhng yùhn	
平庸	pìhng yùhng	
评阅	pìhng yuht	
撇开	pit hōi	
瞥一眼	pit yāt ngáahn	
漂泊	piū bohk	
漂浮	piū fàuh	
漂流	piū làuh	
嘌呤	piū lìhng	
飘零	piū lìhng	
缥缈	piū miúh	
飘洒	piū sá	
漂白	piu baahk	
漂白水	piu baahk séui	漂白
剽悍	piu hohn	
漂亮	piu leuhng	
剽窃	piu sit	
嫖娼	piùh cheūng	
嫖赌	piùh dóu	
嫖妓	piùh geih	
嫖客	piùh haak	
鳔胶	piúh gāau	
樖	pō	棵，株
叵测	pó chāk	
笸箩	pó lòh	
婆乸	pó ná	婆娘
破	po	劈
破柴	po chàaih	劈柴
破财挡灾	po chòih dóng jōi	破财免灾
破纪录	po gei luhk	
破口大闹	po háu daaih naauh	破口大骂
破开	po hōi	劈开
破开两边	po hōi leúhng bīn	劈开两边
破碎	po seui	
破坏	po waaih	
婆妈	pòh mā	婆婆妈妈
婆婆	pòh pó	奶奶
泡	pōk	泡
扑	pok	奔波
扑鼻	pok beih	
扑出	pok cheūt	
噗哧	pok chī	
扑哧	pok chī	
扑倒	pok dóu	
扑飞	pok fēi	到处找票
扑过来	pok gwo lòih	
扑克	pok hāk	
扑克牌	pok hāk pàaih	
扑向	pok heung	
扑空	pok hūng	
扑嚟扑去	pok lèih pok heui	跑来跑去
扑料	pok liú	搜集材料，找素材，找材料
扑面	pok mihn	
扑灭	pok miht	
扑满	pok múhn	
扑心扑命	pok sām pok mehng	尽心尽力
朴实	pok saht	
扑水	pok séui	到处筹款，调头寸
扑朔迷离	pok sok màih lèih	
朴素	pok sou	
璞玉浑金	pok yuhk wàhn gām	
旁边	pòhng bīn	
庞大	pòhng daaih	
膀胱	pòhng gwōng	
螃蟹	pòhng háaih	
旁听	pòhng tēng	
滂沱	pòhng tòh	
彷徨	pòhng wòhng	
庞然	pòhng yìhn	
庞然大物	pòhng yìhn daaih maht	
铺床	pōu chòhng	
铺展	pōu jín	
铺盖	pōu koi	
铺路	pōu louh	
甫士	pōu sí	姿势
甫士咭	pōu sí kāt	明信片
谱曲	póu kūk	
普遍性	póu pin sing	
谱写	póu sé	
普选	póu syún	
普通	póu tūng	
普通话	póu tūng wá	
普洱茶	póu yíh chàh	
铺	pou	店铺，商店，铺子
普飞	pou fēi	自助餐
铺仔	pou jái	小店，小杂货店
铺头	pou táu	商店，铺子
铺位	pou wái	摊位
浮	pòuh	浮
蒲	pòuh	闯荡，胡混，玩乐，露面
匍匐	pòuh baahk	
匍匐前进	pòuh baahk chìhn jeun	
蒲点	pòuh dím	娱乐场所，聚脚点，聚会地点，玩乐地点
袍服	pòuh fuhk	
蒲公英	pòuh gūng yīng	
浮薸	pòuh piú	浮萍
菩萨	pòuh saat	
菩萨心肠	pòuh saat sām cheùhng	
菩提酒	pòuh tàih jáu	葡萄酒
菩提子	pòuh tàih jí	葡萄
菩提树	pòuh tàih syuh	
蒲头	pòuh tàuh	露面
葡萄	pòuh tòuh	
葡萄苷	pòuh tòuh gām	
葡萄柚	pòuh tòuh yáu	
泡	póuh	泡，泡儿，泡沫
抱佛脚	póuh faht geuk	
抱负	póuh fuh	
抱歉	póuh hip	
抱拳	póuh kyùhn	
泡沫	póuh mut	
抱男孙	póuh nàahm syūn	抱孙子
抱薪救火	póuh sān gau fó	
抱头鼠窜	póuh tàuh syú chyun	
抱头痛哭	póuh tàuh tung hūk	
泡影	póuh yíng	
抱怨	póuh yun	
胚芽	puī ngàh	
胚芽米	puī ngàh máih	
配备	pui beih	
配菜	pui choi	
佩带	pui daai	
配对	pui deui	
配对法	pui deui faat	
配电	pui dihn	
配电盘	pui dihn pùhn	
佩刀	pui dōu	
配发	pui faat	
配方	pui fōng	
佩服	pui fuhk	
佩剑	pui gim	
配件	pui gihn	
配角	pui gok	
佩挂	pui gwa	
配合	pui hahp	
配戏	pui hei	
配制	pui jai	
配置	pui ji	
配置图	pui ji tòuh	
配种	pui júng	
配给	pui kāp	
配给品	pui kāp bán	
配给证	pui kāp jing	
配给量	pui kāp leuhng	
配给票	pui kāp piu	
配料	pui liuh	
配额	pui ngaahk	
配眼镜	pui ngáahn geng	
配偶	pui ngáuh	
配乐	pui ngohk	
配色	pui sīk	
配套	pui tou	
配音	pui yām	
配音员	pui yām yùhn	
佩衽	pui yahm	
配有	pui yáuh	
配药	pui yeuhk	
配药师	pui yeuhk sī	
赔了夫人又折兵	puìh liúh fū yàhn yauh jit bīng	
赔偿	puìh seùhng	
徘徊	puìh wuìh	
徘徊不前	puìh wuìh bāt chìhn	
培养	puìh yeúhng	
蓓蕾	puíh léuih	
仆	pūk	趴，摔，俯卧
仆亲	pūk chān	摔着了
仆低	pūk dāi	趴下，趴下来，摔倒
仆喺张台度	pūk hái jeūng tói douh	趴在桌子上
仆住瞓	pūk jyuh fan	趴着睡
仆转	pūk jyún	反转，倒扣，扣
拚	pun	豁出去
判别	pun biht	
判定	pun dihng	
判断	pun dyun	
判感化	pun gám fa	
判罪	pun jeuih	
拚咗佢	pun jó kéuih	豁出去了
判决	pun kyut	
判决书	pun kyut syū	
拚命	pun mehng	
判案	pun on	
判死罪	pun séi jeuih	
判死刑	pun séi yìhn	
判若两人	pun yeuhk leúhng yàhn	
判刑	pun yìhng	
盘缠	pùhn chìhn	
盘点	pùhn dím	
盘踞	pùhn geui	
盘结	pùhn git	
盘古开天	pùhn gú hōi tīn	
盆栽	pùhn jōi	
盘诘	pùhn kit	
蟠龙	pùhn lùhng	
盘问	pùhn mahn	
盘剥	pùhn mōk	
蹒跚	pùhn sāan	
盘膝	pùhn sāt	
盘石	pùhn sehk	
磐石	pùhn sehk	
盘算	pùhn syun	
盘旋	pùhn syùhn	
蟠桃	pùhn tòuh	
盘绕	pùhn yiú	
捧场	púng cheùhng	
碰撞	pung johng	
蓬勃	pùhng buht	
蓬莱	pùhng lòih	
蓬门筚户	pùhng mùhn bāt wuh	
拨	put	扇，煽
拨大葵扇	put daaih kwàih sin	做媒人，为人保媒
拨火	put fó	煽火
泼辣	put laaht	
拨炉	put lòuh	煽炉子
拨扇	put sin	扇扇子
卅	sā	三十
沙哑	sā á	
砂煲	sā bōu	沙锅
砂煲罂罉	sā bōu ngāang chāang	锅碗瓢盆
沙尘	sā chàhn	骄傲，轻浮，自大，浮夸
沙尘白霍	sā chàhn baahk fok	骄傲自大，浮夸轻佻，轻浮骄傲，自高自大，盲目自大
纱窗	sā cheūng	
沙胆	sā dáam	斗胆
沙甸鱼	sā dīn yú	沙丁鱼
沙丁鱼	sā dīng yùh	
沙葛	sā got	豆薯
沙井	sā jéng	人孔，渗井，出入孔
沙井盖	sā jéng goi	人孔盖，探井盖，窨井盖
沙井口	sā jéng háu	人孔，渗井，渗坑
沙纸	sā jí	
沙纸	sā jí	毕业证书
纱纸	sā jí	文凭，毕业证，学位证书
沙展	sā jín	警察巡官
沙律	sā leút	沙拉
沙砾	sā līk	
沙漠	sā mohk	
沙蝉	sā sìhm	蝉，知了
沙蝉壳	sā sìhm hok	蝉蜕
沙滩	sā tāan	
沙田柚	sā tìhn yáu	柚子
砂糖	sā tòhng	
鲨鱼	sā yùh	
鲨鱼肉	sā yùh yuhk	
莎翁	sā yūng	
洒出	sá cheūt	
耍花枪	sá fā cheūng	撒娇
耍花招	sá fā jiū	
耍花样	sá fā yeuhng	
耍赖	sá laaih	
洒泪	sá leuih	
洒落	sá lohk	
耍弄	sá luhng	
耍闹	sá naauh	
耍脾气	sá pèih hei	
洒水	sá séui	
洒脱	sá tyut	
沙	sa	沙哑，破
嘥	sāai	浪费，错过
嘥	sāai	看贬，诋毁，讽刺，挖苦，故意贬低
嘥地方	sāai deih fōng	浪费地方
嘥到一钱不值	sāai dou yāt chìhn bāt jihk	贬得一钱不值
嘥鬼气	sāai gwái hei	白费劲儿
嘥气	sāai hei	白费劲，浪费精力
嘥心机	sāai sām gēi	费神，费心血，枉费心机
嘥心机挨眼瞓	sāai sām gēi ngàaih ngáahn fan	白费劲，白费心思，白费力气，枉费心机
嘥声坏气	sāai sēng wáai hei	白费唇舌
晒士	sāai sí	尺寸，尺码
嘥时间	sāai sìh gāan	浪费时间
嘥挞	sāai taat	糟蹋，浪费
晒	saai	全部，都
晒	saai	曝晒
晒干	saai gōn	
晒黑	saai hāk	
晒相	saai seúng	洗照片，洗相片
晒太阳	saai taai yeùhng	
晒热头	saai yiht táu	晒太阳
索赔	saak puìh	
索引	saak yáhn	
衫	sāam	衣服
三百六十度	sāam baak luhk sahp douh	
三斑家蚊	sāam bāan gā mān	
三八妇女节	sāam baat fúh néuih jit	
三不管	sāam bāt gún	
三不朽	sāam bāt náu	
三不五时	sāam bāt ńgh sìh	
三部曲	sāam bouh kūk	
三步擸埋两步走	sāam bouh laap màaih leúhng bouh jáu	三步并作两步走
三叉戟	sāam chā gīk	
三岔路口	sāam cha louh háu	
三餐不继	sāam chāan bāt gai	
衫刷	sāam cháat	洗刷衣服的刷子
三催四请	sāam chēui sei chíng	
