开放粤语词典（国际音标版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［国际音标］	［国语解释］
兔死狗烹	tʰou˧ sei˧˥ kɐu˧˥ pʰa:ŋ˥	
兔死狐悲	tʰou˧ sei˧˥ wu:˨˩ pei˥	
吐丝	tʰou˧ si:˥	
兔唇	tʰou˧ sɵn˨˩	
套餐	tʰou˧ tsʰa:n˥	
吐出	tʰou˧ tsʰɵt˥	
吐痰	tʰou˧ tʰa:m˨˩	
土匪	tʰou˧˥ fei˧˥	
讨厌	tʰou˧˥ ji:m˧	
土壤	tʰou˧˥ jœ:ŋ˨	
祷告	tʰou˧˥ kou˧	
土佬	tʰou˧˥ lou˧˥	土包子
讨论	tʰou˧˥ lɵn˨	
讨论区	tʰou˧˥ lɵn˨ kʰɵy˥	
土木工程	tʰou˧˥ mʊk˨ kʊŋ˥ tsʰɪŋ˨˩	
土木工程系	tʰou˧˥ mʊk˨ kʊŋ˥ tsʰɪŋ˨˩ hɐi˨	
土鼠	tʰou˧˥ sy:˧˥	
土星	tʰou˧˥ sɪŋ˥	
土地	tʰou˧˥ tei˨	
土地改革	tʰou˧˥ tei˨ kɔ:i˧˥ ka:k˧	
土地税	tʰou˧˥ tei˨ sɵy˧	
土葬	tʰou˧˥ tsɔ:ŋ˧	
肚兜	tʰou˧˥ tɐu˥	
土墩	tʰou˧˥ tɵn˥	
逃犯	tʰou˨˩ fa:n˧˥	
桃花	tʰou˨˩ fa:˥	
桃花源	tʰou˨˩ fa:˥ jy:n˨˩	
桃花心木	tʰou˨˩ fa:˥ sɐm˥ mʊk˨	
屠夫	tʰou˨˩ fu:˥	
徒费	tʰou˨˩ fɐi˧	
逃婚	tʰou˨˩ fɐn˥	
逃慌	tʰou˨˩ fɔ:ŋ˥	
陶器	tʰou˨˩ hei˧	
淘气	tʰou˨˩ hei˧	
逃学	tʰou˨˩ hɔ:k˨	
掏空	tʰou˨˩ hʊŋ˥	
桃红	tʰou˨˩ hʊŋ˨˩	
桃红色	tʰou˨˩ hʊŋ˨˩ sɪk˥	
徒然	tʰou˨˩ ji:n˨˩	
掏腰包	tʰou˨˩ ji:u˥ pa:u˥	
途遇	tʰou˨˩ jy:˨	
图样	tʰou˨˩ jœ:ŋ˨	
逃逸	tʰou˨˩ jɐt˨	
涂油	tʰou˨˩ jɐu˨˩	
徒有	tʰou˨˩ jɐu˩˧	
徒有虚名	tʰou˨˩ jɐu˩˧ hɵy˥ mɪŋ˨˩	
徒有其名	tʰou˨˩ jɐu˩˧ kʰei˨˩ mɪŋ˨˩	
陶冶	tʰou˨˩ jɛ:˩˧	
逃役	tʰou˨˩ jɪk˨	
图形	tʰou˨˩ jɪŋ˨˩	
图解	tʰou˨˩ ka:i˧˥	
图鉴	tʰou˨˩ ka:m˧	
逃家	tʰou˨˩ ka:˥	
淘金	tʰou˨˩ kɐm˥	
途经	tʰou˨˩ kɪŋ˥	
途径	tʰou˨˩ kɪŋ˧	
图利	tʰou˨˩ lei˨	
逃离	tʰou˨˩ lei˨˩	
逃离现场	tʰou˨˩ lei˨˩ ji:n˨ tsʰœ:ŋ˨˩	
桃李满天下	tʰou˨˩ lei˩˧ mu:n˩˧ tʰi:n˥ ha:˨	
逃路	tʰou˨˩ lou˨	
徒劳无功	tʰou˨˩ lou˨˩ mou˨˩ kʊŋ˥	
图例	tʰou˨˩ lɐi˨	
屠戮	tʰou˨˩ lʊk˨	
荼蘼	tʰou˨˩ mei˨˩	
图文	tʰou˨˩ mɐn˨˩	
图文并茂	tʰou˨˩ mɐn˨˩ pɪŋ˨ mɐu˨	
图谋	tʰou˨˩ mɐu˨˩	
逃亡	tʰou˨˩ mɔ:ŋ˨˩	
逃命	tʰou˨˩ mɪŋ˨	
图名	tʰou˨˩ mɪŋ˨˩	
图名图利	tʰou˨˩ mɪŋ˨˩ tʰou˨˩ lei˨	
逃难	tʰou˨˩ na:n˨	
逃难所	tʰou˨˩ na:n˨ sɔ:˧˥	
图版	tʰou˨˩ pa:n˧˥	
逃避	tʰou˨˩ pei˨	
逃避现实	tʰou˨˩ pei˨ ji:n˨ sɐt˨	
图表	tʰou˨˩ pi:u˧˥	
徒步	tʰou˨˩ pou˨	
逃奔	tʰou˨˩ pɐn˥	
逃兵	tʰou˨˩ pɪŋ˥	
图片	tʰou˨˩ pʰi:n˧˥	
屠杀	tʰou˨˩ sa:t˧	
图示	tʰou˨˩ si:˨	
图书	tʰou˨˩ sy:˥	
图书馆	tʰou˨˩ sy:˥ ku:n˧˥	
图书管理员	tʰou˨˩ sy:˥ ku:n˧˥ lei˩˧ jy:n˨˩	
途上	tʰou˨˩ sœ:ŋ˨	
徒手	tʰou˨˩ sɐu˧˥	
逃生	tʰou˨˩ sɐŋ˥	
桃色	tʰou˨˩ sɪk˥	
桃色新闻	tʰou˨˩ sɪk˥ sɐn˥ mɐn˨˩	
屠城	tʰou˨˩ sɪŋ˨˩	
逃税	tʰou˨˩ sɵy˧	
屠刀	tʰou˨˩ tou˥	
逃债	tʰou˨˩ tsa:i˧	
逃之夭夭	tʰou˨˩ tsi:˥ ji:u˥ ji:u˥	
图纸	tʰou˨˩ tsi:˧˥	
图章	tʰou˨˩ tsœ:ŋ˥	橡皮图章
图章	tʰou˨˩ tsœ:ŋ˥	
图像	tʰou˨˩ tsœ:ŋ˨	
逃走	tʰou˨˩ tsɐu˧˥	
屠宰	tʰou˨˩ tsɔ:i˧˥	
屠宰业	tʰou˨˩ tsɔ:i˧˥ ji:p˨	
屠宰场	tʰou˨˩ tsɔ:i˧˥ tsʰœ:ŋ˨˩	
逃罪	tʰou˨˩ tsɵy˨	
途中	tʰou˨˩ tsʊŋ˥	
图册	tʰou˨˩ tsʰa:k˧	
掏钱	tʰou˨˩ tsʰi:n˨˩	
陶瓷	tʰou˨˩ tsʰi:˨˩	
逃窜	tʰou˨˩ tsʰy:n˧	
屠场	tʰou˨˩ tsʰœ:ŋ˨˩	
途程	tʰou˨˩ tsʰɪŋ˨˩	
掏出	tʰou˨˩ tsʰɵt˥	
逃出	tʰou˨˩ tsʰɵt˥	
徒弟	tʰou˨˩ tɐi˨	
图档	tʰou˨˩ tɔ:ŋ˧	
图钉	tʰou˨˩ tɪŋ˥	
逃遁	tʰou˨˩ tɵn˨	
荼毒	tʰou˨˩ tʊk˨	
淘汰	tʰou˨˩ tʰa:i˧	
逃脱	tʰou˨˩ tʰy:t˧	
逃脱	tʰou˨˩ tʰy:t˧	
图腾	tʰou˨˩ tʰɐŋ˨˩	
图腾崇拜	tʰou˨˩ tʰɐŋ˨˩ sʊŋ˨˩ pa:i˧	
图画	tʰou˨˩ wa:˧˥	
图画书	tʰou˨˩ wa:˧˥ sy:˥	
图画纸	tʰou˨˩ wa:˧˥ tsi:˧˥	
图画册	tʰou˨˩ wa:˧˥ tsʰa:k˧	
梼杌	tʰou˨˩ ŋɐt˨	
图案	tʰou˨˩ ɔ:n˧	
肚	tʰou˩˧	肚子
肚腩	tʰou˩˧ na:m˩˧	肚皮，腹部，大肚子
肚皮	tʰou˩˧ pʰei˨˩	
肚脐	tʰou˩˧ tsʰi:˨˩	
肚脐眼	tʰou˩˧ tsʰi:˨˩ ŋa:n˩˧	
肚赤	tʰou˩˧ tsʰɛ:k˧	肚子痛，肚子疼
肚痛	tʰou˩˧ tʰʊŋ˧	肚子痛
肚屙	tʰou˩˧ ŋɔ:˥	拉肚子
肚饿	tʰou˩˧ ŋɔ:˨	饿，肚子饿
团圆	tʰy:n˨˩ jy:n˨˩	
团员	tʰy:n˨˩ jy:n˨˩	
团圆饭	tʰy:n˨˩ jy:n˨˩ fa:n˨	
团结	tʰy:n˨˩ ki:t˧	
团结一致	tʰy:n˨˩ ki:t˧ jɐt˥ tsi:˧	
团结就是力量	tʰy:n˨˩ ki:t˧ tsɐu˨ si:˨ lɪk˨ lœ:ŋ˨	
团购	tʰy:n˨˩ kʰɐu˧	
团年	tʰy:n˨˩ ni:n˨˩	吃年夜饭
团年饭	tʰy:n˨˩ ni:n˨˩ fa:n˨	年夜饭
臀部	tʰy:n˨˩ pou˨	
团长	tʰy:n˨˩ tsœ:ŋ˧˥	
团聚	tʰy:n˨˩ tsɵy˨	
团队	tʰy:n˨˩ tɵy˨	
团队精神	tʰy:n˨˩ tɵy˨ tsɪŋ˥ sɐn˨˩	
团团	tʰy:n˨˩ tʰy:n˨˩	
团团转	tʰy:n˨˩ tʰy:n˨˩ tsy:n˧	
团团围住	tʰy:n˨˩ tʰy:n˨˩ wɐi˨˩ tsy:˨	
团体	tʰy:n˨˩ tʰɐi˧˥	
脱	tʰy:t˧	套，身
脱发	tʰy:t˧ fa:t˧	
脱发剂	tʰy:t˧ fa:t˧ tsɐi˥	
脱险	tʰy:t˧ hi:m˧˥	
脱口而出	tʰy:t˧ hɐu˧˥ ji:˨˩ tsʰɵt˥	
脱壳	tʰy:t˧ hɔ:k˧	
脱去	tʰy:t˧ hɵy˧	
脱衣	tʰy:t˧ ji:˥	
脱衣舞	tʰy:t˧ ji:˥ mou˩˧	
脱氧核糖核酸	tʰy:t˧ jœ:ŋ˩˧ hɐt˨ tʰɔ:ŋ˨˩ hɐt˨ sy:n˥	
脱胶	tʰy:t˧ ka:u˥	
脱稿	tʰy:t˧ kou˧˥	
脱轨	tʰy:t˧ kwɐi˧˥	
脱缰野马	tʰy:t˧ kœ:ŋ˥ jɛ:˩˧ ma:˩˧	
脱缰之马	tʰy:t˧ kœ:ŋ˥ tsi:˥ ma:˩˧	
脱困	tʰy:t˧ kʰwɐn˧	
脱臼	tʰy:t˧ kʰɐu˩˧	
脱离	tʰy:t˧ lei˨˩	
脱离险境	tʰy:t˧ lei˨˩ hi:m˧˥ kɪŋ˧˥	
脱离关系	tʰy:t˧ lei˨˩ kwa:n˥ hɐi˨	
脱漏	tʰy:t˧ lɐu˨	
脱落	tʰy:t˧ lɔ:k˨	
脱毛	tʰy:t˧ mou˨˩	
脱毛剂	tʰy:t˧ mou˨˩ tsɐi˥	
脱粒	tʰy:t˧ nɐp˥	
脱粒机	tʰy:t˧ nɐp˥ kei˥	
脱皮	tʰy:t˧ pʰei˨˩	
脱身	tʰy:t˧ sɐn˥	
脱手	tʰy:t˧ sɐu˧˥	
脱色	tʰy:t˧ sɪk˥	
脱色剂	tʰy:t˧ sɪk˥ tsɐi˥	
脱星	tʰy:t˧ sɪŋ˥	
脱水	tʰy:t˧ sɵy˧˥	
脱水机	tʰy:t˧ sɵy˧˥ kei˥	
脱节	tʰy:t˧ tsi:t˧	
脱脂	tʰy:t˧ tsi:˥	
脱脂乳	tʰy:t˧ tsi:˥ jy:˩˧	
脱脂棉	tʰy:t˧ tsi:˥ mi:n˨˩	
脱脂奶粉	tʰy:t˧ tsi:˥ na:i˩˧ fɐn˧˥	
脱罪	tʰy:t˧ tsɵy˨	
脱俗	tʰy:t˧ tsʊk˨	
脱产	tʰy:t˧ tsʰa:n˧˥	
脱肠	tʰy:t˧ tsʰœ:ŋ˨˩	
脱臭	tʰy:t˧ tsʰɐu˧	
脱出	tʰy:t˧ tsʰɵt˥	
脱逃	tʰy:t˧ tʰou˨˩	
脱胎	tʰy:t˧ tʰɔ:i˥	
脱胎换骨	tʰy:t˧ tʰɔ:i˥ wu:n˨ kwɐt˥	
脱位	tʰy:t˧ wɐi˨	
脱颖而出	tʰy:t˧ wɪŋ˨ ji:˨˩ tsʰɵt˥	
锑	tʰɐi˥	铝
梯	tʰɐi˥	梯子
锑煲	tʰɐi˥ pou˥	铝锅，钢精锅
锑盆	tʰɐi˥ pʰu:n˨˩	铝盆
涕泪	tʰɐi˧ lɵy˨	
剃面	tʰɐi˧ mi:n˨	刮脸
剃须	tʰɐi˧ sou˥	刮胡子
替换	tʰɐi˧ wu:n˨	
剃眼眉	tʰɐi˧ ŋa:n˩˧ mei˨˩	使人当众出丑
睇	tʰɐi˧˥	看
睇法	tʰɐi˧˥ fa:t˧	看法
睇化	tʰɐi˧˥ fa:˧	看透了
体罚	tʰɐi˧˥ fɐt˨	
睇风水	tʰɐi˧˥ fʊŋ˥ sɵy˧˥	看风水
睇吓	tʰɐi˧˥ ha:˩˧	看一下，看看
睇吓咧	tʰɐi˧˥ ha:˩˧ lɛ:˨˩	看一看吧
睇吓先	tʰɐi˧˥ ha:˩˧ si:n˥	先看一下
睇吓点	tʰɐi˧˥ ha:˩˧ ti:m˧˥	看看怎么样
睇戏	tʰɐi˧˥ hei˧	看电影
睇起	tʰɐi˧˥ hei˧˥	看得起，看得上，看重
睇起嚟	tʰɐi˧˥ hei˧˥ lei˨˩	看起来
睇起上嚟	tʰɐi˧˥ hei˧˥ sœ:ŋ˩˧ lei˨˩	看起来，看上去
睇好	tʰɐi˧˥ hou˧˥	看重
体系化	tʰɐi˧˥ hɐi˨	
体系	tʰɐi˧˥ hɐi˨	
睇开	tʰɐi˧˥ hɔ:i˥	看开
睇开啲	tʰɐi˧˥ hɔ:i˥ ti:˥	看开一点
体腔	tʰɐi˧˥ hɔ:ŋ˥	
体验	tʰɐi˧˥ ji:m˨	
体现	tʰɐi˧˥ ji:n˨	
体热	tʰɐi˧˥ ji:t˨	
睇医生	tʰɐi˧˥ ji:˥ sa:ŋ˥	看病
体弱	tʰɐi˧˥ jœ:k˨	
睇样	tʰɐi˧˥ jœ:ŋ˧˥	看样子
睇夜	tʰɐi˧˥ jɛ:˨	守夜
体液	tʰɐi˧˥ jɪk˨	
体型	tʰɐi˧˥ jɪŋ˨˩	
体育	tʰɐi˧˥ jʊk˨	
体育界	tʰɐi˧˥ jʊk˨ ka:i˧	
体育馆	tʰɐi˧˥ jʊk˨ ku:n˧˥	
体育衫	tʰɐi˧˥ jʊk˨ sa:m˥	运动衣
体育场	tʰɐi˧˥ jʊk˨ tsʰœ:ŋ˨˩	
体用	tʰɐi˧˥ jʊŋ˨	
体格	tʰɐi˧˥ ka:k˧	
体格检查	tʰɐi˧˥ ka:k˧ ki:m˧˥ tsʰa:˨˩	
睇更	tʰɐi˧˥ ka:ŋ˥	守夜，看更
体己	tʰɐi˧˥ kei˧˥	
体检	tʰɐi˧˥ ki:m˧˥	
睇见	tʰɐi˧˥ ki:n˧	看见
体高	tʰɐi˧˥ kou˥	
睇过点	tʰɐi˧˥ kwɔ:˧ ti:m˧˥	看情况吧，再说吧，看着办吧
睇佢几好	tʰɐi˧˥ kʰɵy˩˧ kei˧˥ hou˧˥	看他多好
睇嚟	tʰɐi˧˥ lei˨˩	看来，看上去，看起来
睇嚟凑	tʰɐi˧˥ lei˨˩ tsʰɐu˧	看着办，到时再说
睇老婆	tʰɐi˧˥ lou˩˧ pʰɔ:˨˩	相亲
体谅	tʰɐi˧˥ lœ:ŋ˨	
体例	tʰɐi˧˥ lɐi˨	
睇落	tʰɐi˧˥ lɔ:k˨	看来，看上去
体力	tʰɐi˧˥ lɪk˨	
体力劳动	tʰɐi˧˥ lɪk˨ lou˨˩ tʊŋ˨	
体味	tʰɐi˧˥ mei˨	
体面	tʰɐi˧˥ mi:n˨	
体无完肤	tʰɐi˧˥ mou˨˩ jy:n˨˩ fu:˥	
睇脉	tʰɐi˧˥ mɐk˨	看病，切脉，看中医
睇唔起	tʰɐi˧˥ m̩˨˩ hei˧˥	看不起，瞧不起
睇唔开	tʰɐi˧˥ m̩˨˩ hɔ:i˥	想不开
睇唔入眼	tʰɐi˧˥ m̩˨˩ jɐp˨ ŋa:n˩˧	看不过眼，看不下去，看不上眼，不能容忍
睇唔见	tʰɐi˧˥ m̩˨˩ ki:n˧	看不见
睇唔过眼	tʰɐi˧˥ m̩˨˩ kwɔ:˧ ŋa:n˩˧	看不过眼，看不下去，看不上眼，不能容忍
睇唔过眼	tʰɐi˧˥ m̩˨˩ kwɔ:˧ ŋa:n˩˧	看不惯
睇唔明	tʰɐi˧˥ m̩˨˩ mɪŋ˨˩	看不懂
睇唔到	tʰɐi˧˥ m̩˨˩ tou˧˥	看不到
睇唔真	tʰɐi˧˥ m̩˨˩ tsɐn˥	看不清楚
睇唔切	tʰɐi˧˥ m̩˨˩ tsʰi:t˧	来不及看
睇唔清	tʰɐi˧˥ m̩˨˩ tsʰɪŋ˥	看不清楚
睇唔出嚟	tʰɐi˧˥ m̩˨˩ tsʰɵt˥ lei˨˩	看不出来
体能	tʰɐi˧˥ nɐŋ˨˩	
体内	tʰɐi˧˥ nɔ:i˨	
睇霸王戏	tʰɐi˧˥ pa:˧ wɔ:ŋ˨˩ hei˧	看戏不买票
睇波	tʰɐi˧˥ pɔ:˥	看球赛
睇病	tʰɐi˧˥ pɛ:ŋ˨	找医生治病
体魄	tʰɐi˧˥ pʰa:k˧	
睇铺	tʰɐi˧˥ pʰou˧	看店
睇山	tʰɐi˧˥ sa:n˥	看风水
睇死	tʰɐi˧˥ sei˧˥	看透，断定
睇小	tʰɐi˧˥ si:u˧˥	小看，轻视
睇数	tʰɐi˧˥ sou˧	结帐，算帐
睇书	tʰɐi˧˥ sy:˥	看书
睇相	tʰɐi˧˥ sœ:ŋ˧	相面
睇上眼	tʰɐi˧˥ sœ:ŋ˩˧ ŋa:n˩˧	看上
体细胞	tʰɐi˧˥ sɐi˧ pa:u˥	
睇实	tʰɐi˧˥ sɐt˨	紧盯着，监控
体恤	tʰɐi˧˥ sɵt˥	
睇衰	tʰɐi˧˥ sɵy˥	蔑视，小看，看不起
睇水	tʰɐi˧˥ sɵy˧˥	把风，放风
睇水色	tʰɐi˧˥ sɵy˧˥ sɪk˥	看形势
量入为出，量力行事，量体裁衣，因地制宜，看情况行事，见机行事，看情况办事	tʰɐi˧˥ sʊŋ˧ sɪk˨ fa:n˨	（俗语）意为看菜吃饭，指看条件如何决定对策
睇大戏	tʰɐi˧˥ ta:i˨ hei˧	看粤剧
体大思精	tʰɐi˧˥ ta:i˨ si:˥ tsɪŋ˥	
睇电视	tʰɐi˧˥ ti:n˨ si:˨	看电视
睇到	tʰɐi˧˥ tou˧˥	看到
睇住佢头	tʰɐi˧˥ tsy:˨ kʰɵy˩˧ tʰɐu˧˥	向他学，以他为榜样，照他的样子做
睇住嚟	tʰɐi˧˥ tsy:˨ lei˨˩	等着瞧，走着瞧，看着办
体制	tʰɐi˧˥ tsɐi˧	
体质	tʰɐi˧˥ tsɐt˥	
体积	tʰɐi˧˥ tsɪk˥	
睇钟数	tʰɐi˧˥ tsʊŋ˥ sou˧	看时间
体察	tʰɐi˧˥ tsʰa:t˧	
体操	tʰɐi˧˥ tsʰou˥	
睇穿	tʰɐi˧˥ tsʰy:n˥	看穿，看透
睇错	tʰɐi˧˥ tsʰɔ:˧	看错
睇清楚	tʰɐi˧˥ tsʰɪŋ˥ tsʰɔ:˧˥	看清楚
体重	tʰɐi˧˥ tsʰʊŋ˩˧	
体重计	tʰɐi˧˥ tsʰʊŋ˩˧ kɐi˧	
睇低	tʰɐi˧˥ tɐi˥	看不起，小看，轻视
睇得化	tʰɐi˧˥ tɐk˥ fa:˧	想得开
睇得起	tʰɐi˧˥ tɐk˥ hei˧˥	看得起
睇得明	tʰɐi˧˥ tɐk˥ mɪŋ˨˩	看得懂
睇得出	tʰɐi˧˥ tɐk˥ tsʰɵt˥	看得出
睇档	tʰɐi˧˥ tɔ:ŋ˧	看铺子
睇定	tʰɐi˧˥ tɪŋ˨	看准
体态	tʰɐi˧˥ tʰa:i˧	
体坛	tʰɐi˧˥ tʰa:n˨˩	
体贴	tʰɐi˧˥ tʰi:p˧	
体贴入微	tʰɐi˧˥ tʰi:p˧ jɐp˨ mei˨˩	
体统	tʰɐi˧˥ tʰʊŋ˧˥	
体会	tʰɐi˧˥ wu:i˨	
体位	tʰɐi˧˥ wɐi˨	
体温	tʰɐi˧˥ wɐn˥	
体温计	tʰɐi˧˥ wɐn˥ kɐi˧	
睇匀	tʰɐi˧˥ wɐn˨˩	看遍
睇啱	tʰɐi˧˥ ŋa:m˥	看中，看上
睇牛	tʰɐi˧˥ ŋɐu˨˩	看牛，牧牛
体外	tʰɐi˧˥ ŋɔ:i˨	
提款	tʰɐi˨˩ fu:n˧˥	
啾叫	tʰɐi˨˩ ki:u˧	
提高	tʰɐi˨˩ kou˥	
提供	tʰɐi˨˩ kʊŋ˥	
提携	tʰɐi˨˩ kʰwɐi˨˩	
提及	tʰɐi˨˩ kʰɐp˨	
提名	tʰɐi˨˩ mɪŋ˨˩	
提名人	tʰɐi˨˩ mɪŋ˨˩ jɐn˨˩	
题目	tʰɐi˨˩ mʊk˨	
堤坝	tʰɐi˨˩ pa:˧	
啼笑皆非	tʰɐi˨˩ si:u˧ ka:i˥ fei˥	
提示	tʰɐi˨˩ si:˨	
提审	tʰɐi˨˩ sɐm˧˥	
提醒	tʰɐi˨˩ sɛ:ŋ˧˥	
提到	tʰɐi˨˩ tou˧˥	
提子	tʰɐi˨˩ tsi:˧˥	葡萄
提子干	tʰɐi˨˩ tsi:˧˥ kɔ:n˥	葡萄干
提早	tʰɐi˨˩ tsou˧˥	
提前	tʰɐi˨˩ tsʰi:n˨˩	
提倡	tʰɐi˨˩ tsʰœ:ŋ˧	
提堂	tʰɐi˨˩ tʰɔ:ŋ˨˩	提审，提讯
醍醐	tʰɐi˨˩ wu:˨˩	
鹈鹕	tʰɐi˨˩ wu:˨˩	
嗿	tʰɐm˧	哄，哄骗
嗿人	tʰɐm˧ jɐn˨˩	哄人，逗人
嗿人欢喜	tʰɐm˧ jɐn˨˩ fu:n˥ hei˧˥	哄人高兴
嗿细蚊仔	tʰɐm˧ sɐi˧ mɐn˥ tsɐi˧˥	哄小孩
氹氹转	tʰɐm˨˩ tʰɐm˧˥ tsy:n˧	团团转
氹	tʰɐm˩˧	坑
吞口水	tʰɐn˥ hɐu˧˥ sɵy˧˥	
吞咽	tʰɐn˥ ji:n˧	
吞没	tʰɐn˥ mu:t˨	
吞唔落	tʰɐn˥ m̩˨˩ lɔ:k˨	咽不下，吞不下
吞并	tʰɐn˥ pɪŋ˨	
吞朴	tʰɐn˥ pʰɔ:k˥	偷懒
吞噬	tʰɐn˥ sɐi˨	
吞食	tʰɐn˥ sɪk˨	
吞声	tʰɐn˥ sɪŋ˥	
吞声忍气	tʰɐn˥ sɪŋ˥ jɐn˧˥ hei˧	
吞吐	tʰɐn˥ tʰou˧	
吞吞吐吐	tʰɐn˥ tʰɐn˥ tʰou˧ tʰou˧	
吞云吐雾	tʰɐn˥ wɐn˨˩ tʰou˧ mou˨	
褪	tʰɐn˧	退，挪，移动，后退
褪后	tʰɐn˧ hɐu˨	退后
褪后啲	tʰɐn˧ hɐu˨ ti:˥	退后一点
褪几步	tʰɐn˧ kei˧˥ pou˨	退后几步
褪过去	tʰɐn˧ kwɔ:˧ hɵy˧	挪过去
褪步	tʰɐn˧ pou˨	退步
褪色	tʰɐn˧ sɪk˥	
褪舦	tʰɐn˧ tʰa:i˩˧	退缩，打退堂鼓
揗	tʰɐn˨˩	发抖，哆嗦，颤抖
揗鸡	tʰɐn˨˩ kɐi˥	慌张，手忙脚乱，手足无措
揗嚟揗去	tʰɐn˨˩ lei˨˩ tʰɐn˨˩ hɵy˧	转来转去
揗晒鸡	tʰɐn˨˩ sa:i˧ kɐi˥	慌张，手忙脚乱，手足无措
揗揗震	tʰɐn˨˩ tʰɐn˨˩ tsɐn˧	直打哆嗦，不停地颤动，哆哆嗦嗦，胆战心惊
偷闲	tʰɐu˥ ha:n˨˩	
偷香窃玉	tʰɐu˥ hœ:ŋ˥ si:t˧ jʊk˨	
偷鸡	tʰɐu˥ kɐi˥	偷懒
偷鸡摸狗	tʰɐu˥ kɐi˥ mɔ:˧˥ kɐu˧˥	
偷鸡不着蚀把米	tʰɐu˥ kɐi˥ pɐt˥ tsœ:k˨ sɪk˨ pa:˧˥ mɐi˩˧	
偷工	tʰɐu˥ kʊŋ˥	
偷工减料	tʰɐu˥ kʊŋ˥ ka:m˧˥ li:u˨	
偷窥	tʰɐu˥ kʰwɐi˥	
偷窥狂	tʰɐu˥ kʰwɐi˥ kʰwɔ:ŋ˨˩	
偷懒	tʰɐu˥ la:n˩˧	
偷猎	tʰɐu˥ li:p˨	
偷溜	tʰɐu˥ li:u˥	
偷龙转凤	tʰɐu˥ lʊŋ˨˩ tsy:n˧˥ fʊŋ˨	偷梁换柱
偷拍	tʰɐu˥ pʰa:k˧	
偷跑	tʰɐu˥ pʰa:u˧˥	
偷窃	tʰɐu˥ si:t˧	
偷窃狂	tʰɐu˥ si:t˧ kʰwɔ:ŋ˨˩	
偷窃罪	tʰɐu˥ si:t˧ tsɵy˨	
偷笑	tʰɐu˥ si:u˧	
偷生	tʰɐu˥ sɐŋ˥	
偷腥	tʰɐu˥ sɛ:ŋ˥	
偷食	tʰɐu˥ sɪk˨	偷吃
偷食禁果	tʰɐu˥ sɪk˨ kɐn˧ kwɔ:˧˥	
偷税	tʰɐu˥ sɵy˧	
偷盗	tʰɐu˥ tou˨	
偷渡	tʰɐu˥ tou˨	
偷渡客	tʰɐu˥ tou˨ ha:k˧	
偷渡过境	tʰɐu˥ tou˨ kwɔ:˧ kɪŋ˧˥	
偷袭	tʰɐu˥ tsa:p˨	
偷走	tʰɐu˥ tsɐu˧˥	
偷钱	tʰɐu˥ tsʰi:n˧˥	
偷车	tʰɐu˥ tsʰɛ:˥	
偷车案	tʰɐu˥ tsʰɛ:˥ ɔ:n˧	
偷情	tʰɐu˥ tsʰɪŋ˨˩	
偷出	tʰɐu˥ tsʰɵt˥	
偷得浮生	tʰɐu˥ tɐk˥ fɐu˨˩ sɐŋ˥	
偷天换日	tʰɐu˥ tʰi:n˥ wu:n˨ jɐt˨	
偷睇	tʰɐu˥ tʰɐi˧˥	偷看
偷偷	tʰɐu˥ tʰɐu˥	
偷偷摸摸	tʰɐu˥ tʰɐu˥ mɔ:˧˥ mɔ:˧˥	
偷听	tʰɐu˥ tʰɛ:ŋ˥	
偷运	tʰɐu˥ wɐn˨	
透风	tʰɐu˧ fʊŋ˥	
透气	tʰɐu˧ hei˧	
透气性	tʰɐu˧ hei˧ sɪŋ˧	
透汗	tʰɐu˧ hɔ:n˨	
透热	tʰɐu˧ ji:t˨	
透热性	tʰɐu˧ ji:t˨ sɪŋ˧	
透骨	tʰɐu˧ kwɐt˥	
透光	tʰɐu˧ kwɔ:ŋ˥	
透过	tʰɐu˧ kwɔ:˧	
透过	tʰɐu˧ kwɔ:˧	通过
透露	tʰɐu˧ lou˨	
透炉	tʰɐu˧ lou˨˩	生炉子
透漏	tʰɐu˧ lɐu˨	
透明	tʰɐu˧ mɪŋ˨˩	
透明度	tʰɐu˧ mɪŋ˨˩ tou˨	
透明漆	tʰɐu˧ mɪŋ˨˩ tsʰɐt˥	
透明体	tʰɐu˧ mɪŋ˨˩ tʰɐi˧˥	
投标	tʰɐu˧ pi:u˥	
透视	tʰɐu˧ si:˨	
透视镜	tʰɐu˧ si:˨ kɛ:ŋ˧	
透视力	tʰɐu˧ si:˨ lɪk˨	
透视度	tʰɐu˧ si:˨ tou˨	
透视图	tʰɐu˧ si:˨ tʰou˨˩	
投书	tʰɐu˧ sy:˥	
透心	tʰɐu˧ sɐm˥	
透心凉	tʰɐu˧ sɐm˥ lœ:ŋ˨˩	寒心，非常失望
透射	tʰɐu˧ sɛ:˨	
透析	tʰɐu˧ sɪk˥	
透析法	tʰɐu˧ sɪk˥ fa:t˧	
透水	tʰɐu˧ sɵy˧˥	
透水性	tʰɐu˧ sɵy˧˥ sɪŋ˧	
透出	tʰɐu˧ tsʰɵt˥	
透顶	tʰɐu˧ tɪŋ˧˥	
投案自首	tʰɐu˧ ɔ:n˧ tsi:˨ sɐu˧˥	
唞	tʰɐu˧˥	休息
