開放粵語詞典（劉錫祥版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［劉錫祥拼音］	［國語解釋］
數據	so3 gui3	
數據庫	so3 gui3 foo3	
數據機	so3 gui3 gei1	
掃興	so3 hing3	
數學	so3 hok6	
數學家	so3 hok6 ga1	
素質	so3 jat1	
掃帚	so3 jau2	
數字	so3 ji2	
數字鍵	so3 ji6 gin6	
訴訟	so3 jung6	
訴求	so3 kau4	
數量	so3 leung6	
數碼	so3 ma5	
掃埋嚟	so3 maai4 lei4	掃過來
素描	so3 miu4	
數目	so3 muk6	
數目字	so3 muk6 ji6	
素雅	so3 nga5	
素食	so3 sik6	
素食店	so3 sik6 dim3	
素食麵	so3 sik6 min6	
訴說	so3 suet3	
數還數，路還路	so3 waan4 so3 lo6 waan4 lo6	人情歸人情，數目要分明
溯源	so3 yuen4	
梳	soh1	梳子，髮刷
蔬菜	soh1 choi3	
梳打	soh1 da2	蘇打，碳酸鈉
梳打粉	soh1 da2 fan2	蘇打粉，小蘇打
梳化椅	soh1 fa2 yi2	沙發
梳化	soh1 fa3	沙發
疏忽	soh1 fat1	
梳乎厘	soh1 foo4 lei4	蛋奶酥
羧基	soh1 gei1	
sorry	soh1 li4	對不起
sorry囉	soh1 li4 loh1	對不起啊
梳洗	soh1 sai2	
唆使	soh1 si2	
梳頭	soh1 tau4	
疏堂	soh1 tong4	堂
疏堂兄弟	soh1 tong4 hing1 dai6	堂兄弟
疏堂姐妹	soh1 tong4 ji2 mooi2	堂姐妹
疏通	soh1 tung1	
蓑衣	soh1 yi1	
鎖	soh2	鎖上
所得稅	soh2 dak1 sui3	
所見即所得	soh2 gin3 jik1 soh2 dak1	
所見略同	soh2 gin3 leuk6 tung4	
所見所聞	soh2 gin3 soh2 man4	
所幸	soh2 hang6	
所長	soh2 jeung2	
鎖咗	soh2 joh2	鎖上了
鎖鏈	soh2 lin4	
鎖門	soh2 moon2	鎖上門
嗩吶	soh2 naap6	
鎖匙	soh2 si4	鑰匙
瑣碎	soh2 sui3	
鎖頭	soh2 tau4	
所為	soh2 wai4	
所謂	soh2 wai6	
所有	soh2 yau5	
所有權	soh2 yau5 kuen4	
所有人	soh2 yau5 yan4	
所以	soh2 yi5	
傻更	soh4 gaang1	傻，傻瓜
傻更更	soh4 gaang1 gaang1	傻乎乎
傻瓜	soh4 gwa1	
傻瓜	soh4 gwa1	傻瓜，傻子
傻氣	soh4 hei3	
傻仔	soh4 jai2	傻小子，傻瓜
傻仔水	soh4 jai2 sui2	酒
傻佬	soh4 lo2	傻子，傻瓜
傻妹	soh4 mooi1	傻丫頭，小丫頭
傻眼	soh4 ngaan5	
傻女	soh4 nui2	傻丫頭
傻事	soh4 si6	
傻笑	soh4 siu3	
傻傻哋	soh4 soh2 dei2	傻里傻氣
傻傻更更	soh4 soh4 gaang1 gaang1	傻裡傻氣，傻頭傻腦
傻頭傻腦	soh4 tau4 soh4 no5	
傻話	soh4 wa2	
傻人	soh4 yan4	
傻人	soh4 yan4	傻子，傻瓜
腮紅	soi1 hung4	
腮腺炎	soi1 sin3 yim4	
索	sok3	繩索，大繩子
嗍	sok3	吸
索	sok3	漂亮
嗍鼻	sok3 bei6	吸鼻涕，抽抽搭搭
嗍啖煙	sok3 daam6 yin1	吸一口煙
塑膠	sok3 gaau1	塑料，塑膠
塑膠桶	sok3 gaau1 tung2	塑料桶
嗍氣	sok3 hei3	喘氣
塑料	sok3 liu2	塑膠，塑料
索女	sok3 nui5	美女
嗍晒氣	sok3 saai3 hei3	氣喘吁吁
嗍水	sok3 sui2	吸水
索油	sok3 yau4	揩油，輕薄，佔便宜，吃豆腐
喪葬	song1 jong3	
喪禮	song1 lai5	
桑葚	song1 sam6	
桑樹	song1 sue6	
爽	song2	開心，舒服，過癮
爽脆	song2 chui3	脆，乾脆，乾脆利落
爽快	song2 faai3	
爽利	song2 lei6	興奮，振作，精神好
嗓門	song2 moon4	
爽手	song2 sau2	手感好，軟滑，舒服；利索
喪	song3	散，野，心散，心野
喪	song3	傻，不正經，瘋瘋癲癲的樣子
喪氣	song3 hei3	
喪仔	song3 jai2	傻子
喪命	song3 meng6	
喪失	song3 sat1	
short	sot1	神經有問題，神經病
short short哋	sot1 sot1 dei2	神經病，精神出了問題
舒暢	sue1 cheung3	
抒情	sue1 ching4	
抒情歌	sue1 ching4 goh1	
書店	sue1 dim3	
抒發	sue1 faat3	
舒服	sue1 fuk6	
書架	sue1 ga2	
抒解	sue1 gaai2	
紓解	sue1 gaai2	
書局	sue1 guk6	
舒閒	sue1 haan4	
輸血	sue1 huet3	
書桌	sue1 jeuk3	
書籍	sue1 jik6	
書展	sue1 jin2	
紓困	sue1 kwan3	
書面語	sue1 min6 yue5	
樞紐	sue1 nau2	
輸晒	sue1 saai3	輸光
舒適	sue1 sik1	
舒舒服服	sue1 sue1 fuk6 fuk6	很舒服，舒舒服服
書枱	sue1 toi2	書桌
抒懷	sue1 waai4	
紓緩	sue1 woon6	
輸入	sue1 yap6	
書友	sue1 yau2	同學
抒意	sue1 yi3	
輸贏	sue1 ying4	
薯	sue2	馬鈴薯，土豆，洋芋
鼠	sue2	偷，偷偷地拿走
鼠輩	sue2 booi3	
暑假	sue2 ga3	
鼠害	sue2 hoi6	
暑期	sue2 kei4	
鼠摸	sue2 moh1	小偷
鼠年	sue2 nin4	
鼠嘢	sue2 ye5	偷東西，偷竊
鼠藥	sue2 yeuk6	
鼠疫	sue2 yik6	
處	sue3	地方，處
恕不	sue3 bat1	
恕不奉陪	sue3 bat1 fung6 pooi4	
恕罪	sue3 jui6	
庶民	sue3 man4	
庶人	sue3 yan4	
薯	sue4	笨
殊功	sue4 gung1	
薯仔	sue4 jai2	馬鈴薯，土豆
殊禮	sue4 lai5	
薯莨	sue4 leung4	
薯片	sue4 pin3	馬鈴薯片，土豆片，洋芋片
殊死	sue4 sei2	
薯頭	sue4 tau4	笨蛋，笨人，蠢豬，蠢笨
薯頭嘜	sue4 tau4 mak1	笨蛋
薯頭薯腦	sue4 tau4 sue4 no5	笨頭笨腦
薯條	sue4 tiu4	
殊途同歸	sue4 to4 tung4 gwai1	
殊榮	sue4 wing4	
殊異	sue4 yi6	
殊遇	sue4 yue6	
薯蕷	sue4 yue6	
樹杈	sue6 cha3	
樹倒猢猻散	sue6 do2 woo4 suen1 saan3	
樹根	sue6 gan1	
樹幹	sue6 gon3	
豎起	sue6 hei2	
樹枝	sue6 ji1	
豎琴	sue6 kam4	
豎立	sue6 laap6	
樹林	sue6 lam4	
樹皮	sue6 pei4	
樹梢	sue6 saau1	
樹陰	sue6 yam1	
樹葉	sue6 yip6	
宣布	suen1 bo3	
宣傳	suen1 chuen4	
孫仔	suen1 jai2	孫子
宣戰	suen1 jin3	
酸微微	suen1 mei1 mei1	酸酸的，酸溜溜，很酸
酸梅	suen1 mooi2	梅子，酸梅
狻猊	suen1 ngai4	
宣判	suen1 poon3	
宣判無罪	suen1 poon3 mo4 jui6	
宣判有罪	suen1 poon3 yau5 jui6	
酸宿	suen1 suk1	汗臭，汗餿味
酸宿爛臭	suen1 suk1 laan6 chau3	難聞的酸臭味
選拔	suen2 bat6	
選舉	suen2 gui2	
損耗	suen2 ho3	
損耗量	suen2 ho3 leung6	
損耗率	suen2 ho3 lut6	
損害	suen2 hoi6	
選擇	suen2 jaak6	
選集	suen2 jaap6	
損失	suen2 sat1	
選手	suen2 sau2	
損傷	suen2 seung1	
損壞	suen2 waai6	
損毀	suen2 wai2	
損人利己	suen2 yan4 lei6 gei2	
損友	suen2 yau5	壞朋友，不三不四的朋友
算罷啦	suen3 ba2 la1	算了吧
算鬼數	suen3 gwai2 so3	算了啦！
算命	suen3 meng6	
算你夠運	suen3 nei5 gau3 wan6	算你走運
算死草	suen3 sei2 cho2	鐵公雞
算數	suen3 so3	算了，罷了
算數喇	suen3 so3 la3	算了吧
蒜頭	suen3 tau4	
渲染	suen3 yim5	
蒜蓉	suen3 yung4	
船舶	suen4 bok6	
璇璣	suen4 gei1	
船隻	suen4 jek3	
船長	suen4 jeung2	
船槳	suen4 jeung2	
旋轉乾坤	suen4 juen2 kin4 kwan1	
旋轉乾坤之力	suen4 juen2 kin4 kwan1 ji1 lik6	
旋律	suen4 lut6	
船頭尺	suen4 tau4 chek3	到處借錢的人，到處籌款的人
船桅	suen4 wai4	
漩渦	suen4 woh1	
雋語	suen5 yue5	
篆刻	suen6 hak1	
篆字	suen6 ji6	
篆文	suen6 man4	
篆書	suen6 sue1	
篆體	suen6 tai2	
雪	suet3	冰
雪葩	suet3 ba1	
雪白	suet3 baak6	
雪白色	suet3 baak6 sik1	
雪崩	suet3 bang1	
雪恥	suet3 chi2	
雪藏	suet3 chong4	冰镇，冰凍，冷藏
雪藏汽水	suet3 chong4 hei3 sui2	冰鎮汽水
雪藏西瓜	suet3 chong4 sai1 gwa1	冰鎮西瓜
雪藏肉	suet3 chong4 yuk6	冷藏的肉
說出	suet3 chut1	
雪地	suet3 dei6	
雪堆	suet3 dui1	
雪花	suet3 fa1	
說謊	suet3 fong1	
雪茄	suet3 ga1	
雪景	suet3 ging2	
雪糕	suet3 go1	冰淇淋
雪糕車	suet3 go1 che1	冰淇淋車
雪糕廠	suet3 go1 chong2	冰淇淋工廠
雪糕批	suet3 go1 pai1	冰磚
雪糕筒	suet3 go1 tung2	甜筒，冰淇淋蛋卷，盛著冰淇淋球的薄餅
雪季	suet3 gwai3	
雪櫃	suet3 gwai6	冰箱
雪恨	suet3 han6	
雪橇	suet3 hiu1	
雪戰	suet3 jin3	
雪珠	suet3 jue1	冰雹，雹子
雪豬	suet3 jue1	凍豬肉
雪中送炭	suet3 jung1 sung3 taan3	
雪球	suet3 kau4	
雪屐	suet3 kek6	冰鞋，旱冰鞋
雪褸	suet3 lau1	毛皮大衣，棉猴兒，皮猴兒
雪梨	suet3 lei2	鴨梨
雪裡紅	suet3 lui5 hung4	
說明	suet3 ming4	
說明書	suet3 ming4 sue1	
雪帽	suet3 mo2	風帽，暖帽，風雪帽
雪批	suet3 pai1	冰磚
雪片	suet3 pin3	
雪上加霜	suet3 seung6 ga1 seung1	
雪水	suet3 sui2	冰水
雪條	suet3 tiu2	冰棍
說話	suet3 wa6	話
雪人	suet3 yan4	
雪耳	suet3 yi5	銀耳，白木耳
雪耳糖水	suet3 yi5 tong4 sui2	銀耳甜湯
鱈魚	suet3 yue4	
雪冤	suet3 yuen1	
雪原	suet3 yuen4	
衰	sui1	壞，次，糟
衰敗	sui1 baai6	
雖敗猶榮	sui1 baai6 yau4 wing4	
衰俾人睇	sui1 bei2 yan4 tai2	丟人現眼
衰到唔使恨	sui1 do3 m4 sai2 han6	壞透了
衰公	sui1 gung1	缺德鬼，討厭鬼，壞傢伙，下流鬼
衰鬼	sui1 gwai2	壞傢伙，討厭鬼
衰鬼豆	sui1 gwai2 dau6	壞傢伙，討厭鬼，壞東西
衰起上嚟有頭有路	sui1 hei2 seung6 lei4 yau5 tau4 yau5 lo6	一倒霉就處處倒霉
衰仔	sui1 jai2	混小子，小壞蛋，調皮鬼，臭小子，兔崽子
水珠	sui1 jue1	
衰竭	sui1 kit3	
胥吏	sui1 lei6	
衰佬	sui1 lo2	死鬼
衰老	sui1 lo5	
衰落	sui1 lok6	
衰滅	sui1 mit6	
衰亡	sui1 mong4	
衰女	sui1 nui2	死丫頭，臭丫頭，壞女孩
衰女包	sui1 nui2 baau1	死丫頭，臭丫頭，壞女孩
衰婆	sui1 poh2	壞女人，下流的女人
衰晒	sui1 saai3	真糟糕，真倒霉，糟糕透了
衰神	sui1 san4	倒霉鬼，壞傢伙
衰收尾	sui1 sau1 mei5	事情快到結束才出問題
衰退	sui1 tui3	
衰人	sui1 yan4	壞傢伙，壞人
衰嘢	sui1 ye5	壞傢伙，次貨，醜事
衰弱	sui1 yeuk6	
水煙	sui1 yin1	
雖然	sui1 yin4	
需要	sui1 yiu3	
須要	sui1 yiu3	
須臾	sui1 yue4	
水	sui2	水平低，質量差
水	sui2	錢，鈔票
水鴨	sui2 aap3	
水壓	sui2 aat3	
水壩	sui2 ba3	
水泵	sui2 bam1	
水筆	sui2 bat1	
水兵	sui2 bing1	
水杉	sui2 chaam3	
水產	sui2 chaan2	
水獺	sui2 chaat3	
水車	sui2 che1	
水槍	sui2 cheung1	
水池	sui2 chi4	
水清可鑑	sui2 ching1 hoh2 gaam3	
水清無魚	sui2 ching1 mo4 yue4	
水草	sui2 cho2	
水槽	sui2 cho4	
水彩	sui2 choi2	
水彩筆	sui2 choi2 bat1	
水彩顏料	sui2 choi2 ngaan4 liu6	
水彩畫	sui2 choi2 wa2	
水床	sui2 chong4	
水柱	sui2 chue5	
水處理	sui2 chue5 lei5	
水速	sui2 chuk1	
水豆腐	sui2 dau6 foo6	嫩豆腐，南豆腐
水滴	sui2 dik1	
水滴石穿	sui2 dik1 sek6 chuen1	
水電	sui2 din6	
水電費	sui2 din6 fai3	
水電工	sui2 din6 gung1	
水電站	sui2 din6 jaam6	
水到渠成	sui2 do3 kui4 sing4	
水稻	sui2 do6	
水道	sui2 do6	
水花	sui2 fa1	
水花四濺	sui2 fa1 sei3 jin3	
水費	sui2 fai3	
水分	sui2 fan6	
水火	sui2 foh2	
水火不相容	sui2 foh2 bat1 seung1 yung4	
水火無情	sui2 foh2 mo4 ching4	
水貨	sui2 foh3	質量差的貨物
水貨	sui2 foh3	走私貨，冒牌貨，偽劣產品，仿冒產品
水解	sui2 gaai2	
水餃	sui2 gaau2	
水雞	sui2 gai1	落湯雞
水腳	sui2 geuk3	路費，運費
水缸	sui2 gong1	
水怪	sui2 gwaai3	
水果	sui2 gwoh2	
水鞋	sui2 haai4	雨靴，膠鞋
水客	sui2 haak3	走水客，水路走私者，跑單幫的
水喉	sui2 hau4	水管，水龍頭
水喉鐵	sui2 hau4 tit3	鐵管子
水喉通	sui2 hau4 tung1	鐵管子
水汽	sui2 hei3	
水靴	sui2 heuh1	
水鄉	sui2 heung1	
水險	sui2 him2	
水閘	sui2 jaap6	
水浸	sui2 jam3	水災，水患
水浸眼眉	sui2 jam3 ngaan5 mei4	火燒眉毛
水圳	sui2 jan3	水渠
水質	sui2 jat1	
水蛭	sui2 jat6	
水漲船高	sui2 jeung2 suen4 go1	
水螆	sui2 ji1	水蚤
水晶	sui2 jing1	
水晶宮	sui2 jing1 gung1	
水蒸氣	sui2 jing1 hei3	
水晶球	sui2 jing1 kau4	
水晶體	sui2 jing1 tai2	
水藻	sui2 jo2	
水災	sui2 joi1	
水葬	sui2 jong3	
水族	sui2 juk6	
水族館	sui2 juk6 goon2	
水樽	sui2 jun1	水瓶
水準	sui2 jun2	
水中	sui2 jung1	
水中撈月	sui2 jung1 lau4 yuet6	
水禽	sui2 kam4	
水溝	sui2 kau1	
水溝油	sui2 kau1 yau4	水火不兼容
水球	sui2 kau4	
水球賽	sui2 kau4 choi3	
水利	sui2 lei6	
水量	sui2 leung6	
水力	sui2 lik6	
水力發電	sui2 lik6 faat3 din6	
水力發電廠	sui2 lik6 faat3 din6 chong2	
水力學	sui2 lik6 hok6	
水力資源	sui2 lik6 ji1 yuen4	
水療	sui2 liu4	
水路	sui2 lo6	
水路運輸	sui2 lo6 wan6 sue1	
水落石出	sui2 lok6 sek6 chut1	
水陸	sui2 luk6	
水陸兩棲	sui2 luk6 leung5 chai1	
水輪	sui2 lun4	
水輪泵	sui2 lun4 bam1	
水輪發電機	sui2 lun4 faat3 din6 gei1	
水輪機	sui2 lun4 gei1	
水龍頭	sui2 lung4 tau4	
水墨	sui2 mak6	
水墨畫	sui2 mak6 wa2	
水文	sui2 man4	
水文學	sui2 man4 hok6	
水蜜桃	sui2 mat6 to4	
水面	sui2 min6	
水面上	sui2 min6 seung6	
水母	sui2 mo5	
水門	sui2 moon4	
水木清華	sui2 muk6 ching1 wa4	
水泥	sui2 nai4	
水銀	sui2 ngan4	
水牛	sui2 ngau4	
水鳥	sui2 niu5	
水皮	sui2 pei4	水平低，質量差，差勁
水平	sui2 ping4	
水瓶	sui2 ping4	
水瓶座	sui2 ping4 joh6	
水平線	sui2 ping4 sin3	
水泡	sui2 po5	
水泡	sui2 pok1	水泡
水勢	sui2 sai3	
水深火熱	sui2 sam1 foh2 yit6	
水深火熱之中	sui2 sam1 foh2 yit6 ji1 jung1	
水神	sui2 san4	
水生	sui2 sang1	
水生動物	sui2 sang1 dung6 mat6	
水生植物	sui2 sang1 jik6 mat6	
水手	sui2 sau2	
水蛇	sui2 se4	
水蛇春咁長	sui2 se4 chun1 gam3 cheung4	很長，極長，沒完沒了，長篇大論，大排長龍
水蝕	sui2 sik6	
水仙	sui2 sin1	
水仙花	sui2 sin1 fa1	
水星	sui2 sing1	
水性	sui2 sing3	
水氹	sui2 tam5	水坑，水窪
水天一色	sui2 tin1 yat1 sik1	
水土	sui2 to2	
水土不服	sui2 to2 bat1 fuk6	
水土流失	sui2 to2 lau4 sat1	
水塘	sui2 tong4	
水塘	sui2 tong4	水庫
水桶	sui2 tung2	
水患	sui2 waan6	
水位	sui2 wai6	
水運	sui2 wan6	
水汪汪	sui2 wong1 wong1	
水壺	sui2 woo2	
水滸傳	sui2 woo2 juen3	
水印	sui2 yan3	
水嘢	sui2 ye5	質量差的東西
水淹	sui2 yim1	
水魚	sui2 yue2	鼈，甲魚，團魚，黿，王八
水乳交融	sui2 yue5 gaau1 yung4	
水源	sui2 yuen4	
水溶性	sui2 yung4 sing3	
水溶液	sui2 yung4 yik6	
說服	sui3 fuk6	
帥哥	sui3 goh1	
帥氣	sui3 hei3	
稅制	sui3 jai3	
碎料	sui3 liu2	小事，小新聞
碎銀	sui3 ngan2	零錢，散銀，鋼鏰兒
歲月	sui3 yuet6	
誰不知	sui4 bat1 ji1	誰知
垂危	sui4 ngai4	
垂涎三尺	sui4 yin4 saam1 chek3	
絮叨	sui5 do1	
隧道	sui6 do6	
睡袋	sui6 doi6	
睡房	sui6 fong2	卧室，臥房
睡覺	sui6 gaau3	
睡鄉	sui6 heung1	
睡著	sui6 jeuk6	
睡蓮	sui6 lin4	
睡眠	sui6 min4	
睡眠不足	sui6 min4 bat1 juk1	
睡眠療法	sui6 min4 liu4 faat3	
睡夢	sui6 mung6	
睡眼惺忪	sui6 ngaan5 sing1 sung1	
睡袍	sui6 po4	
睡衫	sui6 saam1	睡衣
燧石	sui6 sek6	
瑞士軍刀	sui6 si6 gwan1 do1	
睡衣	sui6 yi1	
宿	suk1	餿，餿味，酸臭
宿包	suk1 baau1	滿身汗臭味的人
縮尺	suk1 chek3	
肅清	suk1 ching1	
肅清殘敵	suk1 ching1 chaan4 dik6	
倏地	suk1 dei6	
縮短	suk1 duen2	
肅反	suk1 faan2	
縮放	suk1 fong3	
縮減	suk1 gaam2	
縮緊	suk1 gan2	
肅敬	suk1 ging3	
縮骨遮	suk1 gwat1 je1	折疊傘
宿哼哼	suk1 hang1 hang1	餿臭，臊味，餿了呱唧
夙興夜寐	suk1 hing1 ye6 mei6	
肅靜	suk1 jing6	
縮聚	suk1 jui6	
肅立	suk1 laap6	
縮唔切	suk1 m4 chit1	來不及躲開
縮埋一嚿	suk1 maai4 yat1 gau6	縮作一團
縮埋一嚿	suk1 maai4 yat1 gau6	縮作一團
粟米	suk1 mai5	玉米
粟米粉	suk1 mai5 fan2	玉米粉，玉米麵
肅穆	suk1 muk6	
縮沙	suk1 sa1	臨陣退縮，打退堂鼓，變卦，退縮
肅殺	suk1 saat3	
肅殺之氣	suk1 saat3 ji1 hei3	
縮手縮腳	suk1 sau2 suk1 geuk3	
縮寫	suk1 se2	
宿舍	suk1 se3	
鷫鸘	suk1 seung1	
縮小	suk1 siu2	
縮水	suk1 sui2	抽
縮水	suk1 sui2	
叔叔	suk1 suk1	
肅貪	suk1 taam1	
縮頭	suk1 tau4	
縮頭縮尾	suk1 tau4 suk1 mei5	
縮頭縮腦	suk1 tau4 suk1 no5	
縮頭烏龜	suk1 tau4 woo1 gwai1	
縮圖	suk1 to4	
縮印	suk1 yan3	
夙夜	suk1 ye6	
夙夜匪懈	suk1 ye6 fei2 haai6	
縮衣節食	suk1 yi1 jit3 sik6	
倏然	suk1 yin4	
肅然	suk1 yin4	
肅然起敬	suk1 yin4 hei2 ging3	
縮影	suk1 ying2	
夙怨	suk1 yuen3	
夙緣	suk1 yuen4	
夙願	suk1 yuen6	
肅容	suk1 yung4	
屬地	suk6 dei6	
熟檔	suk6 dong3	熟悉，內行
贖金	suk6 gam1	
屬國	suk6 gwok3	
屬下	suk6 ha6	
熟客	suk6 haak3	常客，熟客
熟客仔	suk6 haak3 jai2	常客，熟客，老主顧
熟口熟面	suk6 hau2 suk6 min6	面熟，老相識，似曾相識
熟行	suk6 hong4	內行，在行，熟練，懂門路
贖罪	suk6 jui6	
熟落	suk6 lok6	熟練
熟面口	suk6 min6 hau2	面熟
贖命	suk6 ming6	
熟稔	suk6 nam5	
孰能無過	suk6 nang4 mo4 gwoh3	
淑女	suk6 nui5	
贖身	suk6 san1	
屬實	suk6 sat6	
熟悉	suk6 sik1	
熟性	suk6 sing3	通情達理，會做人，十分懂人情
屬性	suk6 sing3	
熟鹽	suk6 yim4	精鹽
屬於	suk6 yue1	
徇	sun1	申斥，責備，臭罵
殉情	sun1 ching4	
殉道	sun1 do6	
殉道者	sun1 do6 je2	
殉教	sun1 gaau3	
殉國	sun1 gwok3	
殉職	sun1 jik1	
殉職人員	sun1 jik1 yan4 yuen4	
殉葬	sun1 jong3	
殉葬品	sun1 jong3 ban2	
詢問	sun1 man6	
殉難	sun1 naan6	
殉難者	sun1 naan6 je2	
殉身	sun1 san1	
徇一餐	sun1 yat1 chaan1	臭罵一頓
筍	sun2	好，值
筍貨	sun2 foh3	好貨，好東西
筍價	sun2 ga3	好價錢，特價
榫頭	sun2 tau4	
筍嘢	sun2 ye5	好東西，好貨
信筆	sun3 bat1	
信步	sun3 bo6	
信步閒遊	sun3 bo6 haan4 yau4	
信差	sun3 chaai1	
迅速	sun3 chuk1	
信佛	sun3 fat6	
信服	sun3 fuk6	
信風	sun3 fung1	
信封	sun3 fung1	
迅風	sun3 fung1	
信風帶	sun3 fung1 daai3	
信奉	sun3 fung6	
瞬間	sun3 gaan1	
信教	sun3 gaau3	
信鴿	sun3 gap3	
信件	sun3 gin6	
信函	sun3 haam4	
信口雌黃	sun3 hau2 chi1 wong4	
信口開河	sun3 hau2 hoi1 hoh4	
信號	sun3 ho6	
信號槍	sun3 ho6 cheung1	
信號彈	sun3 ho6 daan6	
信札	sun3 jaat3	
迅疾	sun3 jat6	
信紙	sun3 ji2	
迅即	sun3 jik1	
信箋	sun3 jin1	
迅捷	sun3 jit6	
信眾	sun3 jung3	
汛期	sun3 kei4	
信賴	sun3 laai6	
迅雷	sun3 lui4	
迅雷不及掩耳	sun3 lui4 bat1 kap6 yim2 yi5	
迅猛	sun3 maang5	
信物	sun3 mat6	
囟門	sun3 moon4	
信念	sun3 nim6	
信誓旦旦	sun3 sai6 daan3 daan3	
信心	sun3 sam1	
信心十足	sun3 sam1 sap6 juk1	
信守	sun3 sau2	
信手	sun3 sau2	
信守不渝	sun3 sau2 bat1 yue4	
信手拈來	sun3 sau2 nim1 loi4	
信箱	sun3 seung1	
信使	sun3 si3	
信息	sun3 sik1	
訊息	sun3 sik1	
信貸	sun3 taai3	
信天翁	sun3 tin1 yung1	
信條	sun3 tiu4	
信徒	sun3 to4	
信筒	sun3 tung2	
信任	sun3 yam6	
信任感	sun3 yam6 gam2	
信任案	sun3 yam6 on3	
信仰	sun3 yeung5	
信仰自由	sun3 yeung5 ji6 yau4	
信以為真	sun3 yi5 wai4 jan1	
信義	sun3 yi6	
信譽	sun3 yue6	
信肉	sun3 yuk6	信紙，信瓤兒
信用	sun3 yung6	
信用合作社	sun3 yung6 hap6 jok3 se5	
信用咭	sun3 yung6 kat1	信用卡
馴品	sun4 ban2	溫和，溫順，馴良，柔順，善良
脣齒之邦	sun4 chi2 ji1 bong1	
脣齒相依	sun4 chi2 seung1 yi1	
馴服	sun4 fuk6	
唇膏	sun4 go1	口紅
醇厚	sun4 hau5	
脣紅齒白	sun4 hung4 chi2 baak6	
馴鹿	sun4 luk6	
脣吻	sun4 man5	
純樸	sun4 pok3	
淳樸	sun4 pok3	
純粹	sun4 sui6	
順風駛艃	sun6 fung1 sai2 lei5	順水推舟
順利	sun6 lei6	
順路	sun6 lo6	
鬆	sung1	溜走
鬆餅	sung1 beng2	
鬆綁	sung1 bong2	
鬆弛	sung1 chi4	
鬆脆	sung1 chui3	
鬆脆餅	sung1 chui3 beng2	
鬆動	sung1 dung6	
鬆緊	sung1 gan2	
鬆緊帶	sung1 gan2 daai3	
鬆懈	sung1 haai6	
鬆開	sung1 hoi1	
嵩山	sung1 saan1	
鬆手	sung1 sau2	
鬆鬆垮垮	sung1 sung1 kwa1 kwa1	
鬆土	sung1 to2	
鬆脫	sung1 tuet3	
鬆緩	sung1 woon6	
鬆人	sung1 yan4	溜走
鬆軟	sung1 yuen5	
從容	sung1 yung4	
從容不迫	sung1 yung4 bat1 baak1	
慫	sung2	慫慂
聳動	sung2 dung6	
聳動視聽	sung2 dung6 si6 ting1	
聳肩	sung2 gin1	
聳立	sung2 laap6	
聳聽	sung2 ting1	
聳人聽聞	sung2 yan4 ting1 man4	
慫恿	sung2 yung2	
餸	sung3	菜
送殯	sung3 ban3	
送畀	sung3 bei2	送給
送別	sung3 bit6	
送報	sung3 bo3	
送親	sung3 chan1	
送秋波	sung3 chau1 boh1	
宋詞	sung3 chi4	
送錢	sung3 chin4	
宋朝	sung3 chiu3	
餸菜	sung3 choi3	菜，菜餚，飯菜，小菜
送出	sung3 chut1	
送達	sung3 daat6	
送花	sung3 fa1	
餸飯	sung3 faan6	菜飯
送貨	sung3 foh3	
送貨上門	sung3 foh3 seung5 moon4	
送貨員	sung3 foh3 yuen4	
送風	sung3 fung1	
送風機	sung3 fung1 gei1	
送機	sung3 gei1	
送客	sung3 haak3	
送客出門	sung3 haak3 chut1 moon4	
送行	sung3 hang4	
送氣	sung3 hei3	
送走	sung3 jau2	
送葬	sung3 jong3	
送終	sung3 jung1	
餸籃	sung3 laam4	菜籃
送禮	sung3 lai5	
送命	sung3 ming6	
送審	sung3 sam2	
送死	sung3 sei2	
送信	sung3 sun3	
送信人	sung3 sun3 yan4	
宋體	sung3 tai2	
宋體字	sung3 tai2 ji6	
餸頭餸尾	sung3 tau4 sung3 mei5	剩菜
送還	sung3 waan4	
送往	sung3 wong5	
送人	sung3 yan4	
送醫	sung3 yi1	
送醫急救	sung3 yi1 gap1 gau3	
送院	sung3 yuen6	
送院治理	sung3 yuen6 ji6 lei5	
崇拜	sung4 baai3	
崇拜者	sung4 baai3 je2	
崇拜偶像	sung4 baai3 ngau5 jeung6	
崇德	sung4 dak1	
崇奉	sung4 fung6	
崇敬	sung4 ging3	
崇高	sung4 go1	
崇高理想	sung4 go1 lei5 seung2	
崇山	sung4 saan1	
崇山峻嶺	sung4 saan1 jun3 ling5	
崇尚	sung4 seung6	
崇洋	sung4 yeung4	
崇洋媚外	sung4 yeung4 mei6 ngoi6	
率兵	sut1 bing1	
率部	sut1 bo6	
率隊	sut1 dui6	
摔跤	sut1 gaau1	
恤金	sut1 gam1	
率真	sut1 jan1	
率直	sut1 jik6	
率領	sut1 ling5	
恤衫	sut1 saam1	襯衫
率獸食人	sut1 sau3 sik6 yan4	
率師	sut1 si1	
率先	sut1 sin1	
率性	sut1 sing3	
率團	sut1 tuen4	
率同	sut1 tung4	
率由舊章	sut1 yau4 gau6 jeung1	
率爾	sut1 yi5	
