開放粵語詞典（粵語拼音字調符調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［粵語拼音］	［國語解釋］
平面	penk mìn	
平面鏡	penk mìn gêng	
平面角	penk mìn gôg	
平面幾何	penk mìn gẽy ho	
平臥	penk ngò	
平平安安	penk penk ön ön	
評判	penk pûn	
評判員	penk pûn yeun	
平常	penk seong	
平常心	penk seong sämp	
評選	penk seũn	
評選人	penk seũn yant	
評選員	penk seũn yeun	
平時	penk si	
評審	penk sãmp	
評審委員	penk sãmp wãy yeun	
平手	penk sãw	
平心	penk sämp	
平心靜氣	penk sämp jènk hêy	
平心而論	penk sämp yi lònt	
平生	penk sänk	
平生大事	penk sänk dài sì	
平身	penk sänt	
平息	penk sëk	
評析	penk sëk	
平聲	penk sënk	
萍水相逢	penk sõy seöng fonk	
平頭	penk taw	
評頭論足	penk taw lònt jök	
平台	penk toi	
平坦	penk tãn	
平添	penk tïm	
平躺	penk tõng	
平和	penk wo	
平滑	penk wàd	
平穩	penk wãnt	
平緩	penk wùn	
平原	penk yeun	
評閱	penk yeùd	
評語	penk yeú	
評語欄	penk yeú lan	
平庸	penk yonk	
平日	penk yàt	
平易	penk yì	
平易近人	penk yì gànt yant	
平安	penk ön	
平安無事	penk ön mow sì	
皮	pey	皮革
皮	pey	元，塊錢
皮包	pey bäu	
皮包骨	pey bäu guät	
疲憊	pey bèy	
蜱蟲	pey conk	
皮蛋	pey dãn	松花蛋
疲乏	pey fàt	
皮膚	pey fü	
皮膚癌	pey fü ngam	
疲倦	pey geùn	
皮光肉滑	pey guöng jòk wàd	皮膚嫩滑，皮膚好
皮革	pey gâg	
皮件	pey gìn	
皮喼	pey gïb	皮箱，旅行箱，行李箱
皮靴	pey heö	
皮下	pey hà	
皮下注射	pey hà jeû sè	
皮下組織	pey hà jõw jëk	
脾氣	pey hêy	
皮匠	pey jeòng	
脾臟	pey jòng	
毗鄰	pey lont	
疲勞	pey low	
疲勞過度	pey low guô dòw	
皮褸	pey läw	皮夾克，皮外套，皮大衣
皮襖	pey ngôw	
枇杷	pey pa	
琵琶	pey pa	
琵琶別抱	pey pa bìd pów	
皮袍	pey põw	皮襖
皮套	pey tôw	
脾胃	pey wày	
疲於奔命	pey yeü bänt mènk	
貔貅	pey yäw	頑皮，淘氣
貔貅	pey yäw	
貔貅仔	pey yäw jãy	淘氣孩子
駢文	pin mant	
便宜	pin yi	
嫖娼	piu ceöng	
嫖賭	piu dõw	
嫖妓	piu gèy	
嫖客	piu hâg	
婆媽	po mä	婆婆媽媽
婆婆	po põ	奶奶
旁邊	pong bïn	
龐大	pong dài	
膀胱	pong guöng	
螃蟹	pong hái	
滂沱	pong to	
旁聽	pong tëng	
彷徨	pong wong	
龐然	pong yin	
龐然大物	pong yin dài màt	
蓬勃	ponk bùd	
蓬萊	ponk loi	
蓬門篳戶	ponk mun bät wù	
浮	pow	浮
蒲	pow	混，玩，闖蕩，胡混，玩樂，露面
匍匐	pow bàg	
匍匐前進	pow bàg cin jônt	
蒲點	pow dĩm	娛樂場所，聚腳點，聚會地點，玩樂地點
袍服	pow fòk	
蒲公英	pow gönk yënk	
浮薸	pow pĩu	浮萍
菩薩	pow sâd	
菩薩心腸	pow sâd sämp ceong	
蒲頭	pow taw	露面
菩提酒	pow tay jãw	葡萄酒
菩提子	pow tay jĩ	葡萄
菩提樹	pow tay seù	
葡萄	pow tow	
葡萄苷	pow tow gämp	
葡萄柚	pow tow yãw	
賠了夫人又折兵	pui líu fü yant yàw jîd bënk	
賠償	pui seong	
徘徊	pui wui	
徘徊不前	pui wui bät cin	
培養	pui yeóng	
盤纏	pun cin	
盤點	pun dĩm	
盤結	pun gîd	
盤踞	pun gôy	
盤古開天	pun gũ höi tïn	
盆栽	pun jöi	
盤詰	pun kîd	
蟠龍	pun lonk	
盤問	pun mànt	
盤剝	pun mög	
盤旋	pun seun	
盤算	pun seûn	
蹣跚	pun sän	
盤膝	pun sät	
磐石	pun sèg	
盤石	pun sèg	
蟠桃	pun tow	
盤繞	pun yĩu	
坺	pàd	攤
棒槌	páng coy	
棒球	páng kaw	
怕醜	pâ cãw	害羞，害臊
怕醜草	pâ cãw cõw	含羞草
怕凍	pâ dônk	怕冷
怕苦	pâ fũ	
怕擮	pâ jïd	怕癢
泊車	pâg cë	停車
泊車咪錶	pâg cë mï bïu	停車收費碼表
拍檔	pâg dông	伙伴
拍檔	pâg dông	合作，配合，協作
拍照	pâg jîu	
拍紙簿	pâg jĩ bõw	便箋，白紙本子，無格的本子
魄力	pâg lèk	
拍門	pâg mun	敲門
拍賣	pâg mài	
柏木	pâg mòk	
拍片	pâg pĩn	拍電影
柏樹	pâg seù	
拍手	pâg sãw	
拍手掌	pâg sãw jeõng	鼓掌
拍手掌歡迎	pâg sãw jeõng fün yenk	鼓掌歡迎
拍手無塵	pâg sãw mow cant	一貧如洗，一文不名，身無分文，身無長物，窮得叮噹響
拍攝	pâg sîb	
拍拖	pâg tö	約會，交往，談戀愛
派	pâi	發，散發，分發，派發，發給，分送，分配
派報紙	pâi bôw jĩ	送報紙，派發報紙
派籌	pâi cãw	發號兒
派出所	pâi cöt sõ	
派飛	pâi fëy	發票
派遣	pâi hĩn	
派駐	pâi jeû	
派利是	pâi lày sì	發紅包
派信	pâi sônt	投遞信件
派台歌	pâi toi gö	主打歌
派台歌曲	pâi toi gö kök	主打歌
派帖	pâi tîb	分發請帖
盼望	pân mòng	
噴射	pânt sè	
噴射機	pânt sè gëy	
噴嚏	pânt tây	
噴吐	pânt tôw	
豹	pâu	豹子
泡菜	pâu côi	
泡飯	pâu fàn	
炮火	pâu fõ	
炮轟	pâu guänk	
泡開	pâu höi	
炮仗	pâu jeõng	鞭砲，炮竹
炮仗頸	pâu jeõng gẽng	火性子，急性子
疱疹	pâu jãnt	
泡澡	pâu jõw	
泡麵	pâu mìn	
泡水	pâu sõy	
泡湯	pâu töng	
怕你呀	pã néy â	算你狠
刨	pãu	礤床
跑步	pãu bòw	
跑車	pãu cë	
跑道	pãu dòw	
跑鞋	pãu hai	
剖白	pãw bàg	
剖腹	pãw fök	
剖腹自殺	pãw fök jì sâd	
剖腹生產	pãw fök sänk cãn	
剖解	pãw gãi	
剖肝泣血	pãw gön yäp heûd	
剖開	pãw höi	
剖面	pãw mìn	
剖面圖	pãw mìn tow	
剖析	pãw sëk	
剖視圖	pãw sì tow	
趴下	pä hà	
趴時	pä si	合格
passport	pä si pöd	護照
拍乸	päd na	搭檔，同伴，伙伴
party	päd ti	舞會，派對，聚會
part-time	päg täi	兼職
攀登	pän dänk	
攀供	pän gönk	
攀談	pän tam	
攀援	pän wun	
澎湃	päng pâi	
烹調	päng tiu	
烹飪	päng yàmp	
匹夫	pät fü	
匹配	pät pûi	
拋戈棄甲	päu guö hêy gâb	
拋棄	päu hêy	
拋開	päu höi	
拋空	päu hönk	
拋磚引玉	päu jeün yánt yòk	
拋擲	päu jàg	
抛浪頭	päu lòng taw	虛張聲勢，出風頭
拋錨	päu nau	
拋售	päu sàw	
拋射	päu sè	
拋射體	päu sè tãy	
拋頭露面	päu taw lòw mìn	
[剕]	päy	削
批	päy	派，餡餅
剕菠蘿皮	päy bö lo pey	削鳳梨皮
批發	päy fâd	
批准	päy jõnt	
批評	päy penk	
剕蘋果	päy penk guõ	削蘋果
批評家	päy penk gä	評論家
剕皮	päy pey	削皮，剝皮
批判	päy pûn	
批判性	päy pûn sênk	
剕鉛筆	päy yeun bät	削鉛筆
擗	pèg	扔，丟掉，扔掉，丟棄
怶	pé	歪倒，站不穩，斜著身子﹐歪著身子
朇	pé	歪著身子
被	péy	被子
婢僕	péy bòk	
被竇	péy dâw	被窩
皮帶	péy dãi	
被冚	péy kãmp	被單
婢女	péy nóy	
被鋪	péy pöw	鋪蓋，被褥，臥具
被窩	péy wö	
被褥	péy yòk	
巴仙	pê sën	百分之一，百分之
劈柴	pêg cai	
劈開	pêg höi	
劈酒	pêg jãw	喝酒，鬥酒，酗酒
劈友	pêg yãw	砍人，廝殺，斬殺，打群架
聘請	pênk cẽnk	
拼音	pênk yämp	
聘用	pênk yònk	
屁股	pêy gũ	
媲美	pêy méy	
譬如	pêy yeu	
譬喻	pêy yeù	
披牌	pë pãi	撲克牌
pat pat	pëd pëd	屁股
辟邪	pëk ce	
霹靂	pëk lëk	
拼	pëng	靠背，擋板
拼沉	pëng camp	把對方打敗
骿骨	pëng guät	肋骨
拼湊	pënk câw	
姘婦	pënk fú	
姘夫	pënk fü	
抨擊	pënk gëk	
姘居	pënk göy	
拼命	pënk mèng	
怦怦	pënk pënk	
娉婷	pënk tenk	
怦然	pënk yin	
紕漏	pëy làw	
紕繆	pëy maw	
paper	pëy pa	作文
披散	pëy sãn	
鰾膠	píu gäu	
撇開	pîd höi	
瞥一眼	pîd yät ngán	
遍佈	pîn bôw	
遍地	pîn dèy	
騙局	pîn gòk	
片糖	pîn tong	片狀的紅糖
遍體鱗傷	pîn tãy lont seöng	
漂白	pîu bàg	
漂白水	pîu bàg sõy	漂白
剽悍	pîu hòn	
漂亮	pîu leòng	
剽竊	pîu sîd	
pizza	pï sa	比薩餅，披薩餅
PC	pï sï	警員
PTU	pï tï yïu	警察機動部隊
編班	pïn bän	
編輯	pïn cäp	
編輯部	pïn cäp bòw	
編輯器	pïn cäp hêy	
編輯室	pïn cäp sät	
編訂	pïn dênk	
編訂者	pïn dênk jẽ	
編導	pïn dòw	
編隊	pïn dòy	
編髮	pïn fâd	
蝙蝠	pïn fök	
篇幅	pïn fök	
偏激	pïn gëk	
偏見	pïn gîn	
編戲	pïn hêy	
編號	pïn hòw	
編著	pïn jeû	
編撰	pïn jàn	
編製	pïn jây	
扁舟	pïn jäw	
編織	pïn jëk	
編織品	pïn jëk bãnt	
編造	pïn jòw	
編組	pïn jõw	
編鐘	pïn jönk	
編者	pïn jẽ	
編者按	pïn jẽ ôn	
編曲	pïn kök	
編碼	pïn má	編號，編碼
編碼	pïn má	
編目	pïn mòk	
編舞	pïn mów	
編排	pïn pai	
偏僻	pïn pëk	
偏偏	pïn pïn	
偏頗	pïn pö	
編成	pïn senk	
編書	pïn seü	
編選	pïn seũn	
編審	pïn sãmp	
偏私	pïn sï	
編寫	pïn sẽ	
偏袒	pïn tãn	
偏遠	pïn yeún	
編譯	pïn yèk	
編譯器	pïn yèk hêy	
編按	pïn ôn	
漂泊	pïu bòg	
漂浮	pïu faw	
漂流	pïu law	
嘌呤	pïu lenk	
飄零	pïu lenk	
縹緲	pïu míu	
飄灑	pïu sã	
泡	pów	泡，泡兒，泡沫
抱佛腳	pów fàt geôg	
抱負	pów fù	
抱歉	pów hîb	
抱拳	pów keun	
泡沫	pów mûd	
抱男孫	pów nam seün	抱孫子
抱薪救火	pów sänt gâw fõ	
抱頭鼠竄	pów taw seũ ceûn	
抱頭痛哭	pów taw tônk hök	
抱怨	pów yeûn	
泡影	pów yẽnk	
破	pô	劈
破柴	pô cai	劈柴
破財擋災	pô coi dõng jöi	破財免災
破紀錄	pô gêy lòk	
破口大鬧	pô hãw dài nàu	破口大罵
破開	pô höi	劈開
破開兩邊	pô höi leóng bïn	劈開兩邊
破碎	pô sôy	
破壞	pô wài	
撲	pôg	奔波
撲鼻	pôg bèy	
噗哧	pôg cï	
撲哧	pôg cï	
撲出	pôg cöt	
撲倒	pôg dõw	
撲飛	pôg fëy	到處找票
撲過來	pôg guô loi	
撲向	pôg heông	
撲克	pôg häk	
撲克牌	pôg häk pai	
撲空	pôg hönk	
撲嚟撲去	pôg ley pôg hôy	跑來跑去
撲料	pôg lĩu	搜集材料，找素材，找材料
撲滅	pôg mìd	
撲面	pôg mìn	
撲滿	pôg mún	
樸實	pôg sàt	
撲心撲命	pôg sämp pôg mèng	盡心儘力
撲朔迷離	pôg sôg may ley	
樸素	pôg sôw	
撲水	pôg sõy	到處籌款，調頭寸
璞玉渾金	pôg yòk want gämp	
碰撞	pônk jòng	
舖	pôw	店舖，商店，舖子
普飛	pôw fëy	自助餐
舖仔	pôw jãy	小店，小雜貨店
舖頭	pôw tãw	商店，舖子
舖位	pôw wãy	攤位
叵測	põ cäk	
笸籮	põ lo	
婆乸	põ nã	婆娘
捧場	põnk ceong	
譜曲	põw kök	
普遍性	põw pîn sênk	
普選	põw seũn	
譜寫	põw sẽ	
普通	põw tönk	
普通話	põw tönk wã	
普洱茶	põw yí ca	
樖	pö	棵，株
泡	pög	泡
仆	pök	趴，摔，俯臥
仆親	pök cänt	摔著了
仆低	pök däy	趴下，趴下來，摔倒
仆喺張枱度	pök hãy jeöng tõi dòw	趴在桌子上
仆住瞓	pök jeù fânt	趴著睡
仆轉	pök jeũn	反轉，倒扣，扣
鋪床	pöw cong	
鋪展	pöw jĩn	
鋪蓋	pöw kôi	
鋪路	pöw lòw	
甫士	pöw sĩ	姿勢
甫士咭	pöw sĩ kät	明信片
蓓蕾	púi lóy	
撥	pûd	扇，煽
撥大葵扇	pûd dài kuay sîn	做媒人，為人保媒
撥火	pûd fõ	煽火
撥爐	pûd low	煽爐子
潑辣	pûd làd	
撥扇	pûd sîn	扇扇子
配備	pûi bèy	
配菜	pûi côi	
佩帶	pûi dâi	
配電	pûi dìn	
配電盤	pûi dìn pun	
配對	pûi dôy	
配對法	pûi dôy fâd	
佩刀	pûi döw	
配發	pûi fâd	
佩服	pûi fòk	
配方	pûi föng	
佩掛	pûi guâ	
配件	pûi gìn	
佩劍	pûi gîm	
配角	pûi gôg	
配合	pûi hàb	
配戲	pûi hêy	
配製	pûi jây	
配置	pûi jî	
配置圖	pûi jî tow	
配種	pûi jõnk	
配給	pûi käp	
配給品	pûi käp bãnt	
配給證	pûi käp jênk	
配給量	pûi käp leòng	
配給票	pûi käp pîu	
配料	pûi lìu	
配額	pûi ngàg	
配眼鏡	pûi ngán gêng	
配偶	pûi ngáw	
配樂	pûi ngòg	
配色	pûi sëk	
配套	pûi tôw	
配藥	pûi yeòg	
配藥師	pûi yeòg sï	
佩衽	pûi yàmp	
配有	pûi yáw	
配音	pûi yämp	
配音員	pûi yämp yeun	
拚	pûn	豁出去
判別	pûn bìd	
判斷	pûn deûn	
判定	pûn dènk	
判感化	pûn gãmp fâ	
判罪	pûn jòy	
拚咗佢	pûn jõ kóy	豁出去了
判決	pûn keûd	
判決書	pûn keûd seü	
拚命	pûn mèng	
判死罪	pûn sẽy jòy	
判死刑	pûn sẽy yin	
判刑	pûn yenk	
判若兩人	pûn yeòg leóng yant	
判案	pûn ôn	
胚芽	püi nga	
胚芽米	püi nga máy	
片	pĩn	唱片，專輯
屏蔽	pẽnk bây	
屏風	pẽnk fönk	
屏障	pẽnk jeông	
屏幕	pẽnk mòg	
吡啶	pẽy dènk	
否極泰來	pẽy gèk tâi loi	
仳離	pẽy ley	
鄙夷	pẽy yi	
梣樹	samp seù	
孱	san	弱，體質衰弱
潺	san	黏液，涎
潺潺流水	san san law sõy	
孱弱	san yeòg	
神不知鬼不覺	sant bät jï guãy bät gôg	
神不守舍	sant bät sãw sê	
神秘	sant bêy	
神秘化	sant bêy fâ	
神秘主義	sant bêy jeũ yì	
神兵	sant bënk	
臣僕	sant bòk	
神情	sant cenk	
神槍手	sant ceöng sãw	
神清氣爽	sant cënk hêy sõng	
臣妾	sant cîb	
神采	sant cõi	
神采飛揚	sant cõi fëy yeong	
神采奕奕	sant cõi yèk yèk	
神速	sant cök	
神出鬼沒	sant cöt guãy mùd	
神殿	sant dìn	
神道	sant dòw	
神化	sant fâ	
臣服	sant fòk	
神父	sant fù	
神棍	sant guânt	藉神騙錢者
神格	sant gâg	
神格化	sant gâg fâ	
神教	sant gâu	
神經	sant gënk	
神經病	sant gënk bèng	
神經錯亂	sant gënk côg leùn	
神經科	sant gënk fö	
神經系統	sant gënk hày tõnk	
神經質	sant gënk jät	
神經中樞	sant gënk jönk seü	
神經細胞	sant gënk sây bäu	
神經衰弱	sant gënk söy yeòg	
神經痛	sant gënk tônk	
神機妙算	sant gëy mìu seûn	
臣下	sant hà	
神龕	sant hämp	
神氣	sant hêy	
晨曦	sant hëy	
神學	sant hòg	
神學家	sant hòg gä	
神學院	sant hòg yeùn	
神職	sant jëk	
神職人員	sant jëk yant yeun	
神智	sant jî	
神智不清	sant jî bät cënk	
神志不清	sant jî bät cënk	
神智清醒	sant jî cênk sẽnk	
晨早	sant jõw	早晨，清早，早上
晨早流流	sant jõw law law	大清早的
臣子	sant jĩ	
神權	sant keun	
神奇	sant key	
神樓	sant law	神龕
神靈	sant lenk	
晨褸	sant läw	浴袍
神領意會	sant lénk yî wùi	
晨練	sant lìn	
臣民	sant mant	
神明	sant menk	
神木	sant mòk	
神神化化	sant sant fâ fâ	神經不正常，怪怪
神算	sant seûn	
神聖不可侵犯	sant sènk bät hõ cämp fàn	
神聖化	sant sènk fâ	
神聖	sant sênk	
神色	sant sëk	
臣仕	sant sì	
神思	sant sï	
神思不定	sant sï bät dènk	
神仙	sant sïn	
神童	sant tonk	
神態	sant tâi	
神偷	sant täw	
神通	sant tönk	
神通廣大	sant tönk guõng dài	
神魂不定	sant want bät dènk	
神魂顛倒	sant want dïn dõw	
晨運	sant wànt	晨練，早操
神韻	sant wànt	
神話	sant wã	
神威	sant wäy	
神醫	sant yï	
神勇	sant yónk	
睄	sau	掃一眼，瞟一眼，偷偷瞧
睄佢一眼	sau kóy yät ngán	掃他一眼，瞧他一眼
仇敵	saw dèk	
仇隙	saw guëk	
仇家	saw gä	
仇恨	saw hànt	
仇口	saw hãw	積怨，仇恨
愁悶	saw mùn	
仇殺	saw sâd	
仇視	saw sì	
仇人	saw yant	
仇怨	saw yeûn	
蛇	se	偷懶
蛇都死喇	se dõw sẽy lâ	徹底玩完了
蛇吓先	se há sïn	先躲個懶兒
畲族	se jòk	
蛇咗去隔籬	se jõ hôy gâg ley	跑到隔壁躲懶
蛇喱眼	se lëy ngán	斜眼
蛇皮	se pey	
蛇頭	se taw	偷渡組織者
蛇頭鼠眼	se taw seũ ngán	賊頭賊眼，鬼頭蛤蟆眼
蛇王	se wong	偷懶，懶蟲，懶蛋
成	seng	整
成地都係	seng dèy döw hày	滿地都是
成個禮拜	seng gô láy bâi	整個星期
成個買	seng gô mái	整個買
成隻病貓噉	seng jêg bèng mäu gãmp	可怖的樣子
成朝	seng jïu	整個早上
成朝早	seng jïu jõw	整個早上
成年	seng nin	整年
成世	seng sây	一輩子，一生
成身	seng sänt	渾身，全身
成頭汗	seng taw hòn	滿頭汗
成日	seng yàt	總是，老是
成日	seng yàt	整天，老半天
成敗	senk bài	
成敗在此一舉	senk bài jòi cĩ yät gõy	
成品	senk bãnt	
乘便	senk bìn	
城堡	senk bõw	
成本	senk bũn	
成全	senk ceun	
乘除	senk coy	
成親	senk cänt	
乘車	senk cë	
成千上萬	senk cïn seòng màn	
成分	senk fànt	
成份	senk fànt	
乘法	senk fâd	
成反比	senk fãn bẽy	
成婚	senk fänt	
乘風破浪	senk fönk pô lòng	
乘隙	senk guëk	
成果	senk guõ	
成家	senk gä	
成家立業	senk gä làb yìb	
成交	senk gäu	
成交總值	senk gäu jõnk jèk	
成交量	senk gäu leòng	
成交額	senk gäu ngàg	
乘機	senk gëy	
成見	senk gîn	
成功	senk gönk	
成功者	senk gönk jẽ	
成何體統	senk ho tãy tõnk	
乘客	senk hâg	
誠懇	senk hãnt	
乘興	senk hênk	
乘興而來	senk hênk yi loi	
乘興而往敗興而歸	senk hênk yi wóng bài hênk yi guäy	
乘空	senk hönk	
乘虛	senk höy	
乘虛而入	senk höy yi yàp	
成長	senk jeõng	
成長率	senk jeõng lòt	
成就	senk jàw	
成就感	senk jàw gãmp	
成真	senk jänt	
成績	senk jëk	
成績單	senk jëk dän	
誠徵	senk jënk	
誠摯	senk jî	
承載	senk jôi	
成災	senk jöi	
乘其不備	senk key bät bèy	
成群結隊	senk kuant gîd dòy	
乘涼	senk leong	
乘龍快婿	senk lonk fâi sây	
成立	senk làb	
承聞	senk mant	聽說
成名	senk menk	
成名作	senk menk jôg	
成名曲	senk menk kök	
承蒙	senk monk	
成問題	senk mànt tay	
乘冪	senk mèk	
成年	senk nin	
成年人	senk nin yant	
承諾	senk nòg	承諾
乘船	senk seun	
丞相	senk seông	
誠實	senk sàt	
承受	senk sàw	
乘勢	senk sây	
成心	senk sämp	
乘勝追擊	senk sênk jöy gëk	
城市	senk sí	
成熟	senk sòk	
繩索	senk sôg	
乘數表	senk sôw bĩu	乘法表
成套	senk tôw	
成為	senk way	
成為泡影	senk way pów yẽnk	
成為事實	senk way sì sàt	
城隍	senk wong	
城垣	senk wun	
成仁	senk yant	
成人	senk yant	
成人班	senk yant bän	
成仁取義	senk yant cõy yì	
成人之美	senk yant jï méy	
乘人之危	senk yant jï ngay	
成形	senk yenk	
成型	senk yenk	
成員	senk yeun	
成員國	senk yeun guôg	
成藥	senk yeòg	
成語	senk yeú	
成因	senk yänt	
承認	senk yènk	
誠意	senk yî	
成衣	senk yï	
嫦娥奔月	seong ngo bänt yeùd	
常常	seong seong	
嘗試	seong sî	
償還	seong wan	
徜徉	seong yeong	
常用	seong yònk	
薯	seu	笨
殊功	seu gönk	
薯仔	seu jãy	馬鈴薯，土豆
薯莨	seu leong	
殊禮	seu láy	
薯片	seu pîn	馬鈴薯片，土豆片，洋芋片
殊死	seu sẽy	
薯頭	seu taw	笨蛋，笨人，蠢豬，蠢笨
薯頭嘜	seu taw mäk	笨蛋
薯頭薯腦	seu taw seu nów	笨頭笨腦
薯條	seu tiu	
殊途同歸	seu tow tonk guäy	
殊榮	seu wenk	
殊遇	seu yeù	
薯蕷	seu yeù	
殊異	seu yì	
船舶	seun bòg	
璇璣	seun gëy	
船長	seun jeõng	
船槳	seun jeõng	
旋轉乾坤	seun jeũn kin kuänt	
旋轉乾坤之力	seun jeũn kin kuänt jï lèk	
船隻	seun jêg	
旋律	seun lòt	
船頭尺	seun taw cêg	到處借錢的人，到處籌款的人
船桅	seun way	
漩渦	seun wö	
上品	seòng bãnt	
上臂	seòng bêy	
上臂骨	seòng bêy guät	
上便	seòng bìn	上面
上部	seòng bòw	
上半部	seòng bûn bòw	
上半場	seòng bûn ceong	
上半年	seòng bûn nin	
上半身	seòng bûn sänt	
上層	seòng cank	
上層社會	seòng cank sé wùi	
上情下達	seòng cenk hà dàd	
上傳	seòng ceun	
上朝	seòng ciu	
上旬	seòng cont	
上策	seòng câg	
上斜	seòng cê	上坡
上次	seòng cî	
上蒼	seòng cöng	
上帝	seòng dây	
上第	seòng dãnk	
上等兵	seòng dãnk bënk	
上等貨	seòng dãnk fô	
上訪	seòng fõng	
上方	seòng föng	
上校	seòng gâu	
上校軍官	seòng gâu guänt gün	
上個	seòng gô	
上個禮拜	seòng gô láy bâi	上個星期
上告	seòng gôw	
上繳	seòng gĩu	
上古	seòng gũ	
上古時代	seòng gũ si dòi	
上下其手	seòng hà key sãw	
上下文	seòng hà mant	
上頜骨	seòng hàb guät	
上限	seòng hàn	
上氣不接下氣	seòng hêy bät jîb hà hêy	
上海話	seòng hõi wã	
上好	seòng hõw	
上空	seòng hönk	
上空裝	seòng hönk jöng	
上將	seòng jeông	
上漲	seòng jeõng	
上集	seòng jàb	
上晝	seòng jâw	上午
上肢	seòng jï	
上載	seòng jôi	
上中下游	seòng jönk hà yaw	
上中農	seòng jönk nonk	
上級	seòng käp	
上流	seòng law	
上流社會	seòng law sé wùi	
上流人士	seòng law yant sì	
上聯	seòng leun	
上文	seòng mant	
尚未	seòng mèy	
上面	seòng mìn	
上額	seòng ngàg	
上眼皮	seòng ngán pey	
上顎	seòng ngòg	
上顎骨	seòng ngòg guät	
上岸	seòng ngòn	
上皮	seòng pey	
上皮組織	seòng pey jõw jëk	
上皮細胞	seòng pey sây bäu	
上坡	seòng pö	
上坡道	seòng pö dòw	
上坡路	seòng pö lòw	
上乘	seòng senk	
上上下下	seòng seòng hà hà	
上上之策	seòng seòng jï câg	
上書	seòng seü	
上聲	seòng sënk	
上昇	seòng sënk	
上司	seòng sï	
上述	seòng sòt	
上訴	seòng sôw	
上訴人	seòng sôw yant	
上體	seòng tãy	
上天	seòng tïn	
上天無路	seòng tïn mow lòw	
上吐下瀉	seòng tôw hà sê	
上湯	seòng töng	高湯
上尉	seòng wây	
上尉軍官	seòng wây guänt gün	
上游	seòng yaw	
上游工業	seòng yaw gönk yìb	
上移	seòng yi	
上弦	seòng yin	
上弦月	seòng yin yeùd	
上頁	seòng yìb	
上議院	seòng yí yeùn	
上意識	seòng yî sëk	
上衣	seòng yï	
上演	seòng yĩn	
上映	seòng yẽnk	
上映期間	seòng yẽnk key gän	
上班	seóng bän	
上班服	seóng bän fòk	
上班族	seóng bän jök	
上班時間	seóng bän si gän	
上榜	seóng bõng	
上榜名單	seóng bõng menk dän	
上前	seóng cin	
上床	seóng cong	
上漆	seóng cät	
上車	seóng cë	
上錯天堂投錯胎	seóng cô tïn tong taw cô töi	
上菜	seóng côi	
上大學	seóng dài hòg	
上當	seóng dông	
上墳	seóng fant	
上肥	seóng fey	
上火	seóng fõ	
上軌道	seóng guãy dòw	
上架	seóng gã	
上街	seóng gäi	
上鉤	seóng gäw	
上鏡	seóng gêng	上電視，上相
上鏡頭	seóng gêng taw	
上京	seóng gënk	
上供	seóng gônk	
上香	seóng heöng	
上學	seóng hòg	
上學校	seóng hòg hàu	
上去	seóng hôy	
上陣	seóng jânt	
上酒家	seóng jãw gä	
上戰場	seóng jîn ceong	
上座	seóng jò	
上契	seóng kây	認乾親
上樓	seóng law	
上梁不正下梁歪	seóng leong bät jênk hà leong wäi	
上蠟	seóng làb	
上落	seóng lòg	上下，來往
上路	seóng lòw	
上鏈	seóng lĩn	上發條，上弦
上門	seóng mun	
上馬	seóng má	
上網	seóng móng	
上銀幕	seóng ngant mòg	
上岸	seóng ngòn	發財
上船	seóng seun	
上樹	seóng seù	
上山	seóng sän	
上山下鄉	seóng sän hà heöng	
上山下海	seóng sän hà hõi	
上色	seóng sëk	
上市	seóng sí	
上線	seóng sîn	
上鎖	seóng sõ	
上台	seóng toi	
上堂	seóng tong	上課
上天堂	seóng tïn tong	
上位	seóng wày	
上畫	seóng wã	放映，上映
上油	seóng yaw	
上任	seóng yàmp	
上釉	seóng yàw	
削	seôg	軟，稀，鬆軟，鬆弛，稀軟，軟軟的，不結實
削笪笪	seôg dâd dâd	軟軟的，很鬆弛
削地	seôg dèy	
削髮	seôg fâd	
削髮為僧	seôg fâd way jänk	
削價	seôg gâ	
削減	seôg gãm	
鑠金	seôg gämp	
削職為民	seôg jëk way mant	
削尖	seôg jïm	
削足適履	seôg jök sëk léy	
削球	seôg kaw	
削梨	seôg ley	
削皮	seôg pey	
削坺坺	seôg pèd pèd	稀而爛，稀糊糊，稀稀爛爛的，軟而不韌
鑠石流金	seôg sèg law gämp	
削鐵如泥	seôg tîd yeu nay	
削弱	seôg yeòg	
相親	seông cänt	
相國	seông guôg	
相公	seông gönk	
相貌	seông màu	
相命	seông mènk	
相士	seông sì	算命先生
相術	seông sòt	
相	seõng	照片，相片
想必	seõng bïd	
賞賜	seõng cî	
想出	seõng cöt	
相底	seõng dãy	底片
想當然	seõng döng yin	
想…都唔得	seõng döw m däk	想…都不行
想法	seõng fâd	
賞花	seõng fä	
想方設法	seõng föng cîd fâd	
賞光	seõng guöng	
賞鑑	seõng gâm	
賞金	seõng gämp	
相機	seõng gëy	照相機
想起	seõng hẽy	
想像	seõng jeòng	
想象	seõng jeòng	
想像出	seõng jeòng cöt	
想像力	seõng jeòng lèk	
想象力	seõng jeòng lèk	
想盡	seõng jònt	
賞臉	seõng lím	
